|                           Parameters |                       0 |                       1 |   2 |   3 |                       4 |   5 |                      6 |   7 |   8 |                       9 |                      10 |  11 |                      12 |  13 |                      14 |                      15 |  16 |                      17 |  18 |                      19 |                      20 |  21 |                      22 |  23 |  24 |  25 |  26 |  27 |  28 |  29 |  30 |  31 |  32 |  33 |  34 |  35 |  36 |  37 |  38 |  39 |  40 |
|     VER J2020+368.spectral.amplitude |   -8.05663441984973e-21 |  3.7896444126620344e-34 | 0.0 | 0.0 |  1.8934327496198776e-20 | 0.0 |  9.495555614025235e-24 | 0.0 | 0.0 |  1.9630800141208176e-15 |  3.5678347432732366e-28 | 0.0 |  3.5377729770713224e-16 | 0.0 |  -3.025181675270999e-17 |  -4.851598857161562e-29 | 0.0 | -2.7411136625559656e-18 | 0.0 |    1.70623893989897e-20 |   7.531243273615698e-33 | 0.0 | -4.1494857627829107e-22 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2020+368.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2020+368.spectral.lambda_ | -4.8290059916014285e-09 |  1.9432730328899213e-22 | 0.0 | 0.0 |  1.5381599116008874e-08 | 0.0 |   7.81646662409199e-12 | 0.0 | 0.0 |  -0.0010994910047872055 |  3.5377729770713224e-16 | 0.0 |   0.0013898316744795582 | 0.0 |  -5.032581072626917e-05 |  -4.022895330628315e-17 | 0.0 |  -4.267781033188549e-06 | 0.0 |  1.7080971764968517e-08 |   7.535509377260324e-21 | 0.0 | -4.1933691836569723e-10 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.alpha |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.index |  -6.798423296746333e-07 |  3.1587633780885836e-20 | 0.0 | 0.0 |  1.6427388513632655e-06 | 0.0 |  7.155493627884804e-10 | 0.0 | 0.0 | -0.00022461872421870765 |  -3.025181675270999e-17 | 0.0 |  -5.032581072626917e-05 | 0.0 |    0.024574979678067998 |   4.000910787228262e-15 | 0.0 |  -0.0014592540640616573 | 0.0 |  -4.084108908496325e-06 | -1.8767577165800176e-18 | 0.0 |   8.960158506175614e-08 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.amplitude |  -8.888814027115796e-19 |  4.1298957961863356e-32 | 0.0 | 0.0 |  2.1474155710652168e-18 | 0.0 |  9.369144781178427e-22 | 0.0 | 0.0 | -2.0593843254387875e-16 |  -4.851598857161562e-29 | 0.0 |  -4.022895330628315e-17 | 0.0 |   4.000910787228262e-15 |  1.1818260421265792e-26 | 0.0 |   6.651804429766543e-16 | 0.0 |  -3.773469964021704e-18 | -1.6734011230912654e-30 | 0.0 |   8.805284054338384e-20 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2018+367.spectral.lambda_ |  -1.490245781894779e-08 |   6.980127492782507e-22 | 0.0 | 0.0 |   3.535106107314333e-08 | 0.0 | 1.5518767151535382e-11 | 0.0 | 0.0 | -1.1113029126865121e-05 | -2.7411136625559656e-18 | 0.0 |  -4.267781033188549e-06 | 0.0 |  -0.0014592540640616573 |   6.651804429766543e-16 | 0.0 |  0.00044689416278581107 | 0.0 |  1.2551946942721348e-08 |   9.746326706729128e-21 | 0.0 |   6.901341266234844e-11 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.alpha |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2016+371.spectral.index | -2.7776045178814314e-06 |  1.2743700060244207e-19 | 0.0 | 0.0 |  7.0323245344224465e-06 | 0.0 | 2.3530817870108263e-09 | 0.0 | 0.0 |   8.295636907020563e-08 |    1.70623893989897e-20 | 0.0 |  1.7080971764968517e-08 | 0.0 |  -4.084108908496325e-06 |  -3.773469964021704e-18 | 0.0 |  1.2551946942721348e-08 | 0.0 |     0.02779272111100004 |  1.8335913945509958e-15 | 0.0 |  -0.0017425250946894854 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
