|                           Parameters |                       0 |                       1 |   2 |   3 |                       4 |   5 |                       6 |   7 |   8 |                       9 |                     10 |  11 |                      12 |  13 |                      14 |                      15 |  16 |                      17 |  18 |                      19 |                      20 |  21 |                      22 |  23 |                      24 |                     25 |  26 |                      27 |  28 |  29 |  30 |  31 |  32 |  33 |                      34 |  35 |                      36 |                      37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |  48 |  49 |  50 |  51 |  52 |  53 |  54 |  55 |  56 |  57 |  58 |  59 |  60 |  61 |  62 |  63 |  64 |  65 |  66 |
|     VER J2020+368.spectral.amplitude |  -2.611783324725788e-22 |  -3.113628256278247e-35 | 0.0 | 0.0 |    7.85496634108417e-21 | 0.0 |   9.855195674492152e-24 | 0.0 | 0.0 |   7.250871040832123e-16 |  7.363832802496391e-29 | 0.0 |   1.495794822635977e-16 | 0.0 |  -5.983251481663406e-18 |  -1.192490434506249e-29 | 0.0 |  -7.824927299685704e-19 | 0.0 |  3.2413100389595073e-21 |   1.433984158589466e-33 | 0.0 |  -8.096475879990339e-23 | 0.0 |  1.3531038500705086e-23 | 4.5386188937948325e-37 | 0.0 |    1.18741234890118e-25 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  4.8330163077893354e-40 | 0.0 |  -2.355290823826967e-23 |  3.7258093480759142e-25 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2020+368.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2020+368.spectral.lambda_ |  1.3183300476328456e-10 |  -7.426667029910163e-23 | 0.0 | 0.0 |   1.325014342900434e-08 | 0.0 |   1.652262299707601e-11 | 0.0 | 0.0 |  -0.0015581207419625188 |  1.495794822635977e-16 | 0.0 |   0.0013612856878627935 | 0.0 |   -3.15857728938414e-05 |  -1.817946670266265e-17 | 0.0 | -2.6596406573536667e-06 | 0.0 |    6.78175463869935e-09 |  3.0308057263688657e-21 | 0.0 |  -1.641698176149733e-10 | 0.0 |  2.0240011701385983e-11 |   8.47460067573021e-25 | 0.0 |   5.794976947511209e-13 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |    7.38696409737921e-28 | 0.0 |  -3.874266250653251e-11 |  -8.286118656129893e-13 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.alpha |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.index | -2.8956426343326816e-07 |  -4.581588713379798e-21 | 0.0 | 0.0 |  3.3922469392145344e-06 | 0.0 |  3.6500479578588734e-09 | 0.0 | 0.0 | -0.00010710701128554601 | -5.983251481663406e-18 | 0.0 |   -3.15857728938414e-05 | 0.0 |     0.02505879020821324 |   4.408669375205808e-15 | 0.0 |   -0.001723425495958579 | 0.0 | -3.2626047939030475e-06 |  -1.448406884547451e-18 | 0.0 |   9.566584329185798e-08 | 0.0 |    5.87136697818473e-09 | 1.3773109474609926e-22 | 0.0 |  -3.808281553552916e-11 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   3.610180653094971e-25 | 0.0 |  -2.174649787090153e-08 |  -2.621698675451953e-09 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.amplitude |  -3.573688810726004e-19 | -5.7465238371751064e-33 | 0.0 | 0.0 |    4.19869612374594e-18 | 0.0 |   4.526154879575629e-21 | 0.0 | 0.0 |  -6.024946950746373e-17 | -1.192490434506249e-29 | 0.0 |  -1.817946670266265e-17 | 0.0 |   4.408669375205808e-15 |  1.1129799973739249e-26 | 0.0 |   5.966466621909744e-16 | 0.0 |  -2.893976975237793e-18 | -1.2461960686597359e-30 | 0.0 |   8.869935519958798e-20 | 0.0 |   7.210986257364294e-21 | 1.7115842237209892e-34 | 0.0 | -4.8594108419402545e-23 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  4.2524686136861035e-37 | 0.0 | -2.5551784812758156e-20 | -3.0619438252067977e-21 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2018+367.spectral.lambda_ | -3.3169799151364997e-09 |  -7.376424007146274e-23 | 0.0 | 0.0 |  4.2964191889801465e-08 | 0.0 |   4.680198776948919e-11 | 0.0 | 0.0 |  -3.803223707913391e-06 | -7.824927299685704e-19 | 0.0 | -2.6596406573536667e-06 | 0.0 |   -0.001723425495958579 |   5.966466621909744e-16 | 0.0 |   0.0004717445670819798 | 0.0 |  3.8765728241102625e-08 |  1.9943068713892774e-20 | 0.0 |  -8.642503958896339e-10 | 0.0 |   6.609127874736014e-11 | 1.7643379473544908e-24 | 0.0 | -1.5833934859871692e-12 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -8.931365244369297e-28 | 0.0 |   7.103541632630736e-11 |  1.4091686731425702e-11 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.alpha |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2016+371.spectral.index | -1.0007533845598647e-06 | -1.5853308952703138e-20 | 0.0 | 0.0 |   1.535757659329922e-05 | 0.0 |  1.2374050286465264e-08 | 0.0 | 0.0 |  2.3252892994660942e-08 | 3.2413100389595073e-21 | 0.0 |    6.78175463869935e-09 | 0.0 | -3.2626047939030475e-06 |  -2.893976975237793e-18 | 0.0 |  3.8765728241102625e-08 | 0.0 |    0.029485098057025344 |   2.484306835221756e-15 | 0.0 |   -0.002111902820964306 | 0.0 |   2.393229281781952e-08 |  5.678985661967896e-22 | 0.0 | -1.3796620485138872e-10 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.4892676173371466e-24 | 0.0 |  -8.988666224109407e-08 | -1.0930558112397082e-08 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
