|                           Parameters |                       0 |                       1 |   2 |   3 |                      4 |   5 |                       6 |   7 |   8 |                       9 |                      10 |  11 |                      12 |  13 |                      14 |                      15 |  16 |                      17 |  18 |                     19 |                     20 |  21 |                      22 |  23 |  24 |  25 |  26 |  27 |  28 |  29 |  30 |  31 |  32 |  33 |  34 |  35 |  36 |  37 |  38 |  39 |
|     VER J2020+368.spectral.amplitude | -2.1000162326689915e-20 |  1.1525414305365244e-33 | 0.0 | 0.0 |  7.878372567645368e-20 | 0.0 |   1.865748224206137e-23 | 0.0 | 0.0 |   9.722878352497836e-15 |  2.5659682713630093e-27 | 0.0 |  1.7399855360182772e-15 | 0.0 | -1.0869958906123575e-16 |  -1.375816259171537e-28 | 0.0 |  -1.041254046245342e-17 | 0.0 | 1.9966659958209074e-20 |  1.021571712802175e-32 | 0.0 |  -4.010389676501523e-23 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2020+368.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2020+368.spectral.lambda_ |  -5.230171927648033e-09 | -2.4115150929277314e-25 | 0.0 | 0.0 | 4.5205994571677617e-08 | 0.0 |   1.071141705499193e-11 | 0.0 | 0.0 | -0.00044544961309028134 |  1.7399855360182772e-15 | 0.0 |    0.003985337562777041 | 0.0 | -0.00010694183454671951 |   -7.51224869533555e-17 | 0.0 |  -9.831664579189196e-06 | 0.0 | 1.2210659430282639e-08 |  6.314356829999192e-21 | 0.0 |  -3.682420314251807e-11 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.alpha |                     0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.index |  -9.333427681152973e-07 |   6.810609715122999e-20 | 0.0 | 0.0 |  2.048985882089945e-06 | 0.0 |  4.3015263007107466e-10 | 0.0 | 0.0 |  -0.0005460610452054874 | -1.0869958906123575e-16 | 0.0 | -0.00010694183454671951 | 0.0 |    0.031048408710975254 |   8.858135500885242e-15 | 0.0 |  -0.0017864172190464784 | 0.0 | -2.162975860715082e-06 | -1.113250337252985e-18 | 0.0 | -1.5977601126408343e-10 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.amplitude | -1.0136897120492179e-18 |   7.346818882436968e-32 | 0.0 | 0.0 | 2.2708402455194706e-18 | 0.0 |   4.771005593472088e-22 | 0.0 | 0.0 | -4.0548530390127356e-16 |  -1.375816259171537e-28 | 0.0 |   -7.51224869533555e-17 | 0.0 |   8.858135500885242e-15 |  1.3644452705790052e-26 | 0.0 |   9.493299795684106e-16 | 0.0 | -1.893738739784817e-18 | -9.618066556775004e-31 | 0.0 |  1.9141002834673068e-21 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2018+367.spectral.lambda_ | -3.0965368231097056e-08 |  2.1166301427352562e-21 | 0.0 | 0.0 |  8.087912456562988e-08 | 0.0 |  1.7016720701614986e-11 | 0.0 | 0.0 |  -3.558549910881667e-05 |  -1.041254046245342e-17 | 0.0 |  -9.831664579189196e-06 | 0.0 |  -0.0017864172190464784 |   9.493299795684106e-16 | 0.0 |   0.0007077403689519633 | 0.0 |  -3.18783139390924e-08 | -1.504717319361207e-20 | 0.0 |  1.8976396836215664e-10 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.alpha |                     0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2016+371.spectral.index |  -3.926322921286299e-06 |  2.9154342943836143e-19 | 0.0 | 0.0 |  8.345957390282143e-06 | 0.0 |  1.3574720883148731e-09 | 0.0 | 0.0 |   6.726408074505097e-08 |  1.9966659958209074e-20 | 0.0 |  1.2210659430282639e-08 | 0.0 |  -2.162975860715082e-06 |  -1.893738739784817e-18 | 0.0 |   -3.18783139390924e-08 | 0.0 |    0.03633290992022941 |  6.861522147163101e-15 | 0.0 |  -0.0024203004963124454 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
