|                           Parameters |                       0 |                      1 |   2 |   3 |                      4 |   5 |                      6 |   7 |   8 |                       9 |                      10 |  11 |                      12 |  13 |                      14 |                      15 |  16 |                      17 |  18 |                      19 |                      20 |  21 |                      22 |  23 |  24 |  25 |  26 |  27 |  28 |  29 |  30 |  31 |  32 |  33 |  34 |  35 |  36 |  37 |  38 |  39 |
|     VER J2020+368.spectral.amplitude | -4.6667284343186314e-20 | 3.4258624952755746e-33 | 0.0 | 0.0 |  6.692834812087415e-20 | 0.0 | 4.2268620650764816e-23 | 0.0 | 0.0 |  1.0160629657125133e-14 |   2.927237510442728e-27 | 0.0 |  1.7763287905735538e-15 | 0.0 | -1.2217397255563449e-16 | -1.5302245602532882e-28 | 0.0 | -1.1961396346981021e-17 | 0.0 |   2.123944135697112e-20 |  1.0527005884170584e-32 | 0.0 |  -8.226518063164404e-23 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2020+368.spectral.reference |                     0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2020+368.spectral.lambda_ | -2.4489208211508298e-08 | 1.8131876055594024e-21 | 0.0 | 0.0 |  3.418806052261188e-08 | 0.0 | 2.1559299385361405e-11 | 0.0 | 0.0 |  -0.0003359663696447521 |  1.7763287905735538e-15 | 0.0 |   0.0036997486686973086 | 0.0 | -0.00010683582418275342 |  -7.526299252517003e-17 | 0.0 |  -1.032919473177722e-05 | 0.0 |  1.2411425177526958e-08 |   5.999556492053608e-21 | 0.0 |  -7.980981864141331e-11 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.alpha |                     0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.index |  -9.253955345102073e-07 |  6.668438498096546e-20 | 0.0 | 0.0 | 1.4293734469010519e-06 | 0.0 |  8.000453844255363e-10 | 0.0 | 0.0 |  -0.0005633037419814699 | -1.2217397255563449e-16 | 0.0 | -0.00010683582418275342 | 0.0 |     0.03037071371716847 |   9.028478531861106e-15 | 0.0 |  -0.0016832478691993368 | 0.0 |  -2.059779353914082e-06 | -1.0585037354591637e-18 | 0.0 |  -4.438436978371224e-09 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.amplitude | -1.0145035530466938e-18 |  7.292368989658713e-32 | 0.0 | 0.0 |  1.579649703478702e-18 | 0.0 |   8.84738317073658e-22 | 0.0 | 0.0 | -4.1937791968265206e-16 | -1.5302245602532882e-28 | 0.0 |  -7.526299252517003e-17 | 0.0 |   9.028478531861106e-15 |  1.3559079104889894e-26 | 0.0 |   9.816304066362648e-16 | 0.0 |  -1.822004989506355e-18 |   -9.23407513568046e-31 | 0.0 | -1.7327693361887107e-21 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.reference |                     0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2018+367.spectral.lambda_ |  -4.100982636663422e-08 | 2.9786851128662057e-21 | 0.0 | 0.0 |  6.165417841511493e-08 | 0.0 | 3.4589266013950275e-11 | 0.0 | 0.0 | -3.9410076704769046e-05 | -1.1961396346981021e-17 | 0.0 |  -1.032919473177722e-05 | 0.0 |  -0.0016832478691993368 |   9.816304066362648e-16 | 0.0 |   0.0007215805884829149 | 0.0 | -3.9320910361439285e-08 |  -1.875896418760953e-20 | 0.0 |  1.7165180009635964e-10 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.alpha |                     0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2016+371.spectral.index |  -3.845581323202953e-06 |  2.787913213108178e-19 | 0.0 | 0.0 |  5.947202125698595e-06 | 0.0 |  2.580705334718287e-09 | 0.0 | 0.0 |    6.39316200550309e-08 |   2.123944135697112e-20 | 0.0 |  1.2411425177526958e-08 | 0.0 |  -2.059779353914082e-06 |  -1.822004989506355e-18 | 0.0 | -3.9320910361439285e-08 | 0.0 |      0.0359665770722515 |  6.7673182318282025e-15 | 0.0 |   -0.002291531009491656 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
