|                           Parameters |                       0 |                       1 |   2 |   3 |                       4 |   5 |                       6 |   7 |   8 |                       9 |                      10 |  11 |                      12 |  13 |                      14 |                      15 |  16 |                      17 |  18 |                      19 |                      20 |  21 |                      22 |  23 |                      24 |                      25 |  26 |                      27 |  28 |  29 |  30 |  31 |  32 |  33 |                      34 |  35 |                      36 |                      37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |  48 |  49 |  50 |  51 |  52 |  53 |  54 |  55 |  56 |  57 |  58 |  59 |  60 |  61 |  62 |  63 |
|     VER J2020+368.spectral.amplitude | -1.2717006097751315e-22 |  -9.240585620838223e-36 | 0.0 | 0.0 |  1.3114812415241262e-21 | 0.0 |  4.2491954496078825e-25 | 0.0 | 0.0 |   2.148581472762383e-16 |   2.555310875758741e-29 | 0.0 |   5.072190982687506e-17 | 0.0 |  -5.121466150993312e-19 |  -3.499496073844981e-30 | 0.0 |  -1.460909550128627e-19 | 0.0 |   5.258893712818904e-22 |  2.5579705527511608e-34 | 0.0 |  -8.742869257553006e-24 | 0.0 |  1.4629632166945395e-24 |   7.472982486784962e-37 | 0.0 | -1.3364212779103715e-24 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -2.4970484812410817e-36 | 0.0 |   2.810694326393406e-22 |   8.867215605909764e-23 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2020+368.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2020+368.spectral.lambda_ | -2.1484034953523734e-10 | -1.5746627993724563e-23 | 0.0 | 0.0 |  2.2918575407964585e-09 | 0.0 |    7.27063811965388e-13 | 0.0 | 0.0 |    -0.00069004075152419 |   5.072190982687506e-17 | 0.0 |   0.0006192256431896786 | 0.0 | -1.3128996561575868e-05 |  -4.845622410862354e-19 | 0.0 | -1.0223030812194474e-06 | 0.0 |   7.196539930062584e-10 |  3.7724559759450936e-22 | 0.0 | -1.1712084305610776e-11 | 0.0 |  -7.226475631692698e-12 |  1.2254653937896761e-23 | 0.0 |  -4.799437345193527e-12 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -3.1280926186182724e-23 | 0.0 |   3.513705811131831e-09 |   1.121135055046452e-09 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.alpha |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.index |   -8.28092673780596e-08 |   -5.76682367941159e-21 | 0.0 | 0.0 |   8.394452956887721e-07 | 0.0 |   2.369218617742727e-10 | 0.0 | 0.0 |  -3.979372873305026e-05 |  -5.121466150993312e-19 | 0.0 | -1.3128996561575868e-05 | 0.0 |    0.015104316921371501 |   2.577741111316056e-15 | 0.0 |  -0.0007149850949131097 | 0.0 | -1.2413353781801195e-06 | -6.3190948562227465e-19 | 0.0 |  1.6724876781747525e-08 | 0.0 |  1.3847119744929402e-09 |  -2.333249777914471e-22 | 0.0 | -1.1792535224535974e-09 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  4.4651977457909337e-23 | 0.0 | -5.0044912370350084e-09 | -1.5860178966193929e-09 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.amplitude | -1.2030975234745535e-19 |  -8.377820938581779e-33 | 0.0 | 0.0 |  1.2193311183056214e-18 | 0.0 |   3.447145349422285e-22 | 0.0 | 0.0 |   3.528329709843396e-18 |  -3.499496073844981e-30 | 0.0 |  -4.845622410862354e-19 | 0.0 |   2.577741111316056e-15 |   7.716876941187435e-27 | 0.0 |  3.5522951318661915e-16 | 0.0 | -1.2642065311128323e-18 | -6.2060571687343365e-31 | 0.0 |  1.8481366119282517e-20 | 0.0 |  1.9731824413734107e-21 | -3.0278674676991534e-34 | 0.0 |   -1.75009711022981e-21 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -5.6302246510283654e-36 | 0.0 |   5.817609386595786e-22 |  4.1904627036140125e-23 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2018+367.spectral.lambda_ | -1.8432572867500353e-09 |   -1.27808208847863e-22 | 0.0 | 0.0 |  1.8689503897175155e-08 | 0.0 |   5.305212227225629e-12 | 0.0 | 0.0 |  -1.680759989568422e-06 |  -1.460909550128627e-19 | 0.0 | -1.0223030812194474e-06 | 0.0 |  -0.0007149850949131097 |  3.5522951318661915e-16 | 0.0 |  0.00028171842516217275 | 0.0 | -2.1691753888198177e-09 |  2.6956364744080805e-23 | 0.0 |   9.809578666808392e-11 | 0.0 |  2.3372109360660717e-11 |  2.4977021844717087e-24 | 0.0 | -2.9886918930966574e-11 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -1.483149783835344e-23 | 0.0 |   1.654671774924016e-09 |   5.027176361818669e-10 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.alpha |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2016+371.spectral.index |  -3.672918934170475e-07 | -2.5720575127016057e-20 | 0.0 | 0.0 |   3.836848022553073e-06 | 0.0 |   8.147976601622555e-10 | 0.0 | 0.0 |  1.5233554642372536e-09 |   5.258893712818904e-22 | 0.0 |   7.196539930062584e-10 | 0.0 | -1.2413353781801195e-06 | -1.2642065311128323e-18 | 0.0 | -2.1691753888198177e-09 | 0.0 |    0.018310982696406755 |  1.4338532710299463e-15 | 0.0 |  -0.0008933030788423215 | 0.0 |  6.1012776828331216e-09 |   -9.59302672092294e-22 | 0.0 | -5.4309699785593366e-09 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  4.3574256517989014e-23 | 0.0 |  -4.867542523697821e-09 |   -1.49673361590173e-09 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
