|                           Parameters |                       0 |                       1 |   2 |   3 |                      4 |   5 |                       6 |   7 |   8 |                       9 |  10 |                     11 |                      12 |  13 |  14 |  15 |  16 |  17 |                      18 |                      19 |  20 |                      21 |  22 |                      23 |                      24 |  25 |                      26 |  27 |                      28 |                     29 |  30 |                      31 |  32 |  33 |  34 |  35 |  36 |  37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |  48 |  49 |  50 |  51 |
|    PSR J1958+2846.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        PSR J1958+2846.spectral.alpha |  -7.443432183747469e-07 |  -5.619709488935651e-20 | 0.0 | 0.0 |   5.96499978047786e-06 | 0.0 |   4.798483378942972e-09 | 0.0 | 0.0 |  -5.057123400205865e-12 | 0.0 |      8.726104470867137 |      0.2720440808128501 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  2.5099917210316677e-11 |  1.0162735547521679e-23 | 0.0 |   2.768792641428498e-12 | 0.0 |  3.0039783323655856e-10 |     4.7638204962126e-22 | 0.0 |   4.124554766654523e-12 | 0.0 |  1.3366991773970661e-09 |  1.143921609328094e-21 | 0.0 |  1.3827863736234217e-11 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         PSR J1958+2846.spectral.beta | -2.0439765035311772e-08 | -1.5458081779082657e-21 | 0.0 | 0.0 | 1.6397406633454687e-07 | 0.0 |  1.3192265697604492e-10 | 0.0 | 0.0 | -1.5550937570751743e-13 | 0.0 |     0.2720440808128501 |    0.011343576492221261 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   6.917013252157196e-13 |   2.793556021885913e-25 | 0.0 |   7.669510616778375e-14 | 0.0 |   8.403821234424572e-12 |  1.3000679602973295e-23 | 0.0 |  7.0888035694993365e-15 | 0.0 |  3.8849181894266375e-11 | 3.1671408639945385e-23 | 0.0 |   2.959415943190408e-13 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         PSR J1958+2846.spatial.lon_0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         PSR J1958+2846.spatial.lat_0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         PSR J1958+2846.spatial.sigma |                     0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|             PSR J1958+2846.spatial.e |                     0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|           PSR J1958+2846.spatial.phi |                     0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.index | -1.6991140797653606e-09 | -1.2397342353457693e-22 | 0.0 | 0.0 | 1.3314641868895556e-08 | 0.0 |   9.189342370009093e-12 | 0.0 | 0.0 |  -1.425690678632743e-23 | 0.0 | 2.5099917210316677e-11 |   6.917013252157196e-13 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |     0.01541556384159103 |   7.929560010823337e-16 | 0.0 |  -0.0007058411466940047 | 0.0 | -4.4628233272549925e-05 |  1.4902147024483695e-17 | 0.0 | -3.8434575127018495e-06 | 0.0 |  -2.347459953550888e-11 | -3.307514386896227e-23 | 0.0 | -3.4106720138446374e-12 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2020+368.spectral.amplitude |  -6.834179741656176e-22 |  -4.993255538847295e-35 | 0.0 | 0.0 |  5.417034505012971e-21 | 0.0 |   3.783810366625167e-24 | 0.0 | 0.0 |  -5.775235991111554e-36 | 0.0 | 1.0162735547521679e-23 |   2.793556021885913e-25 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   7.929560010823337e-16 |  3.7544136409388462e-28 | 0.0 |   1.737504287158957e-16 | 0.0 |   1.099837947348099e-18 |  -9.000552764292119e-30 | 0.0 |   6.465794168417062e-21 | 0.0 |  2.4911723656466454e-22 | 1.5469693280934978e-34 | 0.0 | -2.6251194634825846e-25 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
