|                           Parameters |                       0 |                       1 |   2 |   3 |                       4 |   5 |                       6 |   7 |   8 |                       9 |                      10 |  11 |                      12 |  13 |                      14 |                      15 |  16 |                      17 |  18 |                      19 |                      20 |  21 |                      22 |  23 |                      24 |                      25 |  26 |                      27 |  28 |  29 |  30 |  31 |  32 |  33 |                      34 |  35 |                      36 |                      37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |  48 |  49 |  50 |  51 |  52 |  53 |  54 |  55 |  56 |
|     VER J2020+368.spectral.amplitude |  -1.145297141972972e-22 |   -2.99074940643478e-35 | 0.0 | 0.0 |   2.487674234729386e-21 | 0.0 |   7.924841317659406e-24 | 0.0 | 0.0 |   7.157611820479586e-16 |   6.978607214559004e-29 | 0.0 |   1.491459871139957e-16 | 0.0 |  -5.637125384852602e-18 | -1.1321568626808396e-29 | 0.0 |  -7.204778118225072e-19 | 0.0 |   2.535809368176624e-21 |   1.189790546073155e-33 | 0.0 |  -6.569967377588163e-23 | 0.0 |   6.023065935638938e-24 |   3.278110786299201e-37 | 0.0 |  1.5338317177422123e-24 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   5.770527301858679e-39 | 0.0 |  -3.345478319769956e-22 |  -5.379193623005812e-23 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2020+368.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2020+368.spectral.lambda_ |  3.3948490660463835e-10 |   -7.33499852784561e-23 | 0.0 | 0.0 |   4.443970141476572e-09 | 0.0 |  1.3969593810524611e-11 | 0.0 | 0.0 |  -0.0015874653825309075 |   1.491459871139957e-16 | 0.0 |   0.0014077933359769536 | 0.0 | -2.9815695491635466e-05 | -1.7951860597071817e-17 | 0.0 | -2.3866750323748998e-06 | 0.0 |   5.479600311974402e-09 |   2.590472625628231e-21 | 0.0 | -1.5346573852331705e-10 | 0.0 |  1.1922253957156148e-11 |   5.449711418310984e-25 | 0.0 |   2.212465999007217e-12 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   1.139455661348706e-26 | 0.0 |  -6.586715470685496e-10 |   -1.04208200298339e-10 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.alpha |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.index | -2.9117137152362134e-07 |  -3.425766679664818e-21 | 0.0 | 0.0 |  1.1743380022161166e-06 | 0.0 |  3.1056343544007844e-09 | 0.0 | 0.0 |  -0.0001009165638435702 |  -5.637125384852602e-18 | 0.0 | -2.9815695491635466e-05 | 0.0 |    0.023912333120213642 |   4.534386741861832e-15 | 0.0 |   -0.001645625875690776 | 0.0 |  -2.698668380636379e-06 | -1.2901653235169831e-18 | 0.0 |   6.836741737854338e-08 | 0.0 |    2.36605870384316e-09 |  5.2693569305471513e-23 | 0.0 | -1.2444475835345056e-11 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.7009966610167134e-25 | 0.0 |  -9.058297067764424e-09 | -1.1839316661258027e-09 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.amplitude |  -3.648085542183233e-19 | -4.4050856156447304e-33 | 0.0 | 0.0 |  1.4798231001535898e-18 | 0.0 |   3.918926090556472e-21 | 0.0 | 0.0 |  -5.823115258611463e-17 | -1.1321568626808396e-29 | 0.0 | -1.7951860597071817e-17 | 0.0 |   4.534386741861832e-15 |   1.104975410115671e-26 | 0.0 |   5.750638152951807e-16 | 0.0 |  -2.422106227165393e-18 | -1.1284884988178838e-30 | 0.0 |   6.427240123254246e-20 | 0.0 |   2.976536596690489e-21 |   6.777427339323489e-35 | 0.0 |   -8.17357035237986e-24 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  2.3625234843596747e-37 | 0.0 | -1.2601858896386042e-20 | -1.6377912540159545e-21 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2018+367.spectral.lambda_ |  -3.672946983838369e-09 |  -6.877636387353482e-23 | 0.0 | 0.0 |  1.6720481632479536e-08 | 0.0 |   4.475634115537882e-11 | 0.0 | 0.0 |   -3.36186100969574e-06 |  -7.204778118225072e-19 | 0.0 | -2.3866750323748998e-06 | 0.0 |   -0.001645625875690776 |   5.750638152951807e-16 | 0.0 |  0.00044190945061959913 | 0.0 |   3.105568872082435e-08 |   1.701133244570375e-20 | 0.0 |  -5.719375084386431e-10 | 0.0 |  3.5852335563986115e-11 |   9.997913253806986e-25 | 0.0 |   1.897732713061368e-12 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   9.571172843972183e-27 | 0.0 |  -5.310862479268389e-10 |  -7.528500210184218e-11 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.alpha |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2016+371.spectral.index | -1.1380259745831751e-06 | -1.3081579004323976e-20 | 0.0 | 0.0 |   5.377606545387144e-06 | 0.0 |  1.0859520742870945e-08 | 0.0 | 0.0 |  1.8208134152443338e-08 |   2.535809368176624e-21 | 0.0 |   5.479600311974402e-09 | 0.0 |  -2.698668380636379e-06 |  -2.422106227165393e-18 | 0.0 |   3.105568872082435e-08 | 0.0 |     0.02966640625943534 |   2.615504620449699e-15 | 0.0 |  -0.0020971503130028527 | 0.0 |     9.5021268185232e-09 |   2.146329426034691e-22 | 0.0 |  -4.782044410107284e-11 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   6.904710003571537e-25 | 0.0 |   -3.65790331882626e-08 | -4.6527706390121365e-09 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
