|                           Parameters |                       0 |                       1 |   2 |   3 |                       4 |   5 |                       6 |   7 |   8 |                       9 |                      10 |  11 |                      12 |  13 |                      14 |                      15 |  16 |                      17 |  18 |                      19 |                      20 |  21 |                      22 |  23 |  24 |  25 |  26 |  27 |  28 |  29 |  30 |  31 |  32 |  33 |  34 |  35 |  36 |  37 |  38 |  39 |  40 |
|     cygnus_background.spectral.index |     0.36390778638683885 |  -2.271512788309478e-14 | 0.0 | 0.0 |    0.003291921229271965 | 0.0 |  -1.100129504561732e-06 | 0.0 | 0.0 |  -3.551253660172876e-08 |  -7.097546670716913e-21 | 0.0 | -1.0560926121073469e-08 | 0.0 |  -7.078327383633217e-07 |  -9.302217945067238e-19 | 0.0 |  -1.663972405653733e-08 | 0.0 | -2.9226112511424168e-06 | -1.9534327615742555e-18 | 0.0 |   8.748519164523866e-09 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| cygnus_background.spectral.amplitude |  -2.271512788309478e-14 |  1.4255524484140561e-27 | 0.0 | 0.0 | -1.5552025807651916e-16 | 0.0 |   5.026274676162487e-20 | 0.0 | 0.0 |  1.3897643911681426e-21 |  3.2405088244044885e-34 | 0.0 |    5.50538028310894e-22 | 0.0 |   3.144128242967999e-20 |   4.131354282649974e-32 | 0.0 |   7.626950787893967e-22 | 0.0 |  1.2882311089747066e-19 |   8.554057874403674e-32 | 0.0 |  -4.848017640632506e-22 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| cygnus_background.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      cygnus_background.spatial.lon_0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      cygnus_background.spatial.lat_0 |    0.003291921229271965 | -1.5552025807651916e-16 | 0.0 | 0.0 |    0.008676947451824625 | 0.0 |   5.043682680952875e-08 | 0.0 | 0.0 |   9.800238982572938e-08 |   1.419426752702619e-20 | 0.0 |  1.3140432827312493e-08 | 0.0 |  1.5679912748431732e-06 |  2.0631541156864687e-18 | 0.0 |  3.4177846275576664e-08 | 0.0 |   6.765620084270288e-06 |   4.592617126058494e-18 | 0.0 |    -7.8149783995349e-09 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        cygnus_background.spatial.r_0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        cygnus_background.spatial.eta |  -1.100129504561732e-06 |   5.026274676162487e-20 | 0.0 | 0.0 |   5.043682680952875e-08 | 0.0 |   5.169036986868078e-09 | 0.0 | 0.0 |  2.6777865935814112e-11 |   3.957440783777065e-24 | 0.0 |   3.734289584439084e-12 | 0.0 |  3.8155480123580057e-10 |    5.02854203135776e-22 | 0.0 |    8.34610238374849e-12 | 0.0 |  1.2680343578420973e-09 |   8.621013101809197e-22 | 0.0 | -1.3497361549942577e-12 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|          cygnus_background.spatial.e |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        cygnus_background.spatial.phi |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.index |  -3.551253660172876e-08 |  1.3897643911681426e-21 | 0.0 | 0.0 |   9.800238982572938e-08 | 0.0 |  2.6777865935814112e-11 | 0.0 | 0.0 |     0.02539859231121442 |   1.727411568245869e-15 | 0.0 |  -0.0010955039532220096 | 0.0 | -0.00020066175416090336 | -1.7774132715416615e-16 | 0.0 |  -9.929591639880999e-06 | 0.0 |   6.324332933415489e-08 |   3.086707371024537e-20 | 0.0 | -1.2436655417869664e-09 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
