|                           Parameters |                       0 |                       1 |   2 |   3 |                       4 |   5 |                      6 |   7 |   8 |                       9 |                      10 |  11 |                      12 |  13 |                      14 |                      15 |  16 |                      17 |  18 |                      19 |                      20 |  21 |                      22 |  23 |  24 |  25 |  26 |  27 |  28 |  29 |  30 |  31 |  32 |  33 |  34 |  35 |  36 |  37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |
|     VER J2020+368.spectral.amplitude | -5.5914977837175756e-21 |   3.032834143662208e-34 | 0.0 | 0.0 |   6.448661118165359e-21 | 0.0 |  7.243145623231902e-24 | 0.0 | 0.0 |  1.3287472218129452e-15 |  1.7634217470252178e-28 | 0.0 |  2.6208310810057504e-16 | 0.0 | -1.6236223287847988e-17 |  -2.592809040557694e-29 | 0.0 |  -1.703159127490912e-18 | 0.0 |    7.85520956692798e-21 |   3.503162118310346e-33 | 0.0 | -1.6235836347620762e-22 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2020+368.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2020+368.spectral.lambda_ |  -3.651640302470688e-09 |  1.4336239923732834e-22 | 0.0 | 0.0 |   8.084633765115181e-09 | 0.0 |  9.060743208574354e-12 | 0.0 | 0.0 |  -0.0010288492232712553 |  2.6208310810057504e-16 | 0.0 |   0.0014429404810832908 | 0.0 |  -4.496933443994273e-05 | -3.1416295786339967e-17 | 0.0 |  -3.942554048530315e-06 | 0.0 |  1.1853246547770266e-08 |   5.313237178480735e-21 | 0.0 | -2.5431767951940136e-10 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.alpha |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.index |  -9.160900834274539e-07 |   4.822716574620091e-20 | 0.0 | 0.0 |  1.1799196018661276e-06 | 0.0 | 1.1483206468095094e-09 | 0.0 | 0.0 | -0.00017315329385631282 | -1.6236223287847988e-17 | 0.0 |  -4.496933443994273e-05 | 0.0 |     0.02459712514796425 |   4.796240176526704e-15 | 0.0 |   -0.001404759411183268 | 0.0 | -3.5003295387438656e-06 | -1.6260631002259468e-18 | 0.0 |   6.110475754445957e-08 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.amplitude | -1.1610418930774624e-18 |   6.098552906229725e-32 | 0.0 | 0.0 |  1.5051029120996177e-18 | 0.0 | 1.4662886016495252e-21 | 0.0 | 0.0 |  -1.333239540648875e-16 |  -2.592809040557694e-29 | 0.0 | -3.1416295786339967e-17 | 0.0 |   4.796240176526704e-15 |  1.1747333791693834e-26 | 0.0 |     6.6846238808468e-16 | 0.0 | -3.2635253165286168e-18 | -1.4709182592289165e-30 | 0.0 |   6.109148160681262e-20 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2018+367.spectral.lambda_ | -1.9860587703355184e-08 |   9.781906447277323e-22 | 0.0 | 0.0 |   3.049062940994912e-08 | 0.0 | 2.9746779832213175e-11 | 0.0 | 0.0 |  -9.467249885831471e-06 |  -1.703159127490912e-18 | 0.0 |  -3.942554048530315e-06 | 0.0 |   -0.001404759411183268 |     6.6846238808468e-16 | 0.0 |  0.00045834733788002567 | 0.0 |  -6.967698669865437e-09 |  -3.003258178873578e-23 | 0.0 |   4.041075568185302e-10 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.alpha |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2016+371.spectral.index | -3.7201796735961547e-06 |  1.9455524438225761e-19 | 0.0 | 0.0 |   5.080294687743129e-06 | 0.0 |  3.819524608573241e-09 | 0.0 | 0.0 |   4.874578734691846e-08 |    7.85520956692798e-21 | 0.0 |  1.1853246547770266e-08 | 0.0 | -3.5003295387438656e-06 | -3.2635253165286168e-18 | 0.0 |  -6.967698669865437e-09 | 0.0 |    0.028464586896699062 |  2.3414336156858964e-15 | 0.0 |  -0.0017208244513413277 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
