|                           Parameters |                       0 |                       1 |   2 |   3 |                       4 |   5 |                       6 |   7 |   8 |                       9 |                      10 |  11 |                      12 |  13 |                      14 |                      15 |  16 |                      17 |  18 |                      19 |                      20 |  21 |                      22 |  23 |                      24 |                     25 |  26 |                      27 |  28 |  29 |  30 |  31 |  32 |  33 |                      34 |  35 |                      36 |                      37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |  48 |  49 |  50 |  51 |  52 |  53 |  54 |  55 |  56 |  57 |  58 |  59 |  60 |  61 |  62 |  63 |
|     VER J2020+368.spectral.amplitude |  -4.559771376618347e-22 |  -3.086012598933016e-35 | 0.0 | 0.0 |  2.2073669623726986e-21 | 0.0 |   4.530950161776033e-24 | 0.0 | 0.0 |  3.0107318464075836e-16 |  4.5596002495106877e-29 | 0.0 |   6.855902413265613e-17 | 0.0 | -1.3346465592797788e-18 |  -5.505776856642025e-30 | 0.0 | -2.4074579720895814e-19 | 0.0 |   7.292493096176175e-22 |   3.997733707744522e-34 | 0.0 |  -7.501515972587884e-24 | 0.0 |   2.836359284763834e-24 |  4.127208031866762e-37 | 0.0 |   9.855724802950182e-26 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  2.3414722105543608e-38 | 0.0 |  -4.554917254553088e-23 | -6.6113693159313424e-24 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2020+368.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2020+368.spectral.lambda_ |  -5.408920577136169e-10 |  -3.991984777788257e-23 | 0.0 | 0.0 |  2.7489346969157597e-09 | 0.0 |    5.54081825178698e-12 | 0.0 | 0.0 |  -0.0007123414198304375 |   6.855902413265613e-17 | 0.0 |   0.0006271678767139623 | 0.0 | -1.4022137784629035e-05 |  -1.752249131958174e-18 | 0.0 | -1.1317944560014113e-06 | 0.0 |   9.163535782813293e-10 |   5.253704112948069e-22 | 0.0 |  -4.032091618639968e-12 | 0.0 |  3.5729191206534446e-12 |  5.587131940213784e-25 | 0.0 |  2.0389632835821676e-13 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   2.808047351792485e-26 | 0.0 |  -5.282765336962292e-11 |  -7.451909639947081e-12 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.alpha |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.index | -1.5701275927430884e-07 | -1.0797274750526446e-20 | 0.0 | 0.0 |   7.821375742554277e-07 | 0.0 |  1.3953072686046477e-09 | 0.0 | 0.0 |  -4.435117154899534e-05 | -1.3346465592797788e-18 | 0.0 | -1.4022137784629035e-05 | 0.0 |    0.015368551521938795 |   2.756148128368988e-15 | 0.0 |  -0.0007499408722761596 | 0.0 | -1.1003601690928538e-06 |  -6.053013257498904e-19 | 0.0 |  1.1748536060699503e-08 | 0.0 |  1.2105034949867937e-09 | 1.1214380014447648e-22 | 0.0 |  -7.120151617686399e-12 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  4.6751643599576684e-24 | 0.0 |  -8.971600060438865e-09 | -1.2250516723542673e-09 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.amplitude |   -2.26946546612907e-19 | -1.5610324474250954e-32 | 0.0 | 0.0 |  1.1304924323450172e-18 | 0.0 |  2.0201617540046115e-21 | 0.0 | 0.0 |  -2.007731570141111e-18 |  -5.505776856642025e-30 | 0.0 |  -1.752249131958174e-18 | 0.0 |   2.756148128368988e-15 |   7.914966537387754e-27 | 0.0 |  3.6823165262807592e-16 | 0.0 | -1.1056458852823112e-18 |   -5.90084154323572e-31 | 0.0 |  1.3026047688769368e-20 | 0.0 |   1.722845976186833e-21 | 1.6747298433641338e-34 | 0.0 |  -9.332082591839998e-24 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   7.689091059785873e-36 | 0.0 |   -1.48708589475257e-20 |  -2.026274712452327e-21 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2018+367.spectral.lambda_ | -3.6195707859767363e-09 | -2.4811469454310335e-22 | 0.0 | 0.0 |  1.8031679932003612e-08 | 0.0 |   3.232283395442201e-11 | 0.0 | 0.0 | -1.8753070456670375e-06 | -2.4074579720895814e-19 | 0.0 | -1.1317944560014113e-06 | 0.0 |  -0.0007499408722761596 |  3.6823165262807592e-16 | 0.0 |  0.00028684649502238127 | 0.0 | -1.2306808003420234e-09 |   2.805272676829028e-22 | 0.0 |   7.808998687260834e-11 | 0.0 |   2.708763525794585e-11 | 3.0131527662314445e-24 | 0.0 | -1.6574839462333456e-13 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.6618554524322372e-25 | 0.0 |  -3.254696082564122e-10 | -4.2845377252617824e-11 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.alpha |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2016+371.spectral.index |  -6.652051544021773e-07 |   -4.59238209882111e-20 | 0.0 | 0.0 |  3.4765416073881723e-06 | 0.0 |   4.615319031598369e-09 | 0.0 | 0.0 |  1.9091439630937665e-09 |   7.292493096176175e-22 | 0.0 |   9.163535782813293e-10 | 0.0 | -1.1003601690928538e-06 | -1.1056458852823112e-18 | 0.0 | -1.2306808003420234e-09 | 0.0 |     0.01853958608902071 |  1.6570100914154208e-15 | 0.0 |  -0.0009349943860359136 | 0.0 |   5.122866659983271e-09 |  4.676716040670227e-22 | 0.0 | -2.3745416171332123e-11 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   1.807586666051821e-23 | 0.0 | -3.4479154429546094e-08 | -4.7288115288809805e-09 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
