|                           Parameters |                      0 |                       1 |   2 |                       3 |   4 |                       5 |                       6 |   7 |                       8 |   9 |                     10 |                      11 |  12 |                      13 |  14 |                      15 |                      16 |  17 |                      18 |  19 |  20 |  21 |  22 |  23 |  24 |                      25 |  26 |                      27 |                     28 |  29 |  30 |  31 |  32 |  33 |  34 |  35 |  36 |  37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |
|         VER J2016+371.spectral.index |    0.20696983523118506 |  -1.700376074930369e-13 | 0.0 |   -0.027370783910393045 | 0.0 |     -1.5482537653896715 |  1.8768883477127742e-15 | 0.0 |     0.11322430917370781 | 0.0 |     1.3857186489438247 |  -3.612085157702964e-12 | 0.0 |    -0.18636321492627667 | 0.0 |  -9.818590509691494e-14 |  5.4613275112617235e-09 | 0.0 |  -8.861779995483452e-30 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   2.202840701372255e-18 | 0.0 |   -0.015513285645893715 |   0.030542558003732623 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2016+371.spectral.amplitude |  2.479017214210785e-13 |   4.941886686735802e-25 | 0.0 |  -1.908935524829565e-14 | 0.0 |   4.901628847585835e-12 |  -4.060038622931789e-27 | 0.0 | -3.3917382906672195e-13 | 0.0 | -3.612085157702964e-12 |  1.3702082320570783e-23 | 0.0 |   5.525831663761125e-13 | 0.0 |   5.895413545843525e-25 |   1.799312832805384e-21 | 0.0 |   3.149124218512082e-42 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   7.089489163027547e-29 | 0.0 |   3.433034162797407e-13 | 1.5279946287441808e-12 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2016+371.spectral.reference |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2016+371.spectral.lambda_ |   -0.02838279607796369 |  2.3370518852034982e-14 | 0.0 |    0.003681296193859244 | 0.0 |      0.2179414526326084 | -2.6395023765357814e-16 | 0.0 |   -0.015921168937293943 | 0.0 |   -0.18636321492627667 |   5.525831663761125e-13 | 0.0 |    0.026516757561647057 | 0.0 |   1.452126999591165e-14 |  -7.562828893772886e-10 | 0.0 |  3.1143402580402763e-31 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   4.972249789046827e-20 | 0.0 |    0.004562437890420825 |  0.0035697398768246786 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2016+371.spectral.alpha |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     LHAASO J2032+4102.spectral.index |    5.4249409070897e-13 |   2.513650057422247e-26 | 0.0 |  -6.047544527363109e-14 | 0.0 |   3.360803530553551e-13 |   9.565002253313978e-28 | 0.0 | -1.1141679030151994e-14 | 0.0 | -9.818590509691494e-14 |   5.895413545843525e-25 | 0.0 |   1.452126999591165e-14 | 0.0 |  1.0462404302488345e-14 |   8.339227854056018e-21 | 0.0 |  2.3428838440947906e-42 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   6.336680985154022e-29 | 0.0 |   2.088802768864482e-13 |  1.252656339123039e-12 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| LHAASO J2032+4102.spectral.amplitude |  2.195783311617281e-08 |  2.1346230087943946e-21 | 0.0 | -2.3389776777151023e-09 | 0.0 |  -4.554539413068007e-10 |   4.660917267237008e-23 | 0.0 |  4.5176067706141066e-10 | 0.0 | 5.4613275112617235e-09 |   1.799312832805384e-21 | 0.0 |  -7.562828893772886e-10 | 0.0 |   8.339227854056018e-21 |   8.415009426793794e-15 | 0.0 | -1.0768755933537347e-36 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.0638654836922503e-24 | 0.0 | -1.4463327218072641e-08 |  4.436340721920782e-08 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| LHAASO J2032+4102.spectral.reference |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|   LHAASO J2032+4102.spectral.lambda_ |  5.546446672401216e-30 |  -3.644611888334472e-43 | 0.0 | -2.4132182869079933e-31 | 0.0 |  1.4337049188964576e-29 |  1.5053475771160098e-44 | 0.0 |   -7.93296605470227e-31 | 0.0 | -8.861779995483452e-30 |   3.149124218512082e-42 | 0.0 |  3.1143402580402763e-31 | 0.0 |  2.3428838440947906e-42 | -1.0768755933537347e-36 | 0.0 |   7.344259251425445e-30 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   4.140365685655362e-45 | 0.0 |  1.3297072445562533e-29 |  5.808568985407743e-29 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     LHAASO J2032+4102.spectral.alpha |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
