|                        Parameters |                       0 |   1 |                      2 |                       3 |   4 |   5 |   6 |   7 |   8 |                       9 |                      10 |  11 |                      12 |  13 |                      14 |                      15 |  16 |                      17 |  18 |                      19 |                      20 |  21 |                     22 |  23 |  24 |  25 |  26 |  27 |  28 |  29 |  30 |  31 |  32 |  33 |  34 |  35 |  36 |  37 |  38 |  39 |  40 |  41 |  42 |
|  VER J2020+368.spectral.amplitude | -1.1218366300988935e-28 | 0.0 | -2.187130463883717e-11 |  2.9556762015184356e-15 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.9602502240070485e-10 |  2.0551713342908774e-22 | 0.0 |  1.4128237050427606e-13 | 0.0 |   8.429614724680293e-11 |   -5.25719661813505e-25 | 0.0 |   6.788478458702898e-16 | 0.0 |  -1.729935006106111e-10 |  5.3924662079641785e-24 | 0.0 | -6.918408243494628e-16 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|  VER J2020+368.spectral.reference |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|    VER J2020+368.spectral.lambda_ |   8.832069858813956e-18 | 0.0 |      0.802998238130838 | -0.00011895498319381961 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |      -7.197891757677511 |  1.4128237050427606e-13 | 0.0 |      2.0886161013043183 | 0.0 |      -3.095287940286891 |  1.9303963896640806e-14 | 0.0 | -2.5011928540129834e-05 | 0.0 |      6.3521839491065935 | -1.9800719427111137e-13 | 0.0 |  2.543483740160045e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      VER J2020+368.spectral.alpha |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      VER J2018+367.spectral.index |   1.996604922018212e-15 | 0.0 |      479.1919552833288 |    -0.06418181891970878 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |      -4294.736604795802 |   8.429614724680293e-11 | 0.0 |      -3.095287940286891 | 0.0 |      19089.537553258167 |  1.1518103816616954e-11 | 0.0 |   -0.014880209591957455 | 0.0 |      3790.1367542376006 | -1.1814423272609214e-10 | 0.0 |   0.015156771260397344 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|  VER J2018+367.spectral.amplitude |  2.7010907984812295e-29 | 0.0 | -2.989419496142285e-12 |  3.4559745188956326e-16 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  2.6784450586685837e-11 |   -5.25719661813505e-25 | 0.0 |  1.9303963896640806e-14 | 0.0 |  1.1518103816616954e-11 |  2.0929488556456167e-22 | 0.0 |  1.0013922043740953e-16 | 0.0 | -2.3637479731980936e-11 |     7.3681501157256e-25 | 0.0 |  -9.44259752891196e-17 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|  VER J2018+367.spectral.reference |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|    VER J2018+367.spectral.lambda_ |   -9.79640854702864e-18 | 0.0 |   0.004094067358021216 |    8.62043724419938e-06 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |    -0.03458117689773785 |   6.788478458702898e-16 | 0.0 | -2.5011928540129834e-05 | 0.0 |   -0.014880209591957455 |  1.0013922043740953e-16 | 0.0 |     0.02111163772151214 | 0.0 |     0.03051771027674944 |   -9.51324876155474e-16 | 0.0 | 1.1883436850489207e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      VER J2018+367.spectral.alpha |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      VER J2016+371.spectral.index |  -4.234171044406968e-15 | 0.0 |     -983.3999454295645 |     0.13186779093871942 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |       8813.705893371492 |  -1.729935006106111e-10 | 0.0 |      6.3521839491065935 | 0.0 |      3790.1367542376006 | -2.3637479731980936e-11 | 0.0 |     0.03051771027674944 | 0.0 |      13158.231907414487 |  2.4245694080648716e-10 | 0.0 |  -0.031115714732002087 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
