|                           Parameters |                       0 |                      1 |   2 |                       3 |   4 |                       5 |                       6 |   7 |                      8 |   9 |                      10 |                      11 |  12 |                      13 |  14 |                      15 |                      16 |  17 |                      18 |  19 |  20 |  21 |  22 |  23 |  24 |                      25 |  26 |                      27 |                      28 |  29 |  30 |  31 |  32 |  33 |  34 |  35 |  36 |  37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |
|         VER J2016+371.spectral.index |   0.0013825030292876296 |  4.698057227660502e-16 | 0.0 |  0.00034974244250651656 | 0.0 | -0.00033902286715422117 | -2.6569906587393865e-16 | 0.0 | 2.7772774105342123e-06 | 0.0 |     0.03110446498492167 |    7.85169387882832e-15 | 0.0 |  -0.0006349036524526886 | 0.0 |   0.0009864079891292812 | -1.2102420088807567e-16 | 0.0 |   -0.000455058300536088 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -2.5207756525090306e-19 | 0.0 |   0.0016054948353297184 |   0.0019225189959602093 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2016+371.spectral.amplitude |   7.083889988408047e-16 | 2.4434260102995744e-28 | 0.0 |   1.893543655209086e-16 | 0.0 |  -1.886568345285254e-16 |  -1.199655757155022e-28 | 0.0 |  2.714645134986149e-19 | 0.0 |    7.85169387882832e-15 |   3.870003644681363e-27 | 0.0 |   5.328875238016765e-16 | 0.0 |  3.2279159548160897e-16 |  -5.126788246008538e-29 | 0.0 | -1.8824209891598372e-16 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -8.079349784620881e-32 | 0.0 |    9.43968488885407e-16 |  1.0522354638905659e-15 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2016+371.spectral.reference |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2016+371.spectral.lambda_ |   0.0002497216605125041 |  9.468838531276274e-17 | 0.0 |    7.72844405169423e-05 | 0.0 |   -8.59752308606996e-05 |  -4.620505027327593e-17 | 0.0 | -8.449646103447632e-07 | 0.0 |  -0.0006349036524526886 |   5.328875238016765e-16 | 0.0 |   0.0006485613682227108 | 0.0 | -5.5505891291991436e-05 |   3.971476165543914e-20 | 0.0 |  -1.760149278826109e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  3.7357705829817675e-20 | 0.0 |  0.00031677573054316604 |   0.0003878592465574289 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2016+371.spectral.alpha |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     LHAASO J2032+4102.spectral.index |  -9.781519400026432e-05 | -2.377294438267713e-16 | 0.0 | -0.00022931636221088008 | 0.0 |  0.00047975321513930684 |   3.620322490695713e-16 | 0.0 |  4.729309930982942e-05 | 0.0 |   0.0009864079891292812 |  3.2279159548160897e-16 | 0.0 | -5.5505891291991436e-05 | 0.0 |     0.03714161852570586 |  -9.344976718930143e-16 | 0.0 |  -0.0034974711817073157 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -2.0132122488756448e-18 | 0.0 |    0.009546412864627282 |  -0.0006029153941931239 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| LHAASO J2032+4102.spectral.amplitude |   -5.99580845699005e-17 |  1.295528477857768e-29 | 0.0 |  1.1236874713694751e-17 | 0.0 | -1.5167013194875675e-17 |   8.507110641922537e-30 | 0.0 | 1.9108533118105682e-17 | 0.0 | -1.2102420088807567e-16 |  -5.126788246008538e-29 | 0.0 |   3.971476165543914e-20 | 0.0 |  -9.344976718930143e-16 |   6.095576693772658e-28 | 0.0 |   8.151627748213872e-16 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   4.715348885256177e-31 | 0.0 |  -4.576847977384663e-17 |   5.652053132964635e-16 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| LHAASO J2032+4102.spectral.reference |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|   LHAASO J2032+4102.spectral.lambda_ |  -8.145959942013524e-05 | 4.2208622183573964e-17 | 0.0 |  3.9172233598530266e-05 | 0.0 |  -2.665021586910523e-05 |   9.702634560105039e-17 | 0.0 |  6.589248345711093e-05 | 0.0 |   -0.000455058300536088 | -1.8824209891598372e-16 | 0.0 |  -1.760149278826109e-05 | 0.0 |  -0.0034974711817073157 |   8.151627748213872e-16 | 0.0 |   0.0018474293261713807 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.1950424474943265e-18 | 0.0 |   0.0004802757508092345 |    0.000904266785424903 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     LHAASO J2032+4102.spectral.alpha |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      LHAASO J2032+4102.spatial.lon_0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      LHAASO J2032+4102.spatial.lat_0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      LHAASO J2032+4102.spatial.sigma |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|          LHAASO J2032+4102.spatial.e |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        LHAASO J2032+4102.spatial.phi |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|          PSR 2032.spectral.amplitude |  -1.829270578453876e-20 | 1.0888701833265277e-31 | 0.0 |  1.2778823301529037e-19 | 0.0 | -1.9894696430256334e-19 | -2.0641614919021444e-31 | 0.0 | -4.374393475484446e-20 | 0.0 | -2.5207756525090306e-19 |  -8.079349784620881e-32 | 0.0 |  3.7357705829817675e-20 | 0.0 | -2.0132122488756448e-18 |   4.715348885256177e-31 | 0.0 |  1.1950424474943265e-18 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   5.727877500109435e-33 | 0.0 |   -5.58978373045646e-18 |   3.082256686038468e-19 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|          PSR 2032.spectral.reference |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|              PSR 2032.spectral.alpha |  -0.0007809686858537019 | -5.654037274643416e-16 | 0.0 |  -0.0005524975115653585 | 0.0 |   6.667049208941914e-05 | -3.5542637193437534e-16 | 0.0 | -0.0002776167433320323 | 0.0 |   0.0016054948353297184 |    9.43968488885407e-16 | 0.0 |  0.00031677573054316604 | 0.0 |    0.009546412864627282 |  -4.576847977384663e-17 | 0.0 |   0.0004802757508092345 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   -5.58978373045646e-18 | 0.0 |    0.050607766397069806 |     0.01775302055425229 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|               PSR 2032.spectral.beta | -0.00045735339083150255 | -2.700835841540234e-16 | 0.0 | -0.00026545550674992793 | 0.0 |  -0.0004572124149494633 | -1.2451727423954919e-15 | 0.0 | -0.0005064601546885224 | 0.0 |   0.0019225189959602093 |  1.0522354638905659e-15 | 0.0 |   0.0003878592465574289 | 0.0 |  -0.0006029153941931239 |   5.652053132964635e-16 | 0.0 |    0.000904266785424903 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   3.082256686038468e-19 | 0.0 |     0.01775302055425229 |    0.014292652503515507 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|               PSR 2032.spatial.lon_0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
