|                           Parameters |                       0 |   1 |   2 |                       3 |                       4 |   5 |                       6 |   7 |                       8 |                       9 |  10 |                      11 |  12 |                     13 |                      14 |  15 |                     16 |  17 |                      18 |                      19 |  20 |                     21 |  22 |  23 |  24 |  25 |  26 |  27 |                      28 |  29 |                      30 |                      31 |  32 |  33 |  34 |  35 |  36 |  37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |  48 |  49 |  50 |
|     VER J2018+367.spectral.reference |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2018+367.spectral.lambda_ |  -3.846690653638357e-06 | 0.0 | 0.0 | -2.3414238785358785e-05 |  -5.206374432200155e-18 | 0.0 |  -6.014756538025915e-06 | 0.0 |  -0.0007636337992466452 |   5.102697491004306e-16 | 0.0 |   0.0003276222623980527 | 0.0 |  4.543920012425949e-08 |  3.4966980894849586e-20 | 0.0 | 1.6407279365824848e-09 | 0.0 |  2.8027734618530257e-07 |  2.9690706603027347e-20 | 0.0 |   4.66941106574273e-09 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   1.135711799274398e-24 | 0.0 |  1.4602977571669067e-07 |  -6.461644678752767e-08 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.alpha |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2016+371.spectral.index |  -9.079066404624013e-05 | 0.0 | 0.0 |   1.448827537013235e-06 |  3.7870998433731077e-19 | 0.0 |   2.500916415095028e-07 | 0.0 |   6.414607293628439e-07 |    1.86955706792994e-18 | 0.0 |   4.543920012425949e-08 | 0.0 |    0.03827716167170767 |  1.0841759055226115e-14 | 0.0 | -0.0012309391303780958 | 0.0 |   6.615202780390309e-06 |   7.007617265421928e-19 | 0.0 | 1.1019721454450207e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   2.682355033717072e-23 | 0.0 |  3.4464617575502445e-06 |  -1.525182754033748e-06 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2016+371.spectral.amplitude |  -6.541987017286638e-17 | 0.0 | 0.0 |  1.0355254651512114e-18 |   2.711797259853785e-31 | 0.0 |  1.7869009836352638e-19 | 0.0 |   6.770723085294251e-19 |   1.557371460392003e-30 | 0.0 |  3.4966980894849586e-20 | 0.0 | 1.0841759055226115e-14 |   6.010886696215377e-27 | 0.0 |  4.787945791821525e-16 | 0.0 |   4.766638560794328e-18 |   5.049403733143531e-31 | 0.0 |  7.940380401553462e-20 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   1.933171841210845e-35 | 0.0 |  2.4833871384379737e-18 | -1.0989671064874047e-18 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2016+371.spectral.reference |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2016+371.spectral.lambda_ |  -2.939177181879572e-06 | 0.0 | 0.0 |  4.6112138453170456e-08 |  1.2097440723222015e-20 | 0.0 |   7.937264690676374e-09 | 0.0 |   3.653687974135418e-08 |   7.608115425931291e-20 | 0.0 |  1.6407279365824848e-09 | 0.0 | -0.0012309391303780958 |   4.787945791821525e-16 | 0.0 |  0.0006636565454602034 | 0.0 |   2.141591111016801e-07 |     2.2685701175181e-20 | 0.0 |  3.567051334467795e-09 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |     8.6772539450606e-25 | 0.0 |  1.1158555521213538e-07 |  -4.936860430147477e-08 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2016+371.spectral.alpha |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     LHAASO J2032+4102.spectral.index | -0.00047225816675247373 | 0.0 | 0.0 |   7.377676291185523e-06 |  1.9378064418747183e-18 | 0.0 |   1.272443398640551e-06 | 0.0 |   7.626989552819518e-06 |   1.390985155982037e-17 | 0.0 |  2.8027734618530257e-07 | 0.0 |  6.615202780390309e-06 |   4.766638560794328e-18 | 0.0 |  2.141591111016801e-07 | 0.0 |    0.033391121434940385 | -1.2445646275638277e-15 | 0.0 |   -0.00282100466417285 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -3.1079064996178977e-19 | 0.0 |    0.009501198133869052 |  0.00018541332689136524 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| LHAASO J2032+4102.spectral.amplitude | -5.0027723156655453e-17 | 0.0 | 0.0 |   7.815497836246627e-19 |   2.052797420010145e-31 | 0.0 |  1.3479590260045734e-19 | 0.0 |   8.079525819618986e-19 |  1.4735125557676887e-30 | 0.0 |  2.9690706603027347e-20 | 0.0 |  7.007617265421928e-19 |   5.049403733143531e-31 | 0.0 |    2.2685701175181e-20 | 0.0 | -1.2445646275638277e-15 |   3.041607453163633e-28 | 0.0 | 3.8946742894234945e-16 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  2.1505859802871366e-31 | 0.0 |   -3.88921877693192e-16 |  3.1042351105746033e-16 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
