|                           Parameters |                      0 |                       1 |   2 |                       3 |   4 |                      5 |                       6 |   7 |                       8 |   9 |                      10 |                     11 |  12 |                      13 |  14 |                     15 |                      16 |  17 |                      18 |  19 |  20 |  21 |  22 |  23 |  24 |                      25 |  26 |                      27 |                      28 |  29 |  30 |  31 |  32 |  33 |  34 |  35 |  36 |  37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |
|     VER J2016+371.spectral.amplitude | -7.795108900287026e-16 |  -9.472827749892533e-30 | 0.0 |   1.396152787360838e-16 | 0.0 |  1.996792965997611e-15 |   8.218157989321622e-28 | 0.0 |  -1.437518305649787e-16 | 0.0 |  3.3658032619770665e-14 |  8.598986046296234e-27 | 0.0 |  -2.312836719736517e-15 | 0.0 |  2.948345314923856e-15 |   5.464756629842821e-30 | 0.0 |  -3.300124060601691e-16 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -8.900547566067612e-32 | 0.0 |    5.26162964493785e-16 |  2.8448489709603475e-17 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2016+371.spectral.reference |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2016+371.spectral.lambda_ |  0.0011635074944181456 |  2.6993670476802243e-17 | 0.0 | -0.00012470721621216574 | 0.0 | -0.0009620774442200283 |  -3.390471624223956e-16 | 0.0 |   4.854272633230267e-05 | 0.0 |    -0.01755783104538098 | -2.312836719736517e-15 | 0.0 |   0.0023582184513000477 | 0.0 | -0.0006492545344101854 | -2.5160569714287354e-17 | 0.0 |   5.241771018753664e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   1.270315010278259e-20 | 0.0 | -0.00042154065236989056 |  -0.0001763485033074851 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2016+371.spectral.alpha |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     LHAASO J2032+4102.spectral.index |     0.0200492612374552 |   3.969903933698742e-16 | 0.0 |   -0.002752718154634774 | 0.0 | -0.0034456927101180358 |  2.3488341901891574e-15 | 0.0 |   0.0012808500903145842 | 0.0 |    0.010347906535956368 |  2.948345314923856e-15 | 0.0 |  -0.0006492545344101854 | 0.0 |    0.15534536108932784 |  -6.824116852542215e-15 | 0.0 |    -0.02648331442816127 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -6.835192127753646e-18 | 0.0 |   -0.005039167462237531 |   -0.014867462806622595 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| LHAASO J2032+4102.spectral.amplitude | -7.078431763176165e-16 |  -2.445783825886174e-29 | 0.0 |  2.0802768010768942e-17 | 0.0 |  5.683182798534072e-16 |   4.456063596233913e-30 | 0.0 |  -9.833604463456542e-17 | 0.0 |  1.1020411764217574e-16 |  5.464756629842821e-30 | 0.0 | -2.5160569714287354e-17 | 0.0 | -6.824116852542215e-15 |   7.529778563921662e-28 | 0.0 |   1.857258232653423e-15 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   6.914194118570212e-31 | 0.0 |  1.9224921423582482e-15 |   2.087648424916258e-15 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| LHAASO J2032+4102.spectral.reference |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|   LHAASO J2032+4102.spectral.lambda_ | -0.0031847121005032083 |  -7.850568933726381e-17 | 0.0 |   0.0003226954253733981 | 0.0 |  0.0015260820881452231 | -2.0766702728631622e-16 | 0.0 | -0.00032663468980324563 | 0.0 |  -0.0011918001987685082 | -3.300124060601691e-16 | 0.0 |   5.241771018753664e-05 | 0.0 |   -0.02648331442816127 |   1.857258232653423e-15 | 0.0 |   0.0062620289237582194 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  2.1089646188319103e-18 | 0.0 |    0.005506136409480936 |    0.004580585010518967 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     LHAASO J2032+4102.spectral.alpha |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      LHAASO J2032+4102.spatial.lon_0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
