|                           Parameters |                       0 |                       1 |   2 |   3 |                       4 |   5 |                      6 |   7 |   8 |                      9 |                      10 |  11 |                      12 |  13 |                      14 |                      15 |  16 |                      17 |  18 |                     19 |                     20 |  21 |                      22 |  23 |                      24 |                      25 |  26 |                      27 |  28 |  29 |  30 |  31 |  32 |  33 |                      34 |  35 |                      36 |                      37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |  48 |  49 |  50 |  51 |  52 |  53 |  54 |  55 |  56 |  57 |  58 |  59 |  60 |  61 |  62 |  63 |
|     VER J2020+368.spectral.amplitude | -1.9962065810773428e-16 |  -3.268484788099551e-33 | 0.0 | 0.0 |  -8.660006914048524e-15 | 0.0 | 1.4843989459433767e-15 | 0.0 | 0.0 | 4.8085058338521274e-14 |    6.61694362449737e-27 | 0.0 |    7.99308145383899e-17 | 0.0 |   7.343757086808847e-15 | -1.0934317715640461e-28 | 0.0 |  -5.528229891820167e-18 | 0.0 |   2.32663957880923e-15 | -4.343797909438674e-29 | 0.0 |  1.3483316434610469e-18 | 0.0 |  -5.406403211769134e-17 | -1.7353675346968842e-28 | 0.0 |  3.7509563708200325e-19 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.7710744846888542e-32 | 0.0 |  2.4323744307276316e-15 |   4.373005826742365e-15 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2020+368.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2020+368.spectral.lambda_ | -0.00018669949017441277 |  2.8904229770767067e-23 | 0.0 | 0.0 | -0.00024410977043646314 | 0.0 | -2.214906289888168e-05 | 0.0 | 0.0 | -0.0007372381026498318 |    7.99308145383899e-17 | 0.0 |   0.0003634014418786821 | 0.0 |  -5.346821209163471e-05 |   1.536780866644345e-18 | 0.0 |  -1.032933017927202e-06 | 0.0 | -2.955051685305664e-06 | 2.8478708495346497e-19 | 0.0 | -2.3329684214196795e-07 | 0.0 |  0.00040923613282971305 | -1.0170103063620817e-17 | 0.0 |  -5.268610851418574e-09 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -2.182550701712119e-20 | 0.0 | -2.5516132332215835e-05 |  -6.492113491373659e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.alpha |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.index |    0.033417650463362744 |   7.798801208294816e-21 | 0.0 | 0.0 |      0.0746230195640181 | 0.0 |  -0.002514759415522019 | 0.0 | 0.0 |   -0.09020130092439425 |   7.343757086808847e-15 | 0.0 |  -5.346821209163471e-05 | 0.0 |      0.9997141764877774 |  2.6438617800790498e-15 | 0.0 | -0.00021284836124470255 | 0.0 |   -0.01944527288832778 |  4.274509883643087e-16 | 0.0 | -1.0459269633183776e-05 | 0.0 |   -0.030547803573701113 |   -1.57915961898097e-14 | 0.0 |  -7.930294234125495e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   6.827146062222628e-19 | 0.0 |  -0.0052779360860192165 |   -0.007238015861575152 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.amplitude |  1.1525151021031743e-15 | -3.4815287659838433e-34 | 0.0 | 0.0 |  -6.878530462036121e-16 | 0.0 |  7.050112782675017e-17 | 0.0 | 0.0 | 1.4005024614105197e-15 | -1.0934317715640461e-28 | 0.0 |   1.536780866644345e-18 | 0.0 |  2.6438617800790498e-15 |   1.408058754157748e-26 | 0.0 |  1.7349203839574045e-16 | 0.0 | 2.4697486463140204e-16 | -6.560745264742094e-30 | 0.0 | -1.4244391449513828e-18 | 0.0 |  2.0286143889091884e-15 |   1.716948931856529e-28 | 0.0 |    3.10401223689981e-20 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -1.0793741074299167e-31 | 0.0 |   1.311418776952175e-16 |  1.3288510714760846e-17 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2018+367.spectral.lambda_ |   0.0008622881594708038 |  -2.690486277508802e-22 | 0.0 | 0.0 |  -0.0009384981988030639 | 0.0 |  2.878541204113962e-05 | 0.0 | 0.0 |   6.41004159698751e-05 |  -5.528229891820167e-18 | 0.0 |  -1.032933017927202e-06 | 0.0 | -0.00021284836124470255 |  1.7349203839574045e-16 | 0.0 |  0.00016857376422056244 | 0.0 | 3.4945443307111187e-06 | -8.379618002335131e-19 | 0.0 |  -6.675384829844315e-07 | 0.0 |   0.0006664844616095232 | -2.2278657423210945e-17 | 0.0 |  1.4359286714510378e-08 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -4.759998308379107e-20 | 0.0 |  5.1653596761935794e-05 | -0.00010005076245720868 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.alpha |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2016+371.spectral.index |     0.06542368330929416 |   4.473522183752427e-21 | 0.0 | 0.0 |     0.11980588873285297 | 0.0 |   0.001078027665576158 | 0.0 | 0.0 |  -0.025248576545355957 |    2.32663957880923e-15 | 0.0 |  -2.955051685305664e-06 | 0.0 |    -0.01944527288832778 |  2.4697486463140204e-16 | 0.0 |  3.4945443307111187e-06 | 0.0 |     1.0304911216164847 |  1.358834094851648e-15 | 0.0 |  -0.0003402879964023502 | 0.0 |   -0.011625668053408797 |  -7.742434654925752e-15 | 0.0 |  1.8510070267143488e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.7663969195469076e-19 | 0.0 |   0.0002579103882820611 |   0.0013352485320333807 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
