|                           Parameters |                       0 |                       1 |   2 |   3 |                       4 |   5 |                       6 |   7 |   8 |                       9 |                      10 |  11 |                      12 |  13 |                      14 |                      15 |  16 |                      17 |  18 |                      19 |                      20 |  21 |                      22 |  23 |  24 |  25 |  26 |  27 |  28 |  29 |  30 |  31 |  32 |  33 |  34 |  35 |  36 |  37 |  38 |  39 |  40 |
|     VER J2020+368.spectral.amplitude |   8.080906354900354e-16 | -1.4491425193752606e-30 | 0.0 | 0.0 |  -8.020017042414345e-18 | 0.0 |   1.231639126712511e-20 | 0.0 | 0.0 |  3.3230473419765917e-16 |  1.0067713443054551e-26 | 0.0 |   7.562021247212292e-17 | 0.0 |  -7.724422378495156e-18 |   -7.58747827957211e-30 | 0.0 | -1.4412320699814202e-19 | 0.0 |  -7.262966992321539e-18 | -2.1008803150997846e-30 | 0.0 |  -8.005003391578459e-20 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2020+368.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2020+368.spectral.lambda_ |   0.0021481981699408167 |  -3.852290114255731e-18 | 0.0 | 0.0 | -2.1271752269090455e-05 | 0.0 |  3.2666146572314344e-08 | 0.0 | 0.0 |  -0.0006655836269674302 |   7.562021247212292e-17 | 0.0 |   0.0007091792324402643 | 0.0 |  -3.024280316470166e-05 |  -8.410407783404803e-18 | 0.0 |  -7.407976248166602e-07 | 0.0 | -1.9517384834041983e-05 |  -5.661523129261123e-18 | 0.0 | -2.3075656260675011e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.alpha |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.index |    0.009675111944729772 | -1.7344104654738036e-17 | 0.0 | 0.0 |  -8.831483522648035e-05 | 0.0 |  1.3961287379483365e-07 | 0.0 | 0.0 | -0.00010534904268096501 |  -7.724422378495156e-18 | 0.0 |  -3.024280316470166e-05 | 0.0 |      1.0139901886073757 |   4.574632685555086e-15 | 0.0 | -0.00037060413547906863 | 0.0 |  -0.0001133772562023092 | -3.4818966552187486e-17 | 0.0 | -3.2176774895874183e-06 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.amplitude |  3.0449209119823373e-15 |  -5.454988159280417e-30 | 0.0 | 0.0 |  -2.288017678654361e-17 | 0.0 |  3.9593976886217305e-20 | 0.0 | 0.0 | -2.4309903454594585e-17 |   -7.58747827957211e-30 | 0.0 |  -8.410407783404803e-18 | 0.0 |   4.574632685555086e-15 |  1.6816566889855383e-26 | 0.0 |  2.9542251480190674e-16 | 0.0 |  -5.138420048993555e-17 |  -1.670515462093829e-29 | 0.0 | -2.3551572171781225e-18 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2018+367.spectral.lambda_ |  -0.0006919579324837557 |  1.2422031269851011e-18 | 0.0 | 0.0 |   8.257541848193795e-06 | 0.0 | -1.2252295181952396e-08 | 0.0 | 0.0 |   -5.49154373693625e-07 | -1.4412320699814202e-19 | 0.0 |  -7.407976248166602e-07 | 0.0 | -0.00037060413547906863 |  2.9542251480190674e-16 | 0.0 |  0.00021853346368727117 | 0.0 |   9.569837936156022e-07 | -1.2338634517776833e-19 | 0.0 | -3.8224997647121697e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.alpha |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2016+371.spectral.index |    0.013372629210419547 | -2.3980090213021684e-17 | 0.0 | 0.0 | -0.00012572111863298513 | 0.0 |  2.0275358030668178e-07 | 0.0 | 0.0 |  -7.694316851939104e-05 |  -7.262966992321539e-18 | 0.0 | -1.9517384834041983e-05 | 0.0 |  -0.0001133772562023092 |  -5.138420048993555e-17 | 0.0 |   9.569837936156022e-07 | 0.0 |      1.0163612970825358 |   2.979823977990833e-15 | 0.0 |  -0.0005924645758148296 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
