|                           Parameters |                      0 |                       1 |   2 |   3 |                       4 |   5 |                       6 |   7 |   8 |                       9 |  10 |                      11 |                     12 |  13 |  14 |  15 |  16 |  17 |                      18 |                      19 |  20 |                      21 |  22 |                      23 |                     24 |  25 |                      26 |  27 |                      28 |                      29 |  30 |                      31 |  32 |  33 |  34 |  35 |  36 |  37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |  48 |  49 |  50 |  51 |
|    PSR J1958+2846.spectral.reference |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        PSR J1958+2846.spectral.alpha | -0.0023006311389542912 |   5.636026281637938e-19 | 0.0 | 0.0 |     8.8627240165683e-05 | 0.0 |  -7.965486437969037e-08 | 0.0 | 0.0 |  -7.736823019189928e-15 | 0.0 |      0.1468109869531018 |   0.004332177215799165 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -0.00026637953545875087 |  -2.959190851751524e-16 | 0.0 | -0.00028603536604994596 | 0.0 |  -0.0011477954202802375 | -7.182326298873165e-16 | 0.0 |   3.755926704845203e-05 | 0.0 | -0.00044886930132697353 |  -3.898677897623264e-16 | 0.0 | -0.00015254682189688124 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         PSR J1958+2846.spectral.beta |  0.0003056662652246764 |  -6.664380640489795e-20 | 0.0 | 0.0 |  -5.063468242517154e-05 | 0.0 |  -9.805705413373265e-09 | 0.0 | 0.0 |  3.2222203348518705e-16 | 0.0 |    0.004332177215799165 |   0.006664916013540239 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -4.540672078991922e-05 |   8.239797778452746e-17 | 0.0 |   6.727983416284239e-05 | 0.0 |  0.00013338789347972502 |  2.294534027424073e-16 | 0.0 |  2.5901314513770156e-05 | 0.0 |  1.4729498966496089e-05 |  1.1299868253625558e-16 | 0.0 |   4.843604666977173e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         PSR J1958+2846.spatial.lon_0 |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         PSR J1958+2846.spatial.lat_0 |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         PSR J1958+2846.spatial.sigma |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|             PSR J1958+2846.spatial.e |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|           PSR J1958+2846.spatial.phi |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.index |  3.662403204954535e-05 |  -7.744376290360825e-22 | 0.0 | 0.0 | -1.7736447642294876e-05 | 0.0 | -1.6238622232376848e-09 | 0.0 | 0.0 |   5.680224421874891e-17 | 0.0 | -0.00026637953545875087 | -4.540672078991922e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |    0.005546904150061888 |   3.119905034818189e-16 | 0.0 | -0.00018422742835862615 | 0.0 |  -4.047644398635645e-05 |  6.164432203336397e-19 | 0.0 | -1.0274524569158673e-05 | 0.0 | -2.6954145499046174e-05 |  -5.172821553421582e-18 | 0.0 |  -6.277177779165967e-06 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2020+368.spectral.amplitude | 1.0453562765475014e-17 | -2.2616907885517626e-33 | 0.0 | 0.0 |   -2.06749892695696e-18 | 0.0 | -2.2616422021130127e-21 | 0.0 | 0.0 |  1.5239435117102465e-29 | 0.0 |  -2.959190851751524e-16 |  8.239797778452746e-17 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   3.119905034818189e-16 |   2.185089098301819e-28 | 0.0 |  5.4231765254569973e-17 | 0.0 |  2.2366326771359204e-17 |  2.508894123411592e-29 | 0.0 |  3.3091682865106638e-18 | 0.0 |   4.466843561212977e-18 |  1.4654983687634593e-29 | 0.0 |   6.238008731236848e-18 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2020+368.spectral.reference |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2020+368.spectral.lambda_ | 1.0893750341585176e-05 | -2.0014610113337404e-21 | 0.0 | 0.0 | -2.6590257677025662e-06 | 0.0 | -1.9430706060203998e-09 | 0.0 | 0.0 |  1.7596740069659395e-17 | 0.0 | -0.00028603536604994596 |  6.727983416284239e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -0.00018422742835862615 |  5.4231765254569973e-17 | 0.0 |  0.00019377152821790393 | 0.0 |  1.1116414546257156e-05 | 2.4442327655875494e-17 | 0.0 |  1.5577984558459752e-06 | 0.0 |   2.163313181982293e-06 |  1.1752079203236463e-17 | 0.0 |  4.7639653093844055e-06 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.alpha |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.index |   4.27160293172982e-05 |  -6.772463886867243e-21 | 0.0 | 0.0 |  -1.150083935269764e-05 | 0.0 |  -4.649926861940623e-09 | 0.0 | 0.0 |    9.75506777496158e-17 | 0.0 |  -0.0011477954202802375 | 0.00013338789347972502 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -4.047644398635645e-05 |  2.2366326771359204e-17 | 0.0 |  1.1116414546257156e-05 | 0.0 |     0.00521634597964741 | 1.0228842022873201e-15 | 0.0 | -0.00012582729926079669 | 0.0 | -2.0390059051271414e-06 |  2.6265066228534975e-17 | 0.0 |   9.540681158142084e-06 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.amplitude | 2.8033762633188696e-17 |  -5.794991879120339e-33 | 0.0 | 0.0 |  -6.007920646985862e-18 | 0.0 |  -6.378181567761114e-21 | 0.0 | 0.0 |  3.3065873516230586e-29 | 0.0 |  -7.182326298873165e-16 |  2.294534027424073e-16 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   6.164432203336397e-19 |   2.508894123411592e-29 | 0.0 |  2.4442327655875494e-17 | 0.0 |  1.0228842022873201e-15 | 2.4896882064201594e-27 | 0.0 |  1.0226816888309961e-16 | 0.0 |  1.1625536595383585e-17 |  4.0481502347960017e-29 | 0.0 |  1.7123631289265552e-17 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.reference |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2018+367.spectral.lambda_ |  7.501307774656129e-06 |  -3.673754316403309e-23 | 0.0 | 0.0 |  -4.053808188432337e-06 | 0.0 |  -1.280454093570977e-09 | 0.0 | 0.0 | -3.0314624068615362e-18 | 0.0 |   3.755926704845203e-05 | 2.5901314513770156e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -1.0274524569158673e-05 |  3.3091682865106638e-18 | 0.0 |  1.5577984558459752e-06 | 0.0 | -0.00012582729926079669 | 1.0226816888309961e-16 | 0.0 |  0.00011756186855329117 | 0.0 |  -4.003302939568796e-06 |  3.9971262442083635e-18 | 0.0 |   8.621513777181959e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
