|                           Parameters |                      0 |                       1 |   2 |   3 |                       4 |   5 |                       6 |   7 |   8 |                       9 |                      10 |  11 |                      12 |  13 |                      14 |                      15 |  16 |                      17 |  18 |                      19 |                      20 |  21 |                      22 |  23 |  24 |  25 |  26 |  27 |  28 |  29 |  30 |  31 |  32 |  33 |  34 |  35 |  36 |  37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |
|     VER J2020+368.spectral.amplitude |  1.138932643473097e-20 |  -2.763181120800007e-36 | 0.0 | 0.0 |   7.935327475397943e-22 | 0.0 |   7.671840062564379e-23 | 0.0 | 0.0 |  1.8655222888466118e-16 |  2.1538848114476545e-29 | 0.0 |   4.449985019878115e-17 | 0.0 | -2.6067280357330308e-19 | -2.2898863630510703e-30 | 0.0 |  -9.826572219544916e-20 | 0.0 |   -2.93797388874427e-23 |  -6.193316261770391e-36 | 0.0 |  1.4582951521415386e-24 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2020+368.spectral.reference |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2020+368.spectral.lambda_ |  2.047687628518654e-08 | -4.9797608542014375e-24 | 0.0 | 0.0 |  1.5243726919216998e-09 | 0.0 |  1.4216611396762532e-10 | 0.0 | 0.0 |  -0.0005636021562294119 |   4.449985019878115e-17 | 0.0 |    0.000540252350427721 | 0.0 | -1.1023448097854957e-05 |  1.1453091231055865e-18 | 0.0 |  -7.731535144504538e-07 | 0.0 | -1.1649061087477866e-10 |  -4.179567664442807e-23 | 0.0 |  1.9933547799519528e-12 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.alpha |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.index |  6.428611242608791e-06 | -1.5487249694883688e-21 | 0.0 | 0.0 |   4.324721790080909e-07 | 0.0 |  3.8752642486994534e-08 | 0.0 | 0.0 |  -3.259314103280506e-05 | -2.6067280357330308e-19 | 0.0 | -1.1023448097854957e-05 | 0.0 |     0.01116617635981413 |  3.6974514941199214e-15 | 0.0 |   -0.000318852151570057 | 0.0 |  -4.544952325812331e-08 | -2.2797683486254558e-20 | 0.0 |  -1.155950245943727e-09 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.amplitude |   8.13585600544396e-18 | -1.9589553325315273e-33 | 0.0 | 0.0 |   5.429237295226921e-19 | 0.0 |   4.877220782263554e-20 | 0.0 | 0.0 |   1.010197071166885e-17 | -2.2898863630510703e-30 | 0.0 |  1.1453091231055865e-18 | 0.0 |  3.6974514941199214e-15 |   5.680476808052705e-27 | 0.0 |  2.5641228831086114e-16 | 0.0 |  -4.757258976506844e-20 | -2.3692596537164338e-32 | 0.0 | -1.1910800524631808e-21 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.reference |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2018+367.spectral.lambda_ | 2.2533115675410592e-07 |  -5.420883222097553e-23 | 0.0 | 0.0 |  1.4808864998776943e-08 | 0.0 |  1.3383604436290126e-09 | 0.0 | 0.0 | -1.4460129704896416e-06 |  -9.826572219544916e-20 | 0.0 |  -7.731535144504538e-07 | 0.0 |   -0.000318852151570057 |  2.5641228831086114e-16 | 0.0 |   0.0002023466363070133 | 0.0 |  -1.088669947618507e-09 |  -5.193318477328406e-22 | 0.0 | -1.9338073217457282e-11 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.alpha |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2016+371.spectral.index | 1.9640986673998528e-05 | -4.7322556146989986e-21 | 0.0 | 0.0 |  1.5662688673841586e-06 | 0.0 |  1.1004778202025527e-07 | 0.0 | 0.0 |  -7.167574306632479e-10 |   -2.93797388874427e-23 | 0.0 | -1.1649061087477866e-10 | 0.0 |  -4.544952325812331e-08 |  -4.757258976506844e-20 | 0.0 |  -1.088669947618507e-09 | 0.0 |    0.012960796567306225 |   2.227021606944332e-15 | 0.0 |  -0.0005030224966371566 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
