|                           Parameters |                       0 |                       1 |   2 |   3 |                       4 |   5 |                       6 |   7 |   8 |                       9 |                      10 |  11 |                      12 |  13 |                      14 |                      15 |  16 |                      17 |  18 |                      19 |                      20 |  21 |                      22 |  23 |  24 |  25 |  26 |  27 |  28 |  29 |  30 |  31 |  32 |  33 |  34 |  35 |  36 |  37 |  38 |  39 |  40 |
|     cygnus_background.spectral.index |    0.008709396536658236 | -2.7309653751044945e-18 | 0.0 | 0.0 |  -0.0010036404708569932 | 0.0 |  -3.010946551694631e-06 | 0.0 | 0.0 | -0.00013864765918204759 | -1.0256839635581088e-17 | 0.0 | -5.6548974173669416e-06 | 0.0 |  0.00025335752611964466 |   9.139024072087014e-16 | 0.0 |  0.00040911446456944376 | 0.0 |  0.00011957359593309594 |  3.4173212620922106e-16 | 0.0 |   0.0003430637941492294 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| cygnus_background.spectral.amplitude | -2.7309653751044945e-18 |   2.629003566527522e-33 | 0.0 | 0.0 |    3.55544813633724e-18 | 0.0 |  1.6812780843191658e-22 | 0.0 | 0.0 |   1.570507169115175e-19 |  1.1610987606865728e-32 | 0.0 |   6.417977517847285e-21 | 0.0 | -2.8617596069576256e-19 |  -1.035565922795955e-30 | 0.0 |  -4.637537589491961e-19 | 0.0 |  -1.353418206898679e-19 | -3.8734522496617746e-31 | 0.0 | -3.8863826225340437e-19 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| cygnus_background.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      cygnus_background.spatial.lon_0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      cygnus_background.spatial.lat_0 |  -0.0010036404708569932 |    3.55544813633724e-18 | 0.0 | 0.0 |    0.022910756605227497 | 0.0 |   1.634878770460683e-07 | 0.0 | 0.0 |  2.8291246306511412e-05 |    2.08419123634995e-18 | 0.0 |  1.1720746542477907e-06 | 0.0 | -5.3637304477439634e-05 | -1.8504835375004743e-16 | 0.0 |  -8.324105030566328e-05 | 0.0 | -2.3371100607736227e-05 |   -6.81643290540514e-17 | 0.0 |  -6.985551187406771e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        cygnus_background.spatial.r_0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        cygnus_background.spatial.eta |  -3.010946551694631e-06 |  1.6812780843191658e-22 | 0.0 | 0.0 |   1.634878770460683e-07 | 0.0 |  5.5599517831842156e-08 | 0.0 | 0.0 | -1.7024224890556398e-08 | -1.2530715299259028e-21 | 0.0 |  -7.029822792291028e-10 | 0.0 |   3.153283475773448e-08 |  1.1324262941379094e-19 | 0.0 |  5.0479799181787066e-08 | 0.0 |  1.6249545442305366e-08 |   4.316509383316785e-20 | 0.0 |  4.2227704269679605e-08 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|          cygnus_background.spatial.e |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        cygnus_background.spatial.phi |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.index | -0.00013864765918204759 |   1.570507169115175e-19 | 0.0 | 0.0 |  2.8291246306511412e-05 | 0.0 | -1.7024224890556398e-08 | 0.0 | 0.0 |    0.005816629798109461 |  1.5723961049163398e-16 | 0.0 |  -0.0004339209384373299 | 0.0 | -2.5552289114683137e-05 |  1.3195780640395785e-17 | 0.0 | -2.5488862588802825e-07 | 0.0 |   2.822841886112713e-07 |   7.490946910589791e-19 | 0.0 |   7.459945986675151e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2020+368.spectral.amplitude | -1.0256839635581088e-17 |  1.1610987606865728e-32 | 0.0 | 0.0 |    2.08419123634995e-18 | 0.0 | -1.2530715299259028e-21 | 0.0 | 0.0 |  1.5723961049163398e-16 |  2.4660881906237227e-29 | 0.0 |  3.7976173184406614e-17 | 0.0 |  2.0107792968001233e-19 | -2.1812746913181823e-30 | 0.0 |   7.699535003014524e-21 | 0.0 |  2.0868598987951786e-20 |   5.595241848578907e-32 | 0.0 |   5.631509740334004e-20 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2020+368.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2020+368.spectral.lambda_ | -5.6548974173669416e-06 |   6.417977517847285e-21 | 0.0 | 0.0 |  1.1720746542477907e-06 | 0.0 |  -7.029822792291028e-10 | 0.0 | 0.0 |  -0.0004339209384373299 |  3.7976173184406614e-17 | 0.0 |   0.0004130308515258231 | 0.0 |  -8.530125973382724e-06 |  2.0621653988511693e-18 | 0.0 |  -5.373154633051453e-07 | 0.0 |  1.1586286052457201e-08 |  2.9601373049380427e-20 | 0.0 |  2.8389279750295164e-08 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.alpha |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.index |  0.00025335752611964466 | -2.8617596069576256e-19 | 0.0 | 0.0 | -5.3637304477439634e-05 | 0.0 |   3.153283475773448e-08 | 0.0 | 0.0 | -2.5552289114683137e-05 |  2.0107792968001233e-19 | 0.0 |  -8.530125973382724e-06 | 0.0 |    0.008991528578805865 |  2.8476494799630183e-15 | 0.0 | -0.00025306505145056935 | 0.0 |  -5.882349412769973e-07 | -1.4742413165805577e-18 | 0.0 | -1.4365038729439297e-06 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.amplitude |   9.139024072087014e-16 |  -1.035565922795955e-30 | 0.0 | 0.0 | -1.8504835375004743e-16 | 0.0 |  1.1324262941379094e-19 | 0.0 | 0.0 |  1.3195780640395785e-17 | -2.1812746913181823e-30 | 0.0 |  2.0621653988511693e-18 | 0.0 |  2.8476494799630183e-15 |   5.230682854145341e-27 | 0.0 |    1.90715169553707e-16 | 0.0 | -1.8958698210410015e-18 |  -4.948723380414859e-30 | 0.0 |  -4.911590586914483e-18 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2018+367.spectral.lambda_ |  0.00040911446456944376 |  -4.637537589491961e-19 | 0.0 | 0.0 |  -8.324105030566328e-05 | 0.0 |  5.0479799181787066e-08 | 0.0 | 0.0 | -2.5488862588802825e-07 |   7.699535003014524e-21 | 0.0 |  -5.373154633051453e-07 | 0.0 | -0.00025306505145056935 |    1.90715169553707e-16 | 0.0 |  0.00015774432115156433 | 0.0 |  -8.294222156674915e-07 | -2.1850546579758646e-18 | 0.0 | -2.1629344432196663e-06 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.alpha |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2016+371.spectral.index |  0.00011957359593309594 |  -1.353418206898679e-19 | 0.0 | 0.0 | -2.3371100607736227e-05 | 0.0 |  1.6249545442305366e-08 | 0.0 | 0.0 |   2.822841886112713e-07 |  2.0868598987951786e-20 | 0.0 |  1.1586286052457201e-08 | 0.0 |  -5.882349412769973e-07 | -1.8958698210410015e-18 | 0.0 |  -8.294222156674915e-07 | 0.0 |    0.010380568994276076 |  1.7688699799633772e-15 | 0.0 |  -0.0004005975656804214 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2016+371.spectral.amplitude |  3.4173212620922106e-16 | -3.8734522496617746e-31 | 0.0 | 0.0 |   -6.81643290540514e-17 | 0.0 |   4.316509383316785e-20 | 0.0 | 0.0 |   7.490946910589791e-19 |   5.595241848578907e-32 | 0.0 |  2.9601373049380427e-20 | 0.0 | -1.4742413165805577e-18 |  -4.948723380414859e-30 | 0.0 | -2.1850546579758646e-18 | 0.0 |  1.7688699799633772e-15 |  1.5935587708838739e-27 | 0.0 |  1.5871019445839392e-16 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2016+371.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
