|                           Parameters |                      0 |                       1 |   2 |   3 |                       4 |   5 |                       6 |   7 |   8 |                       9 |                      10 |  11 |                      12 |  13 |                      14 |                      15 |  16 |                      17 |  18 |                      19 |                      20 |  21 |                      22 |  23 |                      24 |                      25 |  26 |                      27 |  28 |  29 |  30 |  31 |  32 |  33 |                      34 |  35 |                      36 |                      37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |  48 |  49 |  50 |  51 |  52 |  53 |  54 |  55 |  56 |  57 |  58 |  59 |  60 |  61 |  62 |  63 |  64 |  65 |  66 |
|     VER J2020+368.spectral.amplitude |  2.353052459002158e-17 |  -2.844585858558086e-32 | 0.0 | 0.0 |  -1.961836427130212e-18 | 0.0 | -1.2127100139097952e-17 | 0.0 | 0.0 |  5.2799460751192256e-17 |   7.575038924505679e-30 | 0.0 |  1.3417121588790657e-17 | 0.0 |  -8.280816241405021e-19 | -1.3153709004301402e-30 | 0.0 |  -1.564882359018812e-19 | 0.0 | -3.9228059873159144e-19 |  -9.863509722323071e-32 | 0.0 | -1.6755611559072996e-19 | 0.0 |  -7.907499123817177e-19 |   3.048575768344279e-32 | 0.0 |  1.1286219410462508e-19 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -1.9293061957475916e-34 | 0.0 |   3.013740603720237e-18 |   8.722416222444204e-19 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2020+368.spectral.reference |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2020+368.spectral.lambda_ | 0.00011105506883010276 | -1.3323927348828123e-19 | 0.0 | 0.0 |  -9.242503907226256e-06 | 0.0 |  -9.262048872622723e-05 | 0.0 | 0.0 | -0.00020443834461786762 |  1.3417121588790657e-17 | 0.0 |    0.000265297804140141 | 0.0 |  -2.633321875394082e-05 |  -2.218329707888992e-18 | 0.0 |   9.481530879376097e-07 | 0.0 |   5.229331950982216e-06 |   4.067089898294065e-18 | 0.0 |  1.0101630287750517e-06 | 0.0 |   -9.94248574654601e-06 |  2.7276611299297713e-18 | 0.0 |   7.812750167139064e-06 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  2.7286000296985688e-21 | 0.0 |   8.637648909537943e-05 |  5.7134218376196993e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.alpha |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.index |  0.0002986525241002161 |   7.959355520525991e-19 | 0.0 | 0.0 | -0.00011311237074398796 | 0.0 |  -0.0005304568647165408 | 0.0 | 0.0 |  -8.204468587029395e-05 |  -8.280816241405021e-19 | 0.0 |  -2.633321875394082e-05 | 0.0 |    0.005627868332506924 |  1.2108280571771594e-15 | 0.0 | -0.00017182831423254264 | 0.0 |  -4.838343968662642e-05 | -2.2588722106739206e-17 | 0.0 | -1.6030942310440205e-05 | 0.0 | -1.9961638058273305e-05 |  -8.107488602325773e-18 | 0.0 | -2.1363262695425033e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -2.438285537903345e-20 | 0.0 | -0.00010755054343145348 |  -0.0001528146247785021 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.amplitude |  3.841465797968862e-16 |  2.0389123649784353e-31 | 0.0 | 0.0 |  -8.290787068204422e-17 | 0.0 |  -4.425851370600463e-16 | 0.0 | 0.0 |  -4.150532478840887e-18 | -1.3153709004301402e-30 | 0.0 |  -2.218329707888992e-18 | 0.0 |  1.2108280571771594e-15 |   2.753609123892234e-27 | 0.0 |  1.0216082973469721e-16 | 0.0 |  -2.597386924776775e-17 | -1.0417189243054964e-29 | 0.0 |   -9.36454023891608e-18 | 0.0 | -2.3438764930454102e-17 |  -2.404743298788903e-30 | 0.0 |   -5.67872413452636e-18 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -1.2989739535729432e-32 | 0.0 |  2.0885569255664732e-17 |  -3.930771237865367e-17 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.reference |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2018+367.spectral.lambda_ | 0.00018836482540786258 |  6.6286951031341435e-22 | 0.0 | 0.0 | -3.3065001719996286e-05 | 0.0 | -0.00019082321439850127 | 0.0 | 0.0 |  3.2610044313729413e-06 |  -1.564882359018812e-19 | 0.0 |   9.481530879376097e-07 | 0.0 | -0.00017182831423254264 |  1.0216082973469721e-16 | 0.0 |  0.00012139107335035834 | 0.0 |  -7.763235260684482e-06 | -2.4793469376566024e-18 | 0.0 | -3.0814379203214704e-06 | 0.0 | -1.1724758920743176e-05 |  2.7699746758714038e-21 | 0.0 |  4.4778774218362417e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -3.847413113747197e-21 | 0.0 |   3.538638167010298e-05 |   4.082404873728894e-06 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.alpha |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2016+371.spectral.index |  0.0005136008194191866 |  -4.305821675630269e-20 | 0.0 | 0.0 |  -8.672722554352213e-05 | 0.0 |  -0.0005086857508209443 | 0.0 | 0.0 |   1.654400817554773e-05 | -3.9228059873159144e-19 | 0.0 |   5.229331950982216e-06 | 0.0 |  -4.838343968662642e-05 |  -2.597386924776775e-17 | 0.0 |  -7.763235260684482e-06 | 0.0 |    0.006301689893053911 |   6.977627610415213e-16 | 0.0 | -0.00023335856163090907 | 0.0 |  -3.211196459255571e-05 |   5.574786801277844e-19 | 0.0 |  2.7262033357926214e-06 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -9.328547386366655e-21 | 0.0 |   0.0001082908723547548 |  2.2010684327926873e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
