|                           Parameters |                       0 |                       1 |   2 |   3 |                       4 |   5 |                       6 |   7 |   8 |                       9 |                      10 |  11 |                      12 |  13 |                      14 |                      15 |  16 |                      17 |  18 |                      19 |                      20 |  21 |                      22 |  23 |  24 |  25 |  26 |  27 |  28 |  29 |  30 |  31 |  32 |  33 |  34 |  35 |  36 |  37 |  38 |  39 |
|     VER J2020+368.spectral.amplitude | -1.2394236953209554e-15 | -3.7162248329947864e-31 | 0.0 | 0.0 |  -1.051064446776657e-16 | 0.0 |   7.251768214951094e-19 | 0.0 | 0.0 |   5.102865733867633e-15 |  1.3668780184654624e-27 | 0.0 |   3.063039513264686e-16 | 0.0 |   9.288891367066816e-16 |  6.6931386413334045e-28 | 0.0 |    5.73532014959191e-17 | 0.0 |  1.0324244951116511e-15 |  3.6009486016822026e-28 | 0.0 |  2.2563228032071715e-17 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2020+368.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2020+368.spectral.lambda_ |   0.0003365034854348405 |  1.4638778554308935e-19 | 0.0 | 0.0 | -1.3952724474885539e-05 | 0.0 |  -5.366229093772307e-07 | 0.0 | 0.0 |  -0.0006654039216951309 |   3.063039513264686e-16 | 0.0 |   0.0005768751477921258 | 0.0 | -0.00011238050441169314 | -1.9886303880683783e-16 | 0.0 |  -6.963030796086437e-05 | 0.0 |  -9.298337871341893e-06 |  -7.838621145200297e-17 | 0.0 |  -7.422782464333544e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.alpha |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.index |   -0.005469577998366803 | -2.6728147427681406e-18 | 0.0 | 0.0 |  -0.0004314370210031692 | 0.0 |   4.129578440741419e-06 | 0.0 | 0.0 |     0.00604850351129704 |   9.288891367066816e-16 | 0.0 | -0.00011238050441169314 | 0.0 |     0.02649296799782683 |   1.220979852876106e-14 | 0.0 |  -0.0002880547953296113 | 0.0 |    0.004633532710218511 |   1.744857094885753e-15 | 0.0 |  0.00022810095487904794 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.amplitude | -4.2526455623951626e-15 | -1.9102419632863245e-30 | 0.0 | 0.0 |  -3.697677903085879e-16 | 0.0 |  2.8468626236131007e-18 | 0.0 | 0.0 |   5.041828693044934e-15 |  6.6931386413334045e-28 | 0.0 | -1.9886303880683783e-16 | 0.0 |   1.220979852876106e-14 |  1.2268077232744384e-26 | 0.0 |   7.544130232174066e-16 | 0.0 |   3.785679512273109e-15 |  1.3499951533657207e-27 | 0.0 |  1.1190587024777486e-16 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2018+367.spectral.lambda_ | -0.00034349161128671723 | -1.9719519343162097e-19 | 0.0 | 0.0 | -4.9708635513626904e-05 | 0.0 |  1.1491162677342892e-07 | 0.0 | 0.0 |   0.0006217728918418749 |    5.73532014959191e-17 | 0.0 |  -6.963030796086437e-05 | 0.0 |  -0.0002880547953296113 |   7.544130232174066e-16 | 0.0 |  0.00036516126319461364 | 0.0 |   0.0004500228281376242 |  1.2901207875635422e-16 | 0.0 |  -1.769933162052544e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.alpha |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2016+371.spectral.index |   -0.006162937802771638 | -2.5275060540839793e-18 | 0.0 | 0.0 | -0.00043707782561200906 | 0.0 |   4.670052784054505e-06 | 0.0 | 0.0 |    0.006384458900569521 |  1.0324244951116511e-15 | 0.0 |  -9.298337871341893e-06 | 0.0 |    0.004633532710218511 |   3.785679512273109e-15 | 0.0 |   0.0004500228281376242 | 0.0 |    0.030524891668496593 |   7.570446494954431e-15 | 0.0 |  -0.0007307948348349778 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
