|                           Parameters |                       0 |                       1 |   2 |   3 |                       4 |   5 |                       6 |   7 |   8 |                       9 |                      10 |  11 |                      12 |  13 |                      14 |                      15 |  16 |                      17 |  18 |                      19 |                      20 |  21 |                      22 |  23 |                      24 |                      25 |  26 |                      27 |  28 |  29 |  30 |  31 |  32 |  33 |                      34 |  35 |                      36 |                      37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |  48 |  49 |  50 |  51 |  52 |  53 |  54 |  55 |  56 |  57 |  58 |  59 |  60 |  61 |  62 |  63 |  64 |  65 |  66 |
|     cygnus_background.spectral.index |       100.0117060629347 |  -7.311657764677196e-19 | 0.0 | 0.0 |  2.0398378727570493e-06 | 0.0 |   7.987242880605343e-08 | 0.0 | 0.0 |  1.5684868800544715e-07 |   9.608490442379552e-21 | 0.0 |    9.61801983725877e-11 | 0.0 |  3.0301516504992344e-07 |   9.297993810250186e-22 | 0.0 |   4.728353350082597e-12 | 0.0 |  2.5505669675104277e-07 |   2.616277553343062e-21 | 0.0 |   2.729685716891506e-12 | 0.0 |  1.7140403655707672e-07 |   2.301467474479108e-21 | 0.0 |  2.0710348689886263e-10 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   7.773738457034802e-25 | 0.0 | -1.8923699555252822e-07 |   5.592317257766909e-09 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| cygnus_background.spectral.amplitude |  -7.311657764677196e-19 |   4.865357128542663e-28 | 0.0 | 0.0 | -1.6914956468559056e-19 | 0.0 | -2.1065268214121515e-21 | 0.0 | 0.0 |  -2.729258256615113e-21 |   -1.24767377449292e-33 | 0.0 | -1.4771014737016974e-24 | 0.0 | -1.9332245864092182e-20 |   -3.43174627091591e-36 | 0.0 |  -4.218478133965687e-25 | 0.0 | -2.0660946212201075e-20 | -2.6378305700622796e-34 | 0.0 | -2.1861433954289535e-25 | 0.0 | -1.0842315963725603e-20 |  -1.757501208685688e-34 | 0.0 |  -1.515781505180799e-23 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -2.7505751359965545e-38 | 0.0 |  1.3888889250098542e-20 | -3.8218766968248595e-22 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| cygnus_background.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      cygnus_background.spatial.lon_0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      cygnus_background.spatial.lat_0 |  2.0398378727570493e-06 | -1.6914956468559056e-19 | 0.0 | 0.0 |       6.838775824672187 | 0.0 |  -2.086475997481645e-09 | 0.0 | 0.0 |   -3.40167857862109e-08 |  1.3056195327325195e-21 | 0.0 | -2.1312993405895136e-11 | 0.0 | -2.3104060475870593e-08 | -2.1525262944929435e-22 | 0.0 |  -2.055263769905472e-13 | 0.0 |  -7.282641006888622e-09 |   9.042397094981597e-23 | 0.0 | -1.2884414155681565e-13 | 0.0 | -1.3382433813167372e-08 |  -6.763177900043507e-23 | 0.0 |  -1.165011996228261e-11 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -1.143665679059997e-25 | 0.0 |    9.42097904503011e-09 |  -4.433746704619367e-10 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        cygnus_background.spatial.r_0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        cygnus_background.spatial.eta |   7.987242880605343e-08 | -2.1065268214121515e-21 | 0.0 | 0.0 |  -2.086475997481645e-09 | 0.0 |     0.04142984772529319 | 0.0 | 0.0 |  -4.086177599418586e-10 |  1.3252240292589273e-23 | 0.0 |  -2.556099401953662e-13 | 0.0 |  -3.088429955002357e-10 |  -2.562710318692902e-24 | 0.0 | -3.1796648755777684e-15 | 0.0 | -1.2336335277968935e-10 |   6.009204366545522e-25 | 0.0 |  -1.916753705180504e-15 | 0.0 |  -1.782505822906024e-10 | -1.1190275878243257e-24 | 0.0 | -1.6529524960963272e-13 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -1.407504981418688e-27 | 0.0 |  1.3665752738438287e-10 |  -5.939971618249655e-12 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|          cygnus_background.spatial.e |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        cygnus_background.spatial.phi |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.index |  1.5684868800544715e-07 |  -2.729258256615113e-21 | 0.0 | 0.0 |   -3.40167857862109e-08 | 0.0 |  -4.086177599418586e-10 | 0.0 | 0.0 |      1.0001470364768252 |   9.130330630704487e-20 | 0.0 | -4.2085544318603646e-10 | 0.0 |  -2.356566656053223e-08 |   2.967615542768278e-22 | 0.0 | -1.4218312220160383e-13 | 0.0 | -1.6799827822737706e-09 |  1.0679625310263343e-23 | 0.0 | -2.7017997391744727e-14 | 0.0 | -2.5517115445249525e-09 | -1.5159056252440954e-23 | 0.0 | -2.3397300805739305e-12 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -2.0490719628021898e-26 | 0.0 |  1.9198403537361585e-09 |  -8.537819409907917e-11 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
