|                           Parameters |                      0 |                       1 |   2 |   3 |                       4 |   5 |                       6 |   7 |   8 |                       9 |                      10 |  11 |                      12 |  13 |                      14 |                      15 |  16 |                      17 |  18 |                      19 |                      20 |  21 |                      22 |  23 |                      24 |                      25 |  26 |                      27 |  28 |  29 |  30 |  31 |  32 |  33 |                      34 |  35 |                      36 |                      37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |  48 |  49 |  50 |  51 |  52 |  53 |  54 |  55 |  56 |  57 |  58 |  59 |  60 |  61 |  62 |  63 |
|     VER J2020+368.spectral.amplitude |  5.145034398462184e-21 |   7.528316850666656e-34 | 0.0 | 0.0 |  4.9549320195098947e-23 | 0.0 |  -5.228371970870014e-25 | 0.0 | 0.0 |   1.437866033682926e-20 |   1.369970664268088e-31 | 0.0 |   7.633771032562922e-24 | 0.0 |  2.9006940396099677e-22 |  -6.499170274475782e-36 | 0.0 |   1.528345284975722e-27 | 0.0 |   7.477012544104938e-24 | -1.0900511857608117e-37 | 0.0 |    5.25959424478592e-29 | 0.0 | -1.3703520306471546e-24 |  1.7681275857553891e-37 | 0.0 | -1.3461481833475555e-27 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   9.051580116079757e-41 | 0.0 |  -2.153216188786251e-24 |  4.0719372148521977e-26 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2020+368.spectral.reference |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2020+368.spectral.lambda_ | 1.1767881545546235e-11 |  1.5789372006042588e-23 | 0.0 | 0.0 |  -2.160112361040004e-12 | 0.0 |   4.043321835133052e-15 | 0.0 | 0.0 |  -7.195291842859319e-11 |   7.633771032562922e-24 | 0.0 |   4.594307751063139e-09 | 0.0 |  -1.846786914019078e-12 |   3.309374673481224e-26 | 0.0 | -1.1042227970901312e-17 | 0.0 |  -7.065301744008076e-14 |  -6.933137826146082e-28 | 0.0 |   -8.01736424428549e-19 | 0.0 |  -4.736199256130799e-14 |  -5.829914655890982e-28 | 0.0 |  -5.893864155015726e-17 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -2.154451245359784e-31 | 0.0 |   5.308445085738154e-14 | -1.6586774134790117e-15 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.alpha |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.index | 4.2435882034113715e-08 |   4.224243602630533e-20 | 0.0 | 0.0 |  -5.306635827986125e-09 | 0.0 |   8.615410355608432e-12 | 0.0 | 0.0 | -3.2660044288924682e-09 |  2.9006940396099677e-22 | 0.0 |  -1.846786914019078e-12 | 0.0 |   3.549175851591457e-05 |   1.867901121762041e-21 | 0.0 |  -6.060380896554051e-13 | 0.0 | -1.5393301468511475e-10 | -2.0714408473181415e-24 | 0.0 |  -1.844396517736947e-15 | 0.0 |  -1.225942057889626e-10 |   -9.19437817552175e-25 | 0.0 | -1.5146640670073738e-13 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -2.6313656781431236e-28 | 0.0 |   1.261756541354268e-10 |  -4.023342808931065e-12 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.amplitude |   1.65067611952631e-22 |  1.5220892244469773e-34 | 0.0 | 0.0 |  -1.919498186949506e-23 | 0.0 |  3.1326517096938844e-26 | 0.0 | 0.0 |   6.111053625305753e-23 |  -6.499170274475782e-36 | 0.0 |   3.309374673481224e-26 | 0.0 |   1.867901121762041e-21 |   4.568560114867594e-31 | 0.0 |  1.1537970298837292e-26 | 0.0 |  -5.696830772438665e-25 |  -7.894726186475302e-39 | 0.0 |  -6.769422094873686e-30 | 0.0 |  -4.482228610819355e-25 |  -3.441096574090872e-39 | 0.0 |  -5.539338481063539e-28 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -1.0018451360095166e-42 | 0.0 |   4.628348286180044e-25 |  -1.474646593838324e-26 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.reference |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2018+367.spectral.lambda_ |  3.222070890753779e-13 |   7.464925744818962e-25 | 0.0 | 0.0 |  -8.969786812682406e-14 | 0.0 |  1.3556932331835868e-16 | 0.0 | 0.0 | -1.8923867312993297e-14 |   1.528345284975722e-27 | 0.0 | -1.1042227970901312e-17 | 0.0 |  -6.060380896554051e-13 |  1.1537970298837292e-26 | 0.0 |   4.597378596299566e-11 | 0.0 | -2.1692409916289437e-15 | -3.4326964904066827e-29 | 0.0 | -2.6924507404759322e-20 | 0.0 | -1.9109258729402657e-15 |  -9.664215561688758e-30 | 0.0 | -2.3523162162481855e-18 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -1.770138310050161e-33 | 0.0 |  1.8778510329532895e-15 |  -6.057582497087659e-17 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.alpha |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2016+371.spectral.index |  6.021409798213098e-08 |   3.438006077927454e-20 | 0.0 | 0.0 | -3.5507299058753607e-09 | 0.0 |  3.3963991160515357e-12 | 0.0 | 0.0 | -1.3417947730733813e-10 |   7.477012544104938e-24 | 0.0 |  -7.065301744008076e-14 | 0.0 | -1.5393301468511475e-10 |  -5.696830772438665e-25 | 0.0 | -2.1692409916289437e-15 | 0.0 |  3.6532751715469916e-05 |   3.543374703939203e-21 | 0.0 |  -4.882497169553917e-13 | 0.0 |  -9.639673474539755e-11 |   2.768683105479578e-25 | 0.0 | -1.1724505524047034e-13 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   2.925399372673912e-28 | 0.0 |   8.016852197034389e-11 | -2.7056340981949816e-12 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
