|                           Parameters |                       0 |                       1 |   2 |   3 |                       4 |   5 |                       6 |   7 |   8 |                       9 |                      10 |  11 |                      12 |  13 |                      14 |                      15 |  16 |                      17 |  18 |                      19 |                      20 |  21 |                      22 |  23 |                      24 |                      25 |  26 |                      27 |  28 |  29 |  30 |  31 |  32 |  33 |                      34 |  35 |                      36 |                      37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |  48 |  49 |  50 |  51 |  52 |  53 |  54 |  55 |  56 |  57 |  58 |  59 |  60 |  61 |  62 |  63 |  64 |  65 |  66 |
|     VER J2020+368.spectral.amplitude |   5.705128850029601e-17 |  4.7390798566629595e-32 | 0.0 | 0.0 |   6.852789448422744e-18 | 0.0 |  4.6023268576452114e-17 | 0.0 | 0.0 |   2.302899562702494e-15 |  1.7438251052578418e-28 | 0.0 |   4.261719410903214e-16 | 0.0 | -3.8372434007610905e-17 |  -4.316567221234237e-29 | 0.0 |  -4.911071018261807e-18 | 0.0 |  1.1240962646868256e-17 |    5.79508073962936e-30 | 0.0 |   2.522983304388206e-18 | 0.0 |   4.435271261148853e-18 | -6.7142916054843475e-31 | 0.0 | -1.0561936914011777e-18 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   4.570008859381771e-34 | 0.0 | -2.5033550812284942e-17 | -1.9038931334390172e-17 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2020+368.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2020+368.spectral.lambda_ |  0.00015581565717849254 |   1.333675484491196e-19 | 0.0 | 0.0 |   1.896578463996346e-05 | 0.0 |  0.00012739326291308587 | 0.0 | 0.0 |   0.0012294610925840078 |   4.261719410903214e-16 | 0.0 |   0.0024706627440456647 | 0.0 |  -0.0001218647632462711 | -1.0959607514710417e-16 | 0.0 | -1.4270007516680902e-05 | 0.0 |   3.108873315803903e-05 |  1.6027326381604016e-17 | 0.0 |   6.977849080941147e-06 | 0.0 |  1.2283053621282311e-05 | -1.8592645332733077e-18 | 0.0 | -2.9259280748274235e-06 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   1.276201087206639e-21 | 0.0 |  -6.931652741799046e-05 | -5.2710807441647955e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.alpha |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.index |  -0.0023580833975889834 |  2.5353801381439668e-18 | 0.0 | 0.0 |  1.9621157354776506e-06 | 0.0 |   3.503309057983567e-05 | 0.0 | 0.0 |  -0.0005154570094414454 | -3.8372434007610905e-17 | 0.0 |  -0.0001218647632462711 | 0.0 |    0.029706456165171452 |  1.4654278123176707e-14 | 0.0 |   -0.000661468666491994 | 0.0 |   -2.20847550133862e-05 | -1.1292578351799053e-17 | 0.0 |  -4.746088000778777e-06 | 0.0 |   1.039323032502323e-05 |  -1.353434461587851e-18 | 0.0 | -3.5058648883452712e-06 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   1.315073302322452e-20 | 0.0 |  -4.555682496791425e-05 |  -2.671764234903983e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.amplitude |  2.2248181712443406e-15 | -2.0672141737981894e-30 | 0.0 | 0.0 |  1.8766466087128908e-17 | 0.0 |  1.0699419202519646e-16 | 0.0 | 0.0 |  -4.557472073012511e-16 |  -4.316567221234237e-29 | 0.0 | -1.0959607514710417e-16 | 0.0 |  1.4654278123176707e-14 |  1.4713909099191098e-26 | 0.0 |   5.583541182373973e-16 | 0.0 |   5.176183568098936e-17 |  2.6722630650313806e-29 | 0.0 |  1.1650767795089281e-17 | 0.0 |   4.197659647083035e-18 |  -8.270787974408811e-31 | 0.0 |  -1.015390790324031e-19 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -1.009138670237617e-32 | 0.0 |   -3.51092847993081e-17 |  -3.361046197876933e-17 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2018+367.spectral.lambda_ |    0.001328192292033459 | -1.3301255969369714e-18 | 0.0 | 0.0 |   5.109661185221545e-06 | 0.0 |  2.2482257352713354e-05 | 0.0 | 0.0 | -5.0981681788462464e-05 |  -4.911071018261807e-18 | 0.0 | -1.4270007516680902e-05 | 0.0 |   -0.000661468666491994 |   5.583541182373973e-16 | 0.0 |   0.0003528605380056003 | 0.0 |  2.1735607514897473e-05 |  1.1193662903613316e-17 | 0.0 |   4.834838849339533e-06 | 0.0 | -1.6328978368833648e-06 |   1.281037945371612e-19 | 0.0 |   9.470193193500479e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -6.709002825460521e-21 | 0.0 |    2.12070361381053e-06 | -2.6808981937184382e-06 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.alpha |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2016+371.spectral.index |  -0.0005402083577137042 |    8.55926954534786e-20 | 0.0 | 0.0 |  -3.097879422720595e-05 | 0.0 | -0.00020545387166307343 | 0.0 | 0.0 |  0.00011378755309122457 |  1.1240962646868256e-17 | 0.0 |   3.108873315803903e-05 | 0.0 |   -2.20847550133862e-05 |   5.176183568098936e-17 | 0.0 |  2.1735607514897473e-05 | 0.0 |    0.042071127413983514 |  1.0763841233345517e-14 | 0.0 |   -0.001180749371031159 | 0.0 |  -1.896533645962453e-05 |   2.897214521544523e-18 | 0.0 |  4.3937823425754605e-06 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -5.179581113830563e-22 | 0.0 |   0.0001086023505638543 |    8.35388323193939e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
