|                           Parameters |                       0 |                       1 |   2 |                       3 |   4 |                      5 |                       6 |   7 |                       8 |   9 |                     10 |                      11 |  12 |                      13 |  14 |                      15 |                      16 |  17 |                     18 |  19 |  20 |  21 |  22 |  23 |  24 |                      25 |  26 |                      27 |                      28 |  29 |  30 |  31 |  32 |  33 |  34 |  35 |  36 |  37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |
|         VER J2016+371.spectral.index |    0.006753607980302654 |    1.12861997332869e-16 | 0.0 |  -0.0012555298195505238 | 0.0 |   0.025560636720770684 |   3.682484038154195e-15 | 0.0 |  -0.0034955401525573284 | 0.0 |     0.2563439935753569 |   7.261983387825762e-15 | 0.0 |    -0.03239202769821622 | 0.0 |    0.002599069286998508 |  5.2030443575476535e-17 | 0.0 | -0.0007798152579642915 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.7356665863558626e-19 | 0.0 |   -0.023059491240419644 |    -0.00826747573025675 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2016+371.spectral.amplitude | -4.4126251621330006e-16 | -1.7518597063326657e-29 | 0.0 |   2.570013922474073e-17 | 0.0 |   7.08281737441015e-16 |   8.833136891268012e-29 | 0.0 |  -3.851166655248854e-17 | 0.0 |  7.261983387825762e-15 |   4.715568674946488e-27 | 0.0 | -2.0208184379837764e-16 | 0.0 |  2.8754922495404723e-16 |  5.0888681916479555e-30 | 0.0 |  2.781412596272998e-17 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -2.0120705561355413e-33 | 0.0 |   6.546058208018709e-16 |   2.229210164641312e-16 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2016+371.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2016+371.spectral.lambda_ |   -0.001139167757108852 |  -1.877058218890993e-17 | 0.0 |  0.00020990517196465883 | 0.0 |  -0.003216645705135095 |  -4.760090342666767e-16 | 0.0 |  0.00043161514395096627 | 0.0 |   -0.03239202769821622 | -2.0208184379837764e-16 | 0.0 |    0.004551989945021431 | 0.0 |  -0.0005131777843108326 | -1.3189325071782374e-18 | 0.0 | 0.00010968386467553003 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -3.026691939300415e-20 | 0.0 |   0.0033694938983371866 |    0.001120670906575645 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2016+371.spectral.alpha |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     LHAASO J2032+4102.spectral.index |     -0.0235057264644737 | -1.2455865034996467e-15 | 0.0 |  -0.0003846548289041711 | 0.0 |   0.031314872857026665 |  5.1135959010172054e-15 | 0.0 |  -0.0037955192891388494 | 0.0 |   0.002599069286998508 |  2.8754922495404723e-16 | 0.0 |  -0.0005131777843108326 | 0.0 |     0.15024969802850557 |  -4.459721105790065e-15 | 0.0 |  -0.020278725339848428 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -2.4549293170093465e-21 | 0.0 |    -0.04380185680478239 |    -0.04846330791854001 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| LHAASO J2032+4102.spectral.amplitude |    9.45384914546276e-16 |  4.4647624898884766e-29 | 0.0 | -1.3973680399818806e-17 | 0.0 | -7.421047163120371e-16 |  -1.908516189698298e-28 | 0.0 |   7.971058709546347e-17 | 0.0 | 5.2030443575476535e-17 |  5.0888681916479555e-30 | 0.0 | -1.3189325071782374e-18 | 0.0 |  -4.459721105790065e-15 |  1.6800730052298665e-28 | 0.0 |  6.785208999018277e-16 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   9.387704308012336e-33 | 0.0 |  1.2559825214482331e-15 |  1.7239992324881112e-15 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| LHAASO J2032+4102.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|   LHAASO J2032+4102.spectral.lambda_ |    0.008908093027058797 |   2.903815674365239e-16 | 0.0 |  -0.0008652389325589401 | 0.0 | -0.0038160830114549846 |   -9.77667405137881e-16 | 0.0 |   0.0004206298173394546 | 0.0 | -0.0007798152579642915 |   2.781412596272998e-17 | 0.0 |  0.00010968386467553003 | 0.0 |   -0.020278725339848428 |   6.785208999018277e-16 | 0.0 |  0.0033676838295772296 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.5146011870088588e-19 | 0.0 |  -0.0001025524609980276 |    0.006233009355568037 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     LHAASO J2032+4102.spectral.alpha |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
