|                        Parameters |                       0 |   1 |   2 |                       3 |   4 |                       5 |                       6 |   7 |   8 |   9 |  10 |  11 |                      12 |                     13 |  14 |                      15 |  16 |                      17 |                      18 |  19 |                      20 |  21 |                      22 |                      23 |  24 |                      25 |  26 |  27 |  28 |  29 |  30 |  31 |  32 |  33 |  34 |  35 |  36 |  37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |
|          PSR J1958+2846.spatial.e |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        PSR J1958+2846.spatial.phi |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      VER J2020+368.spectral.index |   0.0004540709340874328 | 0.0 | 0.0 |  1.2250278985871198e-13 | 0.0 |   -0.005789955560516675 |    0.003721313127886627 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |    0.007576247371638229 |  8.915733373367013e-16 | 0.0 | -0.00024315825509378615 | 0.0 |    8.04071469604819e-05 |   7.343848222738499e-17 | 0.0 | -4.2236300327679474e-05 | 0.0 |  -0.0002720173231474766 |  2.0504362722729454e-17 | 0.0 |    4.02649359829292e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|  VER J2020+368.spectral.amplitude |   3.407604271618121e-17 | 0.0 | 0.0 |   7.166662011979983e-27 | 0.0 |  -4.574654076868086e-16 |   6.431416676446254e-16 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   8.915733373367013e-16 |  7.063104419139173e-28 | 0.0 |  5.5208598414274475e-17 | 0.0 |  2.9751185626987885e-17 |  1.4298284612569755e-30 | 0.0 |  -3.710616561277031e-18 | 0.0 |  -4.440553339585933e-17 |    3.69343832020234e-30 | 0.0 |   9.206714135460212e-18 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|  VER J2020+368.spectral.reference |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|    VER J2020+368.spectral.lambda_ |  -7.904405147104174e-07 | 0.0 | 0.0 |  1.2758870514581309e-14 | 0.0 |  -0.0009946793969065394 |  0.00020249235847834081 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -0.00024315825509378615 | 5.5208598414274475e-17 | 0.0 |   0.0001468659706085014 | 0.0 |   5.790534703306177e-06 |   1.573644388669198e-17 | 0.0 |   7.275518492313145e-06 | 0.0 |   4.454535265200355e-05 |  1.2339395737069307e-17 | 0.0 |  3.1958293989289348e-06 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      VER J2020+368.spectral.alpha |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      VER J2018+367.spectral.index |  0.00010583856234316884 | 0.0 | 0.0 |   3.385521096403052e-14 | 0.0 |   -0.002286420983876679 |   0.0010380152225380169 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |    8.04071469604819e-05 | 2.9751185626987885e-17 | 0.0 |   5.790534703306177e-06 | 0.0 |    0.006206247154601751 |   1.378665780990722e-15 | 0.0 | -0.00016248505395504077 | 0.0 |  2.0725785430235528e-05 |   2.362316962720982e-17 | 0.0 |  1.4088879406658137e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|  VER J2018+367.spectral.amplitude |  -8.980783035005978e-17 | 0.0 | 0.0 | -1.5262011809501902e-27 | 0.0 |  -7.879671648317951e-16 |   6.217886829104323e-16 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   7.343848222738499e-17 | 1.4298284612569755e-30 | 0.0 |   1.573644388669198e-17 | 0.0 |   1.378665780990722e-15 |  3.0096345095134657e-27 | 0.0 |  1.3749030341468773e-16 | 0.0 |  3.4572617126754355e-17 |  1.8069214841199104e-29 | 0.0 |  1.4453748840125472e-17 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|  VER J2018+367.spectral.reference |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
