|                           Parameters |                       0 |   1 |   2 |                       3 |                       4 |   5 |                       6 |   7 |                       8 |                      9 |  10 |                      11 |  12 |                     13 |                     14 |  15 |                      16 |  17 |                      18 |                      19 |  20 |                     21 |  22 |  23 |  24 |  25 |  26 |  27 |                      28 |  29 |                     30 |                      31 |  32 |  33 |  34 |  35 |  36 |  37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |  48 |  49 |  50 |
|     VER J2018+367.spectral.reference |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2018+367.spectral.lambda_ | -3.6279972563874897e-06 | 0.0 | 0.0 |   -1.99442671695127e-05 |  -4.673378827248996e-18 | 0.0 |  -5.371466820551494e-06 | 0.0 |  -0.0008014457149656628 |  4.556741754542085e-16 | 0.0 |  0.00031117166622611996 | 0.0 |  4.474645772766577e-08 | 3.4200300870996604e-20 | 0.0 |  1.3996111018785547e-09 | 0.0 |   2.662970069686608e-07 |  2.7935845593405366e-20 | 0.0 |  3.988700477686024e-09 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.8279609839555627e-24 | 0.0 | 1.3320884165310377e-07 |  -6.258436250629755e-08 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.alpha |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2016+371.spectral.index |   -9.19241865296224e-05 | 0.0 | 0.0 |  1.4096280388516168e-06 |   3.777629812945126e-19 | 0.0 |  2.4145199098388436e-07 | 0.0 |   6.548164967793841e-07 | 1.8946811482987932e-18 | 0.0 |   4.474645772766577e-08 | 0.0 |    0.03836941211911019 | 1.0849571177908735e-14 | 0.0 |  -0.0013280331049609797 | 0.0 |  6.7472909075562126e-06 |   7.078275103983092e-19 | 0.0 |  1.010730913004768e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  4.6343515436239996e-23 | 0.0 |   3.37531666414401e-06 |   -1.58561001695587e-06 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2016+371.spectral.amplitude |  -6.669897332164003e-17 | 0.0 | 0.0 |  1.0170007458440888e-18 |   2.728521956371726e-31 | 0.0 |   1.740835767273065e-19 | 0.0 |   6.995786306965311e-19 |   1.59424779850883e-30 | 0.0 |  3.4200300870996604e-20 | 0.0 | 1.0849571177908735e-14 |  6.046932015033536e-27 | 0.0 |   4.245759185154371e-16 | 0.0 |   4.895741783513724e-18 |   5.135913692271172e-31 | 0.0 |  7.333789951532078e-20 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   3.362040943766367e-35 | 0.0 | 2.4490501509399497e-18 |  -1.150522050822754e-18 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2016+371.spectral.reference |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2016+371.spectral.lambda_ | -2.5845858872019402e-06 | 0.0 | 0.0 |   3.972923156250954e-08 |  1.0613099274628079e-20 | 0.0 |   6.772052836145002e-09 | 0.0 |    3.49052119398497e-08 |   6.94678253226987e-20 | 0.0 |  1.3996111018785547e-09 | 0.0 | -0.0013280331049609797 |  4.245759185154371e-16 | 0.0 |   0.0006363318968032567 | 0.0 |  1.8970917134766052e-07 |  1.9902008113943786e-20 | 0.0 |  2.842551283005227e-09 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.3042791368196866e-24 | 0.0 |  9.489215723693768e-08 | -4.4586636216712384e-08 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2016+371.spectral.alpha |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     LHAASO J2032+4102.spectral.index | -0.00047949855053355486 | 0.0 | 0.0 |    7.21622300154235e-06 |   1.942170788763997e-18 | 0.0 |  1.2345109228695914e-06 | 0.0 |    7.82937407924912e-06 | 1.4185599640666736e-17 | 0.0 |   2.662970069686608e-07 | 0.0 | 6.7472909075562126e-06 |  4.895741783513724e-18 | 0.0 |  1.8970917134766052e-07 | 0.0 |     0.03393958262136835 |  -1.265236797724937e-15 | 0.0 |  -0.002930668159333581 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -3.0176680720090653e-19 | 0.0 |    0.00943630815560281 |   0.0001815460068048275 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| LHAASO J2032+4102.spectral.amplitude | -5.0302039545316106e-17 | 0.0 | 0.0 |  7.5704686026506565e-19 |  2.0374747389910648e-31 | 0.0 |  1.2950718284434718e-19 | 0.0 |   8.213406171684076e-19 | 1.4881448478136834e-30 | 0.0 |  2.7935845593405366e-20 | 0.0 |  7.078275103983092e-19 |  5.135913692271172e-31 | 0.0 |  1.9902008113943786e-20 | 0.0 |  -1.265236797724937e-15 |   3.060396749106616e-28 | 0.0 | 3.9659271147282447e-16 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  2.1597188642520315e-31 | 0.0 | -3.656990316895968e-16 |  3.2347487994196663e-16 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
