|                        Parameters |                       0 |   1 |   2 |                       3 |   4 |                       5 |                      6 |   7 |   8 |   9 |  10 |  11 |                     12 |                      13 |  14 |                     15 |  16 |                      17 |                     18 |  19 |                      20 |  21 |                      22 |                      23 |  24 |                      25 |  26 |  27 |  28 |  29 |  30 |  31 |  32 |  33 |  34 |  35 |  36 |  37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |
|  VER J2018+367.spectral.reference |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|    VER J2018+367.spectral.lambda_ |  2.0387309696576252e-05 | 0.0 | 0.0 |  1.3402265801874035e-17 | 0.0 |  -0.0003745107081842596 | 0.00010566439607140588 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -3.120683499259762e-06 |  1.2331823181845737e-17 | 0.0 | 1.0103852364689317e-05 | 0.0 | -0.00026166406839277505 |   2.75540580354784e-16 | 0.0 |  0.00023168043786124683 | 0.0 |   2.948461407131787e-05 |  1.2408086616841175e-17 | 0.0 |  1.4056657718087815e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      VER J2018+367.spectral.alpha |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      VER J2016+371.spectral.index |    6.42637761311114e-05 | 0.0 | 0.0 |   9.893239415736472e-18 | 0.0 | -0.00037811808956132167 | 0.00041623079163745895 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -3.683717332876429e-05 |   4.488527351481135e-17 | 0.0 |  4.020974174383602e-05 | 0.0 |  0.00029761062124216786 | 2.5818330193068375e-16 | 0.0 |   2.948461407131787e-05 | 0.0 |     0.01113085871674096 |  1.2676605474463861e-15 | 0.0 | -0.00039962682841763824 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|  VER J2016+371.spectral.amplitude | -4.7996866645403205e-17 | 0.0 | 0.0 |    5.77516014947026e-29 | 0.0 | -1.2941275604465334e-15 | 1.3834688024282163e-16 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  7.334594685074791e-18 |   1.864440640877666e-29 | 0.0 |  1.678093787909079e-17 | 0.0 |  1.0835186276788973e-16 |  8.406914370336308e-29 | 0.0 |  1.2408086616841175e-17 | 0.0 |  1.2676605474463861e-15 |   2.167848121108341e-27 | 0.0 |  1.8624557458339953e-16 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|  VER J2016+371.spectral.reference |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|    VER J2016+371.spectral.lambda_ |   3.643283785712129e-05 | 0.0 | 0.0 |  4.2693595963662224e-17 | 0.0 |  -0.0010421315795105643 | 0.00017033024613525983 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  8.557094798868895e-06 |  2.1794133926509985e-17 | 0.0 |  2.006086280131151e-05 | 0.0 |   0.0001257287397883047 |  9.874272324115668e-17 | 0.0 |  1.4056657718087815e-05 | 0.0 | -0.00039962682841763824 |  1.8624557458339953e-16 | 0.0 |   0.0003598682521853927 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      VER J2016+371.spectral.alpha |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      3HWC J2010+345.spectral.norm |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      3HWC J2010+345.spatial.lon_0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
