|                        Parameters |                       0 |   1 |   2 |                       3 |   4 |                       5 |                       6 |   7 |   8 |   9 |  10 |  11 |                      12 |  13 |                      14 |                      15 |  16 |  17 |  18 |  19 |  20 |                      21 |                      22 |  23 |                      24 |  25 |                     26 |                      27 |  28 |                      29 |  30 |                      31 |                      32 |  33 |                      34 |  35 |  36 |  37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |  48 |  49 |  50 |  51 |  52 |  53 |  54 |
|        PSR J1954+2836.spatial.phi |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      VER J2020+368.spectral.index |    8.75823375579631e-06 | 0.0 | 0.0 |  -1.351232857662414e-21 | 0.0 | -3.8834503266271115e-07 |  4.6484778590256093e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.6363557252832509e-18 | 0.0 |   4.824137449030861e-05 |  2.0673989762412955e-06 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |    0.003949292828619334 |   1.475237745496101e-16 | 0.0 |  -6.283918829657718e-05 | 0.0 |  -7.37460886429826e-06 |  3.2175672514411148e-18 | 0.0 |  -1.152205183550542e-06 | 0.0 |   3.901792192924524e-09 |   -7.53919225245756e-21 | 0.0 |   8.973027504000519e-10 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|  VER J2020+368.spectral.amplitude |   -8.26000341489731e-18 | 0.0 | 0.0 |   1.274379207958503e-33 | 0.0 |   3.662547815279182e-19 |  -4.383999343114061e-19 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -1.543269755735617e-30 | 0.0 | -4.5497108408168114e-17 | -1.9497925986156655e-18 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   1.475237745496101e-16 |   5.413612445852139e-28 | 0.0 |  2.7680747641987008e-17 | 0.0 | 1.6675899618269422e-18 | -2.9360405670119424e-30 | 0.0 |   3.247568210804544e-19 | 0.0 |  -3.666520032345298e-21 |   7.114608424141283e-33 | 0.0 | -8.4579547541318125e-22 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|  VER J2020+368.spectral.reference |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|    VER J2020+368.spectral.lambda_ |   1.830667939839785e-06 | 0.0 | 0.0 | -2.8244064566841013e-22 | 0.0 |  -8.117274029245747e-08 |    9.71635776917231e-08 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  3.4203518665210775e-19 | 0.0 |  1.0083533348007975e-05 |  4.3213293047265416e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -6.283918829657718e-05 |  2.7680747641987008e-17 | 0.0 |  0.00019224007421086997 | 0.0 | -1.435938978149617e-06 |   7.474075110763591e-19 | 0.0 |  -2.583080641412702e-07 | 0.0 |   8.152522569281948e-10 | -1.5760632792648002e-21 | 0.0 |  1.8723661144600982e-10 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      VER J2020+368.spectral.alpha |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      VER J2018+367.spectral.index |   6.369598200429492e-06 | 0.0 | 0.0 |   -9.82713679112397e-22 | 0.0 |  -2.824326726991915e-07 |    3.38067106905569e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.1900673076131122e-18 | 0.0 |  3.5084354041613516e-05 |  1.5035507902309491e-06 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   -7.37460886429826e-06 |  1.6675899618269422e-18 | 0.0 |  -1.435938978149617e-06 | 0.0 |   0.002499384657823855 |  1.4591435915220815e-16 | 0.0 |   -3.80988848823933e-05 | 0.0 |  4.1809817245249446e-10 |  -7.411203606404947e-21 | 0.0 |   6.978633696221977e-10 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|  VER J2018+367.spectral.amplitude | -1.3604498583430042e-17 | 0.0 | 0.0 |  2.0989441324490828e-33 | 0.0 |   6.032334085381284e-19 |  -7.220597708558349e-19 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -2.5418160733611443e-30 | 0.0 |   -7.49352347905987e-17 | -3.2113725751158346e-18 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  3.2175672514411148e-18 | -2.9360405670119424e-30 | 0.0 |   7.474075110763591e-19 | 0.0 | 1.4591435915220815e-16 |   9.278504456379023e-28 | 0.0 |   2.392365649883711e-17 | 0.0 |  -9.360482841311213e-21 |   9.353771120149286e-33 | 0.0 | -1.3420576943807079e-21 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|  VER J2018+367.spectral.reference |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|    VER J2018+367.spectral.lambda_ |  1.2149262194317324e-06 | 0.0 | 0.0 |  -1.874401790719531e-22 | 0.0 |  -5.387118788073621e-08 |   6.448171551611682e-08 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  2.2699238189511866e-19 | 0.0 |   6.691958426030247e-06 |  2.8678594224818493e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -1.152205183550542e-06 |   3.247568210804544e-19 | 0.0 |  -2.583080641412702e-07 | 0.0 |  -3.80988848823933e-05 |   2.392365649883711e-17 | 0.0 |    9.40088003164222e-05 | 0.0 |   5.691167660328175e-10 | -1.0282967921850694e-21 | 0.0 |  1.2405267812044265e-10 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
