|                           Parameters |                       0 |   1 |   2 |                      3 |                       4 |   5 |                       6 |   7 |                       8 |                       9 |  10 |                      11 |  12 |                      13 |                      14 |  15 |                      16 |  17 |                     18 |                      19 |  20 |                     21 |  22 |  23 |  24 |  25 |  26 |  27 |                      28 |  29 |                      30 |                      31 |  32 |  33 |  34 |  35 |  36 |  37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |  48 |  49 |  50 |
|     VER J2018+367.spectral.reference |                     0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2018+367.spectral.lambda_ |    9.90875159485128e-06 | 0.0 | 0.0 | -0.0025092240704642364 |  -8.928303871287012e-17 | 0.0 |   0.0005651057793309765 | 0.0 |   -0.021259170174048703 |   8.509761266801953e-16 | 0.0 |   0.0031399873258281604 | 0.0 |   -0.002091012989077123 |   1.291040741208189e-16 | 0.0 |  0.00028620262506623125 | 0.0 | -0.0010111450052047704 |  4.5239966958088965e-17 | 0.0 | 0.00022325488737590554 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -1.4793712360238172e-19 | 0.0 |    0.007518348168299494 |   0.0011123621323907108 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.alpha |                     0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2016+371.spectral.index |    3.44191012263986e-06 | 0.0 | 0.0 |   -0.03998803614803216 | -2.8330497387697764e-15 | 0.0 |    0.006177959832765609 | 0.0 |    0.018404066295752773 |  1.2931054272027147e-15 | 0.0 |   -0.002091012989077123 | 0.0 |     0.19201063739565405 | -1.3481929435392822e-15 | 0.0 |   -0.024679983150616668 | 0.0 |  -0.001955131635697684 |  1.3110746048750607e-16 | 0.0 |  0.0006382627070006629 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -1.483767523456594e-18 | 0.0 |     0.11672211898225596 |     0.03603863345672901 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2016+371.spectral.amplitude |   8.306529951921204e-17 | 0.0 | 0.0 |  2.035075482850245e-15 |  1.2713609360303484e-28 | 0.0 | -3.3217215877869416e-16 | 0.0 |  -1.739692263457375e-15 |  -4.501032590535627e-28 | 0.0 |   1.291040741208189e-16 | 0.0 | -1.3481929435392822e-15 |  4.2053722873030606e-27 | 0.0 |   7.103878721131831e-16 | 0.0 | -8.705356873176812e-16 |  2.9874288429075504e-29 | 0.0 |    1.1954031558324e-16 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   7.974843324309196e-32 | 0.0 | -5.8885477098538385e-15 | -1.7364111300689237e-15 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2016+371.spectral.reference |                     0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2016+371.spectral.lambda_ |   4.854059907969055e-05 | 0.0 | 0.0 |   0.005311184091755237 |   3.673098886954531e-16 | 0.0 |  -0.0008336572256540807 | 0.0 |  -0.0025114163678714484 |  -1.989137341324497e-16 | 0.0 |  0.00028620262506623125 | 0.0 |   -0.024679983150616668 |   7.103878721131831e-16 | 0.0 |    0.003575472622846015 | 0.0 |   0.000486428075043971 | -2.5828242978034136e-17 | 0.0 | -0.0001304083915302951 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   1.979630956466107e-19 | 0.0 |   -0.015678339795775268 |   -0.004861201070706205 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2016+371.spectral.alpha |                     0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     LHAASO J2032+4102.spectral.index |   -0.001335667870099424 | 0.0 | 0.0 |  -0.048237548626188224 |  -3.645668681096395e-15 | 0.0 |   0.0074552984070075864 | 0.0 |   0.0054112287358097635 |  -8.013125016539821e-16 | 0.0 |  -0.0010111450052047704 | 0.0 |   -0.001955131635697684 |  -8.705356873176812e-16 | 0.0 |    0.000486428075043971 | 0.0 |    0.11510942996294456 |  -4.544294158668729e-15 | 0.0 |  -0.017088417445341064 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -2.086225901016024e-18 | 0.0 |     0.10189941935395842 |     0.00426441752077752 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| LHAASO J2032+4102.spectral.amplitude |   1.704809519285202e-17 | 0.0 | 0.0 | 1.9084460135651796e-15 |  1.4375929622500902e-28 | 0.0 | -2.9864071923627203e-16 | 0.0 | -2.9638873524234345e-16 |  1.1895404539362256e-29 | 0.0 |  4.5239966958088965e-17 | 0.0 |  1.3110746048750607e-16 |  2.9874288429075504e-29 | 0.0 | -2.5828242978034136e-17 | 0.0 | -4.544294158668729e-15 |   2.056150994344375e-28 | 0.0 |  7.283638449400308e-16 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   8.520401046050073e-32 | 0.0 |  -3.954686141270137e-15 |  -3.401301330560256e-17 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
