|                           Parameters |                       0 |   1 |   2 |                       3 |                       4 |   5 |                       6 |   7 |                       8 |                       9 |  10 |                      11 |  12 |                      13 |                      14 |  15 |                      16 |  17 |                     18 |                      19 |  20 |                      21 |  22 |  23 |  24 |  25 |  26 |  27 |                      28 |  29 |                      30 |                      31 |  32 |  33 |  34 |  35 |  36 |  37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |  48 |  49 |  50 |  51 |  52 |  53 |  54 |  55 |  56 |  57 |
|     VER J2018+367.spectral.reference |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2018+367.spectral.lambda_ | -2.1573547410540563e-06 | 0.0 | 0.0 |  -2.755097065397903e-06 | -1.1569704022324213e-18 | 0.0 |  -1.507022488811603e-06 | 0.0 |  -0.0008485776439348743 |  3.9189376464970805e-16 | 0.0 |  0.00028939358365233283 | 0.0 |   2.567077542307473e-08 |  2.8046212597737033e-20 | 0.0 | -1.4686940719279652e-10 | 0.0 |  6.522295212762996e-08 |  -6.940915127892752e-21 | 0.0 | -1.6819551701492643e-08 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -1.3203011257679163e-21 | 0.0 |  4.8460469846445294e-06 |    5.97028929909899e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.alpha |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2016+371.spectral.index | -3.3345216725781954e-05 | 0.0 | 0.0 |  1.7518400142555566e-08 |   8.883956595411567e-20 | 0.0 |   6.798790078025155e-09 | 0.0 |  -1.496354281891977e-06 |  -9.173602324910246e-19 | 0.0 |   2.567077542307473e-08 | 0.0 |     0.01954691902807486 |   1.370974543248717e-15 | 0.0 |   -0.001039466881690856 | 0.0 |  1.008139287634571e-06 | -1.0727180246241968e-19 | 0.0 | -2.5995558501607433e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -2.0406676561779757e-20 | 0.0 |    7.49009980715663e-05 |   9.227718876299535e-06 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2016+371.spectral.amplitude |  -6.197307137217901e-17 | 0.0 | 0.0 |   9.225365699787473e-21 |  1.5416252181597179e-31 | 0.0 |   8.544185840042893e-21 | 0.0 |   -5.27705582278097e-19 |   5.968823564898552e-31 | 0.0 |  2.8046212597737033e-20 | 0.0 |   1.370974543248717e-15 |  3.1865737094498054e-27 | 0.0 |  2.3283720594112143e-16 | 0.0 | 1.8736403157770036e-18 | -1.9938705825462537e-31 | 0.0 |  -4.831552591127573e-19 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -3.792794068153897e-32 | 0.0 |   1.392112536847954e-16 |  1.7150738863785533e-17 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2016+371.spectral.reference |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2016+371.spectral.lambda_ |  -9.773688647189032e-08 | 0.0 | 0.0 |  -2.904904666117429e-10 |   9.318003410573066e-23 | 0.0 |  -4.422558160683373e-11 | 0.0 |  2.9158514888433857e-08 |  3.3060197140703753e-20 | 0.0 | -1.4686940719279652e-10 | 0.0 |   -0.001039466881690856 |  2.3283720594112143e-16 | 0.0 |    0.000355842786095843 | 0.0 |  2.952748170776525e-09 | -3.1609845508401824e-22 | 0.0 |   -7.63808828617327e-10 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   -5.99520566808189e-23 | 0.0 |   2.200409917444079e-07 |  2.7116089287239084e-08 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2016+371.spectral.alpha |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     LHAASO J2032+4102.spectral.index |  -0.0002221617103512384 | 0.0 | 0.0 |   5.533077267622669e-10 |   5.377764838352325e-19 | 0.0 |   2.500555495682257e-08 | 0.0 |  1.3342433561013856e-06 |   5.277961711220452e-18 | 0.0 |   6.522295212762996e-08 | 0.0 |   1.008139287634571e-06 |  1.8736403157770036e-18 | 0.0 |   2.952748170776525e-09 | 0.0 |   0.024518065003894602 |   -3.83144362866537e-16 | 0.0 |  -0.0011127988854831609 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.0602968096099028e-17 | 0.0 |    -0.02644330552387425 |  -0.0052933686534836835 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| LHAASO J2032+4102.spectral.amplitude |  2.3641501588447723e-17 | 0.0 | 0.0 |  -7.452871977489338e-23 |  -5.723285841018926e-32 | 0.0 | -2.6633581996862497e-21 | 0.0 | -1.4201169160025865e-19 |   -5.61675696435463e-31 | 0.0 |  -6.940915127892752e-21 | 0.0 | -1.0727180246241968e-19 | -1.9938705825462537e-31 | 0.0 | -3.1609845508401824e-22 | 0.0 |  -3.83144362866537e-16 |   3.099475154060281e-28 | 0.0 |  2.6878167354213687e-16 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.0551673714903549e-29 | 0.0 | -3.8534085639689325e-14 | -4.7880723968251276e-15 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
