|                        Parameters |                       0 |   1 |   2 |                       3 |   4 |                       5 |                       6 |   7 |   8 |   9 |  10 |  11 |                      12 |                      13 |  14 |                      15 |  16 |                      17 |                      18 |  19 |                      20 |  21 |                      22 |                      23 |  24 |                      25 |  26 |  27 |  28 |  29 |  30 |  31 |  32 |  33 |  34 |  35 |  36 |  37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |
|          PSR J1958+2846.spatial.e |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        PSR J1958+2846.spatial.phi |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      VER J2020+368.spectral.index |   2.707389856802063e-06 | 0.0 | 0.0 |  -8.217239104879812e-15 | 0.0 |   0.0002955875147738786 |   2.672947827425414e-06 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |      268352183.43997452 |   3.153453144212761e-17 | 0.0 |  -7.856279748454276e-06 | 0.0 | -2.4794315489720275e-06 |  1.2185645223474162e-18 | 0.0 | -3.9278416812749363e-07 | 0.0 |  -3.068002522161546e-08 |    3.70829633036129e-21 | 0.0 |  -6.262710589730947e-09 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|  VER J2020+368.spectral.amplitude |  -2.532453604403319e-18 | 0.0 | 0.0 |  3.0510098975559276e-27 | 0.0 | -1.0818571963148234e-16 |  -1.133510572852823e-18 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   3.153453144212761e-17 |  2.6835218345448858e-18 | 0.0 |   3.516468493392662e-18 | 0.0 |   3.592049683449686e-19 |  -8.161817621463762e-31 | 0.0 |   4.399493151556897e-20 | 0.0 | -2.6192019338648825e-19 |   7.854238313751449e-32 | 0.0 |  -3.785889574788145e-20 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|  VER J2020+368.spectral.reference |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|    VER J2020+368.spectral.lambda_ |   2.410133749552595e-07 | 0.0 | 0.0 |  -3.026653326198099e-15 | 0.0 |  0.00010877942438822137 |   9.932381945213847e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -7.856279748454276e-06 |   3.516468493392662e-18 | 0.0 |       26835.21836878905 | 0.0 |  -2.522795218890376e-07 |  1.2240130824592387e-19 | 0.0 | -4.8210020713944456e-08 | 0.0 |   5.311567265760181e-09 | -3.3154565749706983e-21 | 0.0 |   1.396892840952788e-10 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      VER J2020+368.spectral.alpha |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      VER J2018+367.spectral.index |  3.6593716038105873e-06 | 0.0 | 0.0 |   1.689109996896818e-14 | 0.0 |  -0.0005991886046570583 |  -6.257447611765618e-06 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -2.4794315489720275e-06 |   3.592049683449686e-19 | 0.0 |  -2.522795218890376e-07 | 0.0 |      268352183.44021812 |   6.364198977682845e-17 | 0.0 | -1.2313861346206253e-05 | 0.0 | -1.4098851223067094e-06 |   4.193419033025691e-19 | 0.0 |  -2.037571443110691e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|  VER J2018+367.spectral.amplitude |  -6.872173659316444e-18 | 0.0 | 0.0 |   8.511349201990056e-28 | 0.0 | -3.0256173959067587e-17 |  -3.078127571132633e-19 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.2185645223474162e-18 |  -8.161817621463762e-31 | 0.0 |  1.2240130824592387e-19 | 0.0 |   6.364198977682845e-17 |   2.683521835007283e-18 | 0.0 |   9.031786957760102e-18 | 0.0 |  -5.892642452471594e-20 |   1.887057878624118e-32 | 0.0 |  -8.425590030270236e-21 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|  VER J2018+367.spectral.reference |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
