|                           Parameters |                       0 |   1 |   2 |                       3 |                       4 |   5 |                       6 |   7 |                       8 |                       9 |  10 |                      11 |  12 |                      13 |                      14 |  15 |                      16 |  17 |                      18 |                      19 |  20 |                     21 |  22 |  23 |  24 |  25 |  26 |  27 |                      28 |  29 |                      30 |                      31 |  32 |  33 |  34 |  35 |  36 |  37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |  48 |  49 |  50 |
|     VER J2018+367.spectral.reference |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2018+367.spectral.lambda_ |  -6.647419583705156e-06 | 0.0 | 0.0 | -4.6713287124840605e-05 |  -1.974755162928103e-17 | 0.0 | -1.0464100703910212e-05 | 0.0 | -0.00037643449306815394 |   9.531419507698716e-16 | 0.0 |   0.0004687179760706106 | 0.0 |   5.363917786436604e-08 |   4.527803676430906e-20 | 0.0 |   3.948711650716721e-09 | 0.0 |   3.960973108648955e-07 |   7.445384792693545e-20 | 0.0 | 3.6321837106057515e-08 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -2.937613437601421e-23 | 0.0 |   2.832118534454372e-07 | -1.2884890891935895e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.alpha |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2016+371.spectral.index |   -6.84885619930626e-05 | 0.0 | 0.0 |  1.0001167174587587e-06 |   5.605164615503824e-19 | 0.0 |  1.3122612165150953e-07 | 0.0 |   5.418155725744208e-07 |  1.2870320637783978e-18 | 0.0 |   5.363917786436604e-08 | 0.0 |    0.030638728412325306 |   8.601082169876961e-15 | 0.0 |  -0.0004914086784017585 | 0.0 |  4.0810303778224605e-06 |   7.671115745246397e-19 | 0.0 | 3.7424900480827314e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -3.0269289752878604e-22 | 0.0 |    2.91821653013651e-06 |  -1.327404911536935e-06 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2016+371.spectral.amplitude | -5.1416402931898584e-17 | 0.0 | 0.0 |   7.486420871663007e-19 |  4.1966318327714916e-31 | 0.0 |    9.80297430994977e-20 | 0.0 |   5.259419501705584e-19 |  1.0782423197244723e-30 | 0.0 |   4.527803676430906e-20 | 0.0 |   8.601082169876961e-15 |   4.704760597683409e-27 | 0.0 |   6.435594942721048e-16 | 0.0 |  3.0637451962260923e-18 |   5.758918847110404e-31 | 0.0 | 2.8095815825342845e-19 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -2.272411844874017e-34 | 0.0 |   2.190789549308011e-18 |  -9.965236964629971e-19 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2016+371.spectral.reference |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2016+371.spectral.lambda_ |  -4.481986611060728e-06 | 0.0 | 0.0 |   6.515881746891913e-08 |   3.650781267298911e-20 | 0.0 |   8.499999892357265e-09 | 0.0 |   4.565294108870854e-08 |   9.393976871311286e-20 | 0.0 |   3.948711650716721e-09 | 0.0 |  -0.0004914086784017585 |   6.435594942721048e-16 | 0.0 |   0.0006590659906050761 | 0.0 |   2.670715332093695e-07 |   5.019990982009711e-20 | 0.0 |  2.449008744877466e-08 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -1.9809099533203887e-23 | 0.0 |   1.909724274711574e-07 |  -8.686792569191964e-08 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2016+371.spectral.alpha |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     LHAASO J2032+4102.spectral.index | -0.00038384946137792595 | 0.0 | 0.0 |   5.558108717881383e-06 |    3.11909780654649e-18 | 0.0 |   7.266989694686711e-07 | 0.0 |   5.327175546883708e-06 |   9.361936304695605e-18 | 0.0 |   3.960973108648955e-07 | 0.0 |  4.0810303778224605e-06 |  3.0637451962260923e-18 | 0.0 |   2.670715332093695e-07 | 0.0 |    0.029189465867614593 | -1.2941442003334403e-15 | 0.0 | -0.0028789232559669913 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -1.0099545392698247e-18 | 0.0 |    0.006870592024459402 |  -0.0008005013951335803 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| LHAASO J2032+4102.spectral.amplitude |  -7.215291635188904e-17 | 0.0 | 0.0 |  1.0447773064190068e-18 |   5.863014731703023e-31 | 0.0 |  1.3659506262765744e-19 | 0.0 |  1.0013508172731026e-18 |  1.7597713764736352e-30 | 0.0 |   7.445384792693545e-20 | 0.0 |   7.671115745246397e-19 |   5.758918847110404e-31 | 0.0 |   5.019990982009711e-20 | 0.0 | -1.2941442003334403e-15 |   5.181637644321102e-28 | 0.0 |  6.893713772852499e-16 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  2.4398280493255546e-31 | 0.0 | -2.6299552316134202e-17 |  3.9140371845306366e-16 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
