|                           Parameters |                       0 |                       1 |   2 |   3 |                       4 |                       5 |                       6 |   7 |                       8 |                       9 |  10 |                      11 |  12 |                      13 |                      14 |  15 |                      16 |  17 |                      18 |                      19 |  20 |                      21 |  22 |                      23 |                      24 |  25 |                     26 |  27 |  28 |  29 |  30 |  31 |  32 |                      33 |  34 |                      35 |                      36 |  37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |  48 |  49 |  50 |  51 |  52 |  53 |  54 |  55 |  56 |  57 |  58 |  59 |  60 |  61 |  62 |  63 |  64 |  65 |
|     VER J2020+368.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2020+368.spectral.lambda_ |    0.010486808569277896 |  -1.405478716094936e-16 | 0.0 | 0.0 |   -0.010074791036781617 |  1.8024745271499823e-09 |   -0.014952032745836983 | 0.0 |    -0.31638709960258005 |  -7.060419082883666e-16 | 0.0 |     0.07664502354503107 | 0.0 |    0.021518516917721584 |   4.464580624140627e-15 | 0.0 |   -0.003989375063925318 | 0.0 |    0.036248979078352936 |   2.452135345044148e-15 | 0.0 |    -0.00559834926445921 | 0.0 |   -0.005915541577080581 |  1.1702921982728706e-16 | 0.0 |  0.0006369450499538406 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -3.8769798825885985e-19 | 0.0 |      0.1748127000942931 |     0.07667927358537302 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.alpha |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.index |   0.0010157617851554522 |   5.817883691501549e-17 | 0.0 | 0.0 | -0.00038319411196503317 |  -2.370424182341062e-08 |   -0.016844441661314172 | 0.0 |    -0.08873196525160792 |  -2.089373279179625e-16 | 0.0 |    0.021518516917721584 | 0.0 |     0.21060330671887753 |   4.321170780127881e-14 | 0.0 |   -0.022833225468237114 | 0.0 |      0.1730004345294515 |  1.3928695341409661e-14 | 0.0 |   -0.023703242817002566 | 0.0 |     0.03334568302886867 | -1.3019881401344886e-15 | 0.0 |  -0.006754824095422839 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -1.2198611292304727e-18 | 0.0 |      0.3027127988160873 |     0.06677677983658013 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.amplitude |  -1.229468111951548e-16 |  1.1654613913250086e-29 | 0.0 | 0.0 |   7.567600088519761e-16 |   7.401176510736365e-20 | -1.7718440098654975e-15 | 0.0 | -1.4788081003501767e-14 | -5.1883599131570626e-30 | 0.0 |   4.464580624140627e-15 | 0.0 |   4.321170780127881e-14 |   1.552618586044745e-26 | 0.0 | -3.2470484140999307e-15 | 0.0 |   2.372545881288311e-14 |  2.0312753198321486e-27 | 0.0 |  -3.235036559530028e-15 | 0.0 |  3.1217886162370495e-15 | -2.0030863793930756e-28 | 0.0 | -7.761270108733934e-16 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -1.399538447497932e-31 | 0.0 |  3.6292381997734634e-14 |   8.634862432250277e-15 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2018+367.spectral.lambda_ |  -0.0005066483963432169 | -3.1139996085327325e-18 | 0.0 | 0.0 |    9.73633225286609e-05 |  1.0518465666945009e-08 |   0.0028359673669365606 | 0.0 |    0.019875916834139088 |   7.980293337741974e-17 | 0.0 |   -0.003989375063925318 | 0.0 |   -0.022833225468237114 | -3.2470484140999307e-15 | 0.0 |   0.0031850953301685993 | 0.0 |   -0.024789788349707815 | -1.8906289292530023e-15 | 0.0 |   0.0034708390369880622 | 0.0 |    -0.00494483209582394 |   1.716397377243929e-16 | 0.0 |  0.0009899787955814016 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  2.0394677655213762e-19 | 0.0 |    -0.05274231930706046 |   -0.012624685259029721 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.alpha |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2016+371.spectral.index |    0.004899288820508555 |   1.562625686656665e-17 | 0.0 | 0.0 |   -0.008584062540495273 | -1.3988234551194294e-07 |   -0.023304711897064567 | 0.0 |     -0.1761535966703385 |  -7.123096858045972e-16 | 0.0 |    0.036248979078352936 | 0.0 |      0.1730004345294515 |   2.372545881288311e-14 | 0.0 |   -0.024789788349707815 | 0.0 |     0.23282891042848314 |  2.6123433516644792e-14 | 0.0 |   -0.027269184729201482 | 0.0 |     0.03926552359340731 | -1.4353760999596476e-15 | 0.0 |   -0.00785104158611859 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -1.6206429498618078e-18 | 0.0 |     0.42325282406430015 |     0.10539855265446779 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2016+371.spectral.amplitude |   1.257664475226148e-16 |   3.958762036229732e-30 | 0.0 | 0.0 |  -1.258382121194854e-15 |  -5.941197983422884e-20 | -1.1195335628317565e-15 | 0.0 |  -9.860259770601722e-15 | -2.3782232114491994e-29 | 0.0 |   2.452135345044148e-15 | 0.0 |  1.3928695341409661e-14 |  2.0312753198321486e-27 | 0.0 | -1.8906289292530023e-15 | 0.0 |  2.6123433516644792e-14 |   6.675938828784846e-27 | 0.0 | -1.9774937764756355e-15 | 0.0 |   3.329498287706804e-15 | -1.0996625742052453e-28 | 0.0 | -5.547318946780438e-16 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -1.056908326860374e-31 | 0.0 |  2.6266400774694367e-14 |   6.142771023499599e-15 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
