|                           Parameters |                       0 |                       1 |   2 |   3 |                       4 |                       5 |                       6 |   7 |                       8 |                       9 |  10 |                      11 |  12 |                      13 |                      14 |  15 |                      16 |  17 |                      18 |                      19 |  20 |                      21 |  22 |  23 |  24 |  25 |  26 |  27 |  28 |  29 |  30 |  31 |  32 |  33 |  34 |  35 |  36 |  37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |
|     VER J2020+368.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2020+368.spectral.lambda_ |    0.005658437504451414 |  -9.230196623981823e-16 | 0.0 | 0.0 |    -0.00378725066296056 |  2.8786063022036074e-12 |  2.4804208884875047e-13 | 0.0 |   0.0002461676637649068 |  3.5627967193093103e-16 | 0.0 |  0.00021422953670211333 | 0.0 |  -0.0014466635443611598 |  -6.279107733781202e-16 | 0.0 | -1.0795396203938938e-06 | 0.0 |   -0.002310653209669684 |  -6.753698339701004e-16 | 0.0 | -1.5399484417413812e-06 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.alpha |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.index |    -0.03792955251126674 |   6.199503696704464e-15 | 0.0 | 0.0 |     0.02546833857335612 | -1.9456840908478128e-11 | -1.6830861781071887e-12 | 0.0 |   -0.001575203255841039 | -2.4335978410851527e-15 | 0.0 |  -0.0014466635443611598 | 0.0 |    0.010433435545629838 |   2.937007441157052e-15 | 0.0 |   7.584800435418567e-06 | 0.0 |    0.015647799132872373 |   4.651224255524882e-15 | 0.0 |  1.0434414683252055e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.amplitude | -1.7251477735110824e-14 |  2.7862109769780957e-27 | 0.0 | 0.0 |  1.1378025275993306e-14 |  -8.414180728659547e-24 |  -7.169627566988707e-25 | 0.0 |  -8.301136146201016e-16 |  -1.152579229214781e-27 | 0.0 |  -6.279107733781202e-16 | 0.0 |   2.937007441157052e-15 |  4.4943943332626466e-27 | 0.0 |  2.5902052186508075e-18 | 0.0 |   6.730180088495794e-15 |  1.7744079386825994e-27 | 0.0 |   4.473638108125349e-18 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2018+367.spectral.lambda_ | -2.8400781713204614e-05 |   4.637774864054871e-18 | 0.0 | 0.0 |  1.9044588806896966e-05 | -1.4515537853866953e-14 | -1.2542805743824734e-15 | 0.0 | -1.1936967918288692e-06 | -1.8272780698520903e-18 | 0.0 | -1.0795396203938938e-06 | 0.0 |   7.584800435418567e-06 |  2.5902052186508075e-18 | 0.0 |   6.094177171725712e-09 | 0.0 |  1.1669074685977068e-05 |  3.4389553611319612e-18 | 0.0 |   7.779532748993149e-09 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.alpha |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2016+371.spectral.index |    -0.06108740472402782 |   9.964686919142148e-15 | 0.0 | 0.0 |    0.040887858734376115 |  -3.105617324164335e-11 | -2.6795431353223783e-12 | 0.0 |   -0.002610085415605521 |  -3.948450908263527e-15 | 0.0 |   -0.002310653209669684 | 0.0 |    0.015647799132872373 |   6.730180088495794e-15 | 0.0 |  1.1669074685977068e-05 | 0.0 |    0.024959154513271565 |   7.279318130014026e-15 | 0.0 |  1.6630749896090037e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2016+371.spectral.amplitude |  -1.803899225883491e-14 |  2.9190257135224158e-27 | 0.0 | 0.0 |  1.2072701546430138e-14 |  -9.071022875022265e-24 |  -7.788187985353807e-25 | 0.0 |  -8.035707903028138e-16 | -1.1612594262222403e-27 | 0.0 |  -6.753698339701004e-16 | 0.0 |   4.651224255524882e-15 |  1.7744079386825994e-27 | 0.0 |  3.4389553611319612e-18 | 0.0 |   7.279318130014026e-15 |   3.778049486342892e-27 | 0.0 |   4.849694470004807e-18 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
