|                           Parameters |                       0 |                       1 |   2 |   3 |                       4 |                       5 |                       6 |   7 |                       8 |                       9 |  10 |                      11 |  12 |                      13 |                      14 |  15 |                      16 |  17 |                      18 |                      19 |  20 |                      21 |  22 |                      23 |                      24 |  25 |                      26 |  27 |  28 |  29 |  30 |  31 |  32 |                      33 |  34 |                      35 |                      36 |  37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |  48 |  49 |  50 |  51 |  52 |  53 |  54 |  55 |  56 |  57 |  58 |  59 |  60 |  61 |  62 |
|     VER J2020+368.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2020+368.spectral.lambda_ |     0.01062506363789295 | -1.6035468253585282e-15 | 0.0 | 0.0 |     -0.0196573044252177 |   7.388625329030804e-07 |   2.051375999398709e-05 | 0.0 |    -0.07289614668658939 | -3.0646717442721475e-16 | 0.0 |    0.017852897982867346 | 0.0 |   0.0009034628272002674 |   8.750613813380622e-17 | 0.0 | -0.00017460240480997975 | 0.0 |    0.004643530491785511 |   4.788149694606284e-16 | 0.0 |  -0.0005470665830226086 | 0.0 |   0.0006185213023073616 |  2.9377283709784985e-17 | 0.0 |   7.561646187308587e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -1.3086813546790835e-18 | 0.0 |     0.09177229650063463 |     0.03751738461824773 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.alpha |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.index |   -0.009648624000668373 |  3.5692426038198633e-16 | 0.0 | 0.0 |     0.05421008975329328 |   2.108852399878717e-05 |   0.0001750585503530266 | 0.0 |   -0.012799610787649827 | -2.6459323968516274e-16 | 0.0 |   0.0009034628272002674 | 0.0 |     0.31446825911636017 |   3.273367714368519e-14 | 0.0 |     -0.0415924691845815 | 0.0 |   -0.021926611502123904 |   -4.65416225379009e-16 | 0.0 |    0.003519275550385245 | 0.0 |  -0.0012449781507704464 |  2.3566525743168283e-16 | 0.0 |   0.0013239678124657716 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   6.902214649187297e-19 | 0.0 |   -0.020236793954315182 |  -0.0037786783332008607 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.amplitude | -1.2734197805727214e-15 |   9.928639434338477e-29 | 0.0 | 0.0 |    4.23233924528106e-15 |  2.3568631208070974e-18 |  2.7817984507764114e-17 | 0.0 |  -7.481902226481188e-16 |   -2.63677162714257e-29 | 0.0 |   8.750613813380622e-17 | 0.0 |   3.273367714368519e-14 |  1.5935170398368487e-26 | 0.0 | -2.6011797204235124e-15 | 0.0 | -4.1262023122433684e-15 |  -2.909432621415386e-28 | 0.0 |   6.429247886229765e-16 | 0.0 | -1.6178542662187837e-15 |   6.412020880751586e-29 | 0.0 |  3.4313002014531687e-16 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   6.447484899234901e-32 | 0.0 |  -1.308681041696078e-15 |  4.0510928190556577e-16 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2018+367.spectral.lambda_ |   0.0013939418676559882 |  -6.708448809351282e-17 | 0.0 | 0.0 |   -0.007005894566286177 | -3.5035967227569836e-06 | -2.4142506713465834e-05 | 0.0 |   0.0019267853786952734 |   3.348820281175697e-17 | 0.0 | -0.00017460240480997975 | 0.0 |     -0.0415924691845815 | -2.6011797204235124e-15 | 0.0 |    0.006067622763443533 | 0.0 |   0.0027693724018490653 |   4.599394498581941e-17 | 0.0 |  -0.0004569803195965245 | 0.0 |   -8.39903332960309e-05 | -3.4669915549408064e-17 | 0.0 | -0.00018492139582411513 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -9.374889433387747e-20 | 0.0 |   0.0022353469565919025 |   0.0003448500016815035 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.alpha |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2016+371.spectral.index |     0.03844536428530971 |  -7.182699328516474e-15 | 0.0 | 0.0 |     0.02204640603069297 |   5.908869847024159e-06 | -5.7202159915790285e-05 | 0.0 |   -0.035633668205272126 |  -7.565181316604291e-16 | 0.0 |    0.004643530491785511 | 0.0 |   -0.021926611502123904 | -4.1262023122433684e-15 | 0.0 |   0.0027693724018490653 | 0.0 |      0.2598379791791964 |    1.65283481646021e-14 | 0.0 |   -0.033365396010952814 | 0.0 |    0.029123441629884405 | -1.0354757338169453e-15 | 0.0 |   -0.005032707889918406 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -4.168618733066667e-19 | 0.0 |    -0.01965910234492251 |    -0.02282479191811388 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2016+371.spectral.amplitude |   2.802944798349363e-15 |  -4.695347447299778e-28 | 0.0 | 0.0 |   -2.64210244196572e-15 |  2.6855126972718003e-18 |   -7.26892697981096e-19 | 0.0 | -3.3564214076566137e-15 |  -6.281651037769214e-29 | 0.0 |   4.788149694606284e-16 | 0.0 |   -4.65416225379009e-16 |  -2.909432621415386e-28 | 0.0 |   4.599394498581941e-17 | 0.0 |    1.65283481646021e-14 |  5.6438382572961136e-27 | 0.0 | -1.1696320224510629e-15 | 0.0 |  1.4721346354245212e-15 |  -7.265091626029419e-29 | 0.0 |  -3.232963510911233e-16 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -3.0988175595919195e-32 | 0.0 |  -3.823517514857599e-16 |  -9.022896661447791e-16 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
