|                           Parameters |                       0 |                       1 |   2 |   3 |                       4 |                       5 |                       6 |   7 |                       8 |                       9 |  10 |                      11 |  12 |                      13 |                      14 |  15 |                      16 |  17 |                      18 |                      19 |  20 |                      21 |  22 |                      23 |                      24 |  25 |                      26 |  27 |  28 |  29 |  30 |  31 |  32 |                      33 |  34 |                      35 |                      36 |  37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |  48 |  49 |  50 |  51 |  52 |  53 |  54 |  55 |  56 |  57 |  58 |  59 |  60 |  61 |  62 |  63 |  64 |  65 |
|     cygnus_background.spectral.index |     0.02095959167418996 |  -3.301774125048186e-16 | 0.0 | 0.0 |    -0.06149286227116701 |  -2.640655180001463e-06 |     -0.0100607748936309 | 0.0 |  -2.259427899836195e-06 | -1.6289581314680334e-19 | 0.0 |  -3.660657831878763e-07 | 0.0 |  -5.287624461662921e-05 |  -5.882382983243419e-17 | 0.0 | -1.3358635575257021e-06 | 0.0 |  2.5707176647596446e-05 |   1.547508968704612e-17 | 0.0 |  -6.858824810906545e-08 | 0.0 |  -0.0003992630211981543 | -1.3689616667754326e-17 | 0.0 | -3.1961561646921134e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -3.469722703973221e-20 | 0.0 |   0.0014444437933619407 |  0.00018269210478252852 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| cygnus_background.spectral.amplitude |  -3.301774125048186e-16 |   2.090455400117967e-29 | 0.0 | 0.0 | -1.5068462228343446e-15 |  -6.466655364281907e-20 |  -2.467226581306418e-16 | 0.0 |    -5.6970498065873e-20 |  -4.199892534019674e-33 | 0.0 |  -9.518804822322086e-21 | 0.0 | -1.3184754815854554e-18 |  -1.470368864309767e-30 | 0.0 | -3.3618001757269875e-20 | 0.0 |   5.903287320969078e-19 |  3.5341844802990826e-31 | 0.0 | -1.7809110106883287e-21 | 0.0 |  -9.781373587039984e-18 | -3.3597971788386205e-31 | 0.0 |  -8.244725870689752e-21 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -8.499857984538468e-34 | 0.0 |  3.5387119618553823e-17 |   4.475291202820689e-18 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| cygnus_background.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      cygnus_background.spatial.lon_0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      cygnus_background.spatial.lat_0 |    -0.06149286227116701 | -1.5068462228343446e-15 | 0.0 | 0.0 |      1.4832630879561712 |  -2.101711024226888e-06 |    -0.04821209336087029 | 0.0 |  2.0861192786806852e-05 |  1.8537719211687903e-18 | 0.0 |   4.137197289718656e-06 | 0.0 | -0.00032290277296902897 |  -3.597761424328632e-16 | 0.0 |  -8.213455164553626e-06 | 0.0 |  -0.0020790809734992583 | -1.2614505893479675e-15 | 0.0 |   4.263578268523425e-06 | 0.0 |   -0.007315998337942551 |  -2.512239633415318e-16 | 0.0 |  -6.327888144576687e-06 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -6.368767610530926e-19 | 0.0 |    0.026515357169156338 |    0.003352328589270938 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      cygnus_background.spatial.sigma |  -2.640655180001463e-06 |  -6.466655364281907e-20 | 0.0 | 0.0 |  -2.101711024226888e-06 |  3.3330236611512253e-06 |  -2.381735073465881e-05 | 0.0 | -5.0214184209649176e-09 |  -3.916928364670142e-22 | 0.0 |  -8.813756818663181e-10 | 0.0 | -5.8171946919133665e-08 |  -6.467135352104875e-20 | 0.0 | -1.4640063653238282e-09 | 0.0 |   1.433716546671268e-07 |   8.684256556240894e-20 | 0.0 | -3.1116914613042377e-10 | 0.0 |   1.796242428713302e-07 |   6.163545598574482e-21 | 0.0 |  1.5900488671509486e-10 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   1.567586108353733e-23 | 0.0 |  -6.525927103769948e-07 |  -8.242766275862712e-08 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|          cygnus_background.spatial.e |     -0.0100607748936309 |  -2.467226581306418e-16 | 0.0 | 0.0 |    -0.04821209336087029 |  -2.381735073465881e-05 |     0.04550045787195911 | 0.0 | -7.3111126595955316e-06 | -5.9847108128637435e-19 | 0.0 | -1.3407196112399498e-06 | 0.0 |  -1.656562129859968e-05 | -1.7130546755361756e-17 | 0.0 | -2.9698152781258447e-07 | 0.0 |  -5.730790410131051e-06 | -2.7455077071694048e-18 | 0.0 |  1.0223590668163598e-07 | 0.0 |    0.002068982985984577 |   7.103305890724325e-17 | 0.0 |  1.7570743728822654e-06 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.7997644050896907e-19 | 0.0 |   -0.007492898088647223 |  -0.0009474695138976841 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        cygnus_background.spatial.phi |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.index |  -2.259427899836195e-06 |    -5.6970498065873e-20 | 0.0 | 0.0 |  2.0861192786806852e-05 | -5.0214184209649176e-09 | -7.3111126595955316e-06 | 0.0 |    0.021242768891668574 |   5.554624084470027e-16 | 0.0 |  -0.0015256166315315172 | 0.0 |  -9.612006717480598e-05 | -3.8763356841026503e-17 | 0.0 |  -4.548240514517084e-06 | 0.0 |   3.476609095468939e-07 |   2.095934465906696e-19 | 0.0 |  -8.402173082561516e-10 | 0.0 |   4.864921514555076e-07 |   1.668051698466293e-20 | 0.0 |   3.892654658068914e-10 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  4.2243819346304286e-23 | 0.0 | -1.7583456515384267e-06 | -2.2228125939423848e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2020+368.spectral.amplitude | -1.6289581314680334e-19 |  -4.199892534019674e-33 | 0.0 | 0.0 |  1.8537719211687903e-18 |  -3.916928364670142e-22 | -5.9847108128637435e-19 | 0.0 |   5.554624084470027e-16 |  4.5394064416277987e-29 | 0.0 |  1.1923109129295534e-16 | 0.0 |  -4.617458043915396e-18 |  -8.009072301372208e-30 | 0.0 |  -6.803609560124664e-19 | 0.0 |   2.566565930557227e-20 |  1.5389935063021722e-32 | 0.0 |  -6.923542958104483e-23 | 0.0 |  3.1815927126926734e-20 |  1.0906200361156249e-33 | 0.0 |   2.491571466477475e-23 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  2.7614941868455175e-36 | 0.0 | -1.1494000522982912e-19 | -1.4529608824167053e-20 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
