|                           Parameters |                       0 |                       1 |   2 |   3 |                       4 |                       5 |                       6 |   7 |                       8 |                       9 |  10 |                      11 |  12 |                      13 |                      14 |  15 |                      16 |  17 |                      18 |                      19 |  20 |                      21 |  22 |                      23 |                      24 |  25 |                      26 |  27 |  28 |  29 |  30 |  31 |  32 |                      33 |  34 |                      35 |                      36 |  37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |  48 |  49 |  50 |  51 |  52 |  53 |  54 |  55 |  56 |  57 |  58 |  59 |  60 |  61 |  62 |  63 |  64 |  65 |
|     VER J2020+368.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2020+368.spectral.lambda_ |  -3.202945747058174e-07 | -2.2083340240682525e-21 | 0.0 | 0.0 |   9.549579248198555e-06 | -1.4910411831877017e-09 | -1.3508924864022251e-06 | 0.0 |  -0.0014372557072872705 |  1.3426829151890742e-16 | 0.0 |   0.0012873515344752997 | 0.0 |  -3.133580668365712e-05 |  -1.485159075420014e-17 | 0.0 | -3.2734701723331193e-06 | 0.0 |  1.5630281374908526e-07 |   9.077058194082335e-20 | 0.0 |  1.0964220766553105e-09 | 0.0 | -2.0655070114046658e-07 |  -7.205558540086602e-21 | 0.0 |  -8.065230252062078e-10 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -2.3769072333216168e-23 | 0.0 |   8.010115487897655e-07 |  1.0588749464677693e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.alpha |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.index |  -2.789005146898136e-05 | -1.9383347973494647e-19 | 0.0 | 0.0 |   0.0004985773069632084 | -1.3959572202509608e-07 | -0.00013223688191092272 | 0.0 |   -9.54655206844244e-05 |  -6.292318197929318e-18 | 0.0 |  -3.133580668365712e-05 | 0.0 |     0.02692143962335829 |   7.167387128714686e-15 | 0.0 |   -0.001644717155142741 | 0.0 |  1.5833368444311294e-05 |   9.382297598302558e-18 | 0.0 |    1.39055563481673e-07 | 0.0 |  -1.736623474853826e-05 |  -6.059363407803606e-19 | 0.0 |  -6.775329852093261e-08 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -1.997676103310279e-21 | 0.0 |   6.731762473326659e-05 |    8.89687404224639e-06 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.amplitude |  -2.867694024057571e-17 | -1.9942201281009866e-31 | 0.0 | 0.0 |   5.121745493428701e-16 | -1.4341989670220225e-19 |  -1.357076908903086e-16 | 0.0 |  -3.667346020532911e-17 |  -9.380778719478315e-30 | 0.0 |  -1.485159075420014e-17 | 0.0 |   7.167387128714686e-15 |   9.957425944247058e-27 | 0.0 |   6.870492363379541e-16 | 0.0 |  1.6530476810319576e-17 |   9.767835296123939e-30 | 0.0 |   1.409793921298229e-19 | 0.0 | -1.7810600854601248e-17 |  -6.214415444287592e-31 | 0.0 |  -6.948799053669528e-20 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -2.048796104698015e-33 | 0.0 |   6.904026877088166e-17 |   9.124547251806684e-18 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2018+367.spectral.lambda_ |  -9.816655219203606e-07 |  -6.834311036913801e-21 | 0.0 | 0.0 |  1.7490272803949075e-05 |  -4.900428021891273e-09 |  -4.625737597037849e-06 | 0.0 |  -5.381279753874994e-06 |  -8.984349778909677e-19 | 0.0 | -3.2734701723331193e-06 | 0.0 |   -0.001644717155142741 |   6.870492363379541e-16 | 0.0 |   0.0005956037571172847 | 0.0 |   5.860406472512521e-07 |  3.4413535899863873e-19 | 0.0 |   4.663670134088339e-09 | 0.0 |  -6.061898299817341e-07 | -2.1150880803175875e-20 | 0.0 |  -2.364930393755528e-09 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -6.973073402914186e-23 | 0.0 |  2.3497785610306092e-06 |    3.10551724479566e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.alpha |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2016+371.spectral.index |  1.5072398833956518e-05 |    9.40975852596672e-20 | 0.0 | 0.0 |  -0.0010026687918059604 |  -6.174525756119221e-08 | -0.00016417189990235647 | 0.0 |   9.519446458956493e-07 |   8.494801017701974e-20 | 0.0 |  1.5630281374908526e-07 | 0.0 |  1.5833368444311294e-05 |  1.6530476810319576e-17 | 0.0 |   5.860406472512521e-07 | 0.0 |     0.03004355262415275 |   4.480667911303156e-15 | 0.0 |    -0.00208726778937881 | 0.0 |  -2.011841255367725e-05 |  -7.019396908047472e-19 | 0.0 |  -7.836167159254807e-08 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -2.3134669615944607e-21 | 0.0 |   7.795863624364684e-05 |   1.030387704003724e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2016+371.spectral.amplitude |   8.762223039896176e-18 |   5.463005408228109e-32 | 0.0 | 0.0 |   -5.84425490736831e-16 |  -3.599309448521417e-20 |   -9.55886388609858e-17 | 0.0 |   5.542701376171246e-19 |   4.936691277858418e-32 | 0.0 |   9.077058194082335e-20 | 0.0 |   9.382297598302558e-18 |   9.767835296123939e-30 | 0.0 |  3.4413535899863873e-19 | 0.0 |   4.480667911303156e-15 |   3.934747400698645e-27 | 0.0 |  3.6914501333507006e-16 | 0.0 | -1.1704130356352796e-17 |  -4.083622117040615e-31 | 0.0 |  -4.558915741482004e-20 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -1.3458906118245257e-33 | 0.0 |   4.535350022893983e-17 |  5.9944278857087486e-18 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2016+371.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
