|                           Parameters |                       0 |                       1 |   2 |   3 |                       4 |                       5 |                       6 |   7 |                       8 |   9 |                      10 |                      11 |  12 |  13 |  14 |  15 |  16 |                      17 |  18 |                      19 |                      20 |  21 |  22 |  23 |  24 |  25 |                      26 |                      27 |  28 |                      29 |  30 |                      31 |                      32 |  33 |                      34 |  35 |                      36 |                      37 |  38 |                      39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |  48 |  49 |  50 |  51 |  52 |  53 |  54 |  55 |  56 |  57 |  58 |  59 |
|     cygnus_background.spectral.index |  0.00022931835090266267 |  -3.539146187609152e-18 | 0.0 | 0.0 |  -0.0004408121096826687 |  -3.385883961958437e-07 |  -8.875090268047067e-08 | 0.0 | -1.6523038282771788e-19 | 0.0 |  0.00012083605920467691 |  3.2441731505406206e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   -4.88425947653433e-16 | 0.0 |  1.9482365680638467e-05 |  -7.634260688390651e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -2.0124267779860485e-06 | -3.9891888345644266e-19 | 0.0 |  -8.316955048447304e-07 | 0.0 | -1.2338383404520393e-05 |  -4.995319067101622e-19 | 0.0 |  -2.364955695470213e-06 | 0.0 |  -1.090123879039198e-05 | -1.6747634541083895e-19 | 0.0 | -2.3678308206005375e-06 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| cygnus_background.spectral.amplitude |  -3.539146187609152e-18 |   4.316455625344137e-31 | 0.0 | 0.0 | -1.7243835161547245e-17 |  -1.445814644770264e-20 | -3.8522412597478476e-21 | 0.0 |  2.7919576885392753e-33 | 0.0 | -2.8972692505374353e-18 |  -7.823577984979995e-19 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.1613519444331585e-29 | 0.0 |  -2.540477982897489e-19 |  1.4907660182924838e-18 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  2.4991767764863424e-20 | -5.2362970191875646e-33 | 0.0 |  1.0983087262093106e-20 | 0.0 |  1.9276338104505297e-19 | -1.1203694234655249e-31 | 0.0 |   4.381513244248901e-20 | 0.0 |   1.698797595523468e-19 |  -6.152939079617318e-32 | 0.0 |  4.4981163693879465e-20 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| cygnus_background.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      cygnus_background.spatial.lon_0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      cygnus_background.spatial.lat_0 |  -0.0004408121096826687 | -1.7243835161547245e-17 | 0.0 | 0.0 |     0.12379167212569442 | -1.5146002290197117e-06 |  -4.663163143470266e-07 | 0.0 |  2.7314418654690362e-18 | 0.0 |  -0.0015839940021226684 |  -0.0004295449054083204 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   3.948321676783622e-15 | 0.0 |  -0.0010936603746082233 |   0.0020299912056027792 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   6.942701323300537e-05 |  2.5320797444131323e-17 | 0.0 |  3.4390966615372015e-05 | 0.0 |   0.0003617100505944956 |   3.307095420333018e-17 | 0.0 |    7.85233653390791e-05 | 0.0 |   0.0003064384615547376 |  2.4235867865335844e-18 | 0.0 |   7.851619120299994e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      cygnus_background.spatial.sigma |  -3.385883961958437e-07 |  -1.445814644770264e-20 | 0.0 | 0.0 | -1.5146002290197117e-06 |  2.6579373346401687e-07 |  -4.209743571724318e-10 | 0.0 |  -7.549184334609195e-23 | 0.0 |   3.027844267733335e-07 |   9.986226564943135e-08 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -1.4422850823446923e-18 | 0.0 |  1.3384451115603804e-08 | -2.5592466393441944e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -7.870147646213078e-09 |  -4.049406937233637e-21 | 0.0 | -4.1899385758395665e-09 | 0.0 |  -4.195584404063078e-08 | -3.6274424809852345e-21 | 0.0 |   -9.03992180271269e-09 | 0.0 |  -3.774334499215508e-08 | -1.3565091571795361e-21 | 0.0 |   -9.24137707402697e-09 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|          cygnus_background.spatial.e |  -8.875090268047067e-08 | -3.8522412597478476e-21 | 0.0 | 0.0 |  -4.663163143470266e-07 |  -4.209743571724318e-10 |   3.654775404046067e-08 | 0.0 |  1.0872539135644239e-22 | 0.0 | -1.5042886531213737e-07 | -4.3559839140165675e-08 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   6.099304054219834e-19 | 0.0 |   5.741236571254616e-08 | -1.8094030386439806e-08 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -5.602516123892503e-10 |  -2.212096995010807e-22 | 0.0 | -4.1292295957522855e-10 | 0.0 | -3.6433551301683413e-09 | -1.6806506352109037e-21 | 0.0 |  -9.893818756685478e-10 | 0.0 |   -2.89440362858148e-09 |  -7.649496664558497e-22 | 0.0 |  -9.432300753060571e-10 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        cygnus_background.spatial.phi |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|    PSR J1958+2846.spectral.amplitude | -1.6523038282771788e-19 |  2.7919576885392753e-33 | 0.0 | 0.0 |  2.7314418654690362e-18 |  -7.549184334609195e-23 |  1.0872539135644239e-22 | 0.0 |   3.741782099975522e-32 | 0.0 | -1.9059500598809398e-17 |  -4.886592532347159e-18 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -3.124928585781561e-30 | 0.0 |  3.9720239205162764e-18 |  2.8406773461913204e-18 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.5327185408713008e-19 |  2.6697471972855065e-32 | 0.0 |    7.40043381205665e-20 | 0.0 |   3.634896576542515e-19 |  2.8525848623996296e-31 | 0.0 |   9.756110386561622e-20 | 0.0 |   2.856839742582607e-19 |   1.549070814067902e-31 | 0.0 |   9.170821220422587e-20 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|    PSR J1958+2846.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
