|                           Parameters |                       0 |                       1 |   2 |   3 |                       4 |                       5 |                       6 |   7 |                       8 |   9 |                      10 |                      11 |  12 |  13 |  14 |  15 |  16 |                      17 |  18 |                      19 |                      20 |  21 |  22 |  23 |  24 |  25 |                      26 |                      27 |  28 |                      29 |  30 |                      31 |                      32 |  33 |                      34 |  35 |                      36 |                      37 |  38 |                      39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |  48 |  49 |  50 |  51 |  52 |  53 |  54 |  55 |  56 |  57 |  58 |  59 |
|        PSR J1958+2846.spectral.alpha |  0.00010591755545027355 |   3.401002239412629e-18 | 0.0 | 0.0 |   -0.002311158643293858 | -3.4735325842648474e-08 | -3.4224451116695547e-07 | 0.0 | -1.7307104078202203e-11 | 0.0 |       8049.266426954517 |       4986.175047484766 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -2.9081861926273835e-16 | 0.0 |    0.024006487014314057 |   -0.015942592187824622 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   -5.69431652385075e-07 | -1.0538841172751882e-19 | 0.0 |  -9.400514839018993e-08 | 0.0 |  -5.063538918231598e-06 |  -5.662220162291283e-18 | 0.0 | -3.2543235686245783e-07 | 0.0 | -3.9902526604164805e-06 |  -2.742705359163904e-18 | 0.0 | -2.1423891409196414e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         PSR J1958+2846.spectral.beta |   6.497595322051293e-05 |   2.085787731107798e-18 | 0.0 | 0.0 |  -0.0014176215773257516 |  -2.139643070613816e-08 |  -2.100498006070437e-07 | 0.0 |  -1.062063794593823e-11 | 0.0 |       4986.175047484766 |      3448.9286941334253 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -1.780937316312552e-16 | 0.0 |    0.014847907863379653 |   -0.009777162925771797 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -3.4928301324946024e-07 |   -6.46435840810993e-20 | 0.0 | -5.7662367847276474e-08 | 0.0 | -3.1060331153811093e-06 |  -3.473115860687272e-18 | 0.0 | -1.9964321073310278e-07 | 0.0 |  -2.447504988377806e-06 | -1.6821300667829488e-18 | 0.0 | -1.3127590755748768e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         PSR J1958+2846.spatial.lon_0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         PSR J1958+2846.spatial.lat_0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         PSR J1958+2846.spatial.sigma |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|             PSR J1958+2846.spatial.e |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|           PSR J1958+2846.spatial.phi |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|    PSR J1954+2836.spectral.amplitude | -1.1332921278028999e-20 |  -3.694898682181582e-34 | 0.0 | 0.0 |   2.488242752063863e-19 |  3.4454108029365674e-24 |    3.61075653682797e-23 | 0.0 |   6.209063810874797e-31 | 0.0 | -2.9081861926273835e-16 |  -1.780937316312552e-16 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |    2.64066047517801e-31 | 0.0 |   1.048342135365896e-16 |  1.1679625146111775e-17 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   5.697672390049477e-23 |  1.0869560915986483e-35 | 0.0 |   9.053215386156333e-24 | 0.0 |   5.473939168000816e-22 |   6.131483212263729e-34 | 0.0 |    3.64264271932605e-23 | 0.0 |   4.352422387936782e-22 |   2.990967621637143e-34 | 0.0 |  2.4085563412086488e-23 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|    PSR J1954+2836.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        PSR J1954+2836.spectral.alpha |  2.5638286776718425e-05 |    8.35309405156421e-19 | 0.0 | 0.0 |  -0.0005650687817811453 |  -7.815876753681706e-09 |  -8.171088149715111e-08 | 0.0 | -5.1496282479447895e-17 | 0.0 |    0.024006487014314057 |    0.014847907863379653 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   1.048342135365896e-16 | 0.0 |     0.12081127893724647 |    0.027489968439687602 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -1.2901219979261703e-07 | -2.4607867092139613e-20 | 0.0 |  -2.050418928255355e-08 | 0.0 | -1.2386644438997717e-06 | -1.3874459826835954e-18 | 0.0 |  -8.243105432813803e-08 | 0.0 |  -9.840676639195963e-07 |  -6.762642883817669e-19 | 0.0 |  -5.446517185521358e-08 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
