|                           Parameters |                       0 |                       1 |   2 |   3 |                       4 |                       5 |                       6 |   7 |                       8 |                       9 |  10 |                      11 |  12 |                      13 |                      14 |  15 |                      16 |  17 |                      18 |                      19 |  20 |                      21 |  22 |                      23 |                      24 |  25 |                      26 |  27 |  28 |  29 |  30 |  31 |  32 |                      33 |  34 |                      35 |                      36 |  37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |  48 |  49 |  50 |  51 |  52 |  53 |  54 |  55 |
|     VER J2020+368.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2020+368.spectral.lambda_ |   -5.64440102161791e-07 |  -2.949650862827483e-20 | 0.0 | 0.0 |  1.6733616126979878e-06 |  -4.144939087112967e-10 |   4.963476900205618e-10 | 0.0 |  -0.0015517025810038141 |  1.1026512118016427e-16 | 0.0 |   0.0014388824380423269 | 0.0 | -2.9173905589461825e-05 | -1.4465142818874292e-17 | 0.0 |   -2.58947332474395e-06 | 0.0 |   4.844593638749314e-08 |   2.954746682531111e-20 | 0.0 | -1.1970069880811422e-10 | 0.0 |    1.36300547400362e-07 |   4.765281516979229e-21 | 0.0 |   3.519287967584288e-10 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   1.366722907530415e-23 | 0.0 |  -4.953857524014113e-07 |  -6.488662918169976e-08 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.alpha |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.index |  -4.627990241774316e-05 | -2.4334519625569915e-18 | 0.0 | 0.0 |  -0.0004067873975322283 |  2.0404971436249656e-08 |  1.3625647324553383e-06 | 0.0 |  -8.724405304791747e-05 |  -3.751910973081733e-18 | 0.0 | -2.9173905589461825e-05 | 0.0 |    0.025653726076954913 |   6.363908353236761e-15 | 0.0 |  -0.0016904965123560936 | 0.0 |  5.7316765334493705e-06 |   3.767054295397605e-18 | 0.0 |  1.8160918230251924e-08 | 0.0 |   2.237889226617075e-05 |   7.826893699159727e-19 | 0.0 |   5.809211795422711e-08 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  2.2468817299651185e-21 | 0.0 |  -8.145960989231629e-05 | -1.0675534623744511e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.amplitude | -5.2229818708253175e-17 |  -2.753833076236405e-30 | 0.0 | 0.0 |  -4.602263861842981e-16 |   2.326473810389702e-20 |  1.5484322412262719e-18 | 0.0 | -3.3768857202786325e-17 |  -6.628711386453416e-30 | 0.0 | -1.4465142818874292e-17 | 0.0 |   6.363908353236761e-15 |   1.073515769071099e-26 | 0.0 |   6.347191949682949e-16 | 0.0 |   6.949624240196935e-18 |   4.499554423340749e-30 | 0.0 |  1.3680041683701666e-20 | 0.0 |   2.529743757601067e-17 |   8.847626999464553e-31 | 0.0 |   6.566489984796512e-20 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |    2.53989884483187e-33 | 0.0 |   -9.20827898476582e-17 | -1.2067737595710355e-17 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2018+367.spectral.lambda_ | -1.1818856786871915e-06 |  -6.277702368684802e-20 | 0.0 | 0.0 | -1.0494819571206053e-05 |   5.440124463257586e-10 |   3.581324772311052e-08 | 0.0 | -3.7347580775286325e-06 |  -5.473241898600672e-19 | 0.0 |   -2.58947332474395e-06 | 0.0 |  -0.0016904965123560936 |   6.347191949682949e-16 | 0.0 |   0.0005303580130387374 | 0.0 |  1.9192506978170683e-07 |  1.1973150579601407e-19 | 0.0 |   -1.70170321041572e-10 | 0.0 |   5.752042720934132e-07 |  2.0117409561400306e-20 | 0.0 |  1.4937274946594935e-09 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   5.775346310181737e-23 | 0.0 | -2.0938211296992935e-06 |  -2.744008678750981e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.alpha |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2016+371.spectral.index |   3.575542720225588e-05 |  1.5516829859865686e-18 | 0.0 | 0.0 |  -0.0020438673105313354 |   1.557777348997223e-07 |   1.963520492965559e-06 | 0.0 |     2.7742239690965e-07 |   1.774916361896904e-20 | 0.0 |   4.844593638749314e-08 | 0.0 |  5.7316765334493705e-06 |   6.949624240196935e-18 | 0.0 |  1.9192506978170683e-07 | 0.0 |    0.029954434082450118 |   3.858817952642945e-15 | 0.0 |  -0.0021443221566630204 | 0.0 |   3.200156924384982e-05 |    1.11948270249988e-18 | 0.0 |   8.343266135042552e-08 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   3.214093015305137e-21 | 0.0 | -0.00011652724128356873 | -1.5270363493865566e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2016+371.spectral.amplitude |  2.2128505923982517e-17 |   9.571406637218045e-31 | 0.0 | 0.0 | -1.2623498538099717e-15 |    9.63182098802042e-20 |   1.217162563904469e-18 | 0.0 |  1.7089543401825594e-19 |  1.0848890591581713e-32 | 0.0 |   2.954746682531111e-20 | 0.0 |   3.767054295397605e-18 |   4.499554423340749e-30 | 0.0 |  1.1973150579601407e-19 | 0.0 |   3.858817952642945e-15 |  4.1281465247311816e-27 | 0.0 |   3.478217185870216e-16 | 0.0 |  1.9759971542573785e-17 |   6.912443092282641e-31 | 0.0 |  5.1511116301773096e-20 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   1.984571606710179e-33 | 0.0 |  -7.195074546180644e-17 |  -9.428792224367937e-18 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
