|                           Parameters |                       0 |                       1 |   2 |   3 |                       4 |                       5 |                       6 |   7 |                       8 |   9 |                      10 |                      11 |  12 |  13 |  14 |  15 |  16 |                      17 |  18 |                      19 |                      20 |  21 |  22 |  23 |  24 |  25 |                      26 |                      27 |  28 |                      29 |  30 |                      31 |                      32 |  33 |                      34 |  35 |                      36 |                      37 |  38 |                      39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |  48 |  49 |  50 |  51 |  52 |  53 |  54 |  55 |  56 |  57 |  58 |  59 |
|     cygnus_background.spectral.index |   0.0006109038489262884 |  -5.673507688351905e-18 | 0.0 | 0.0 | -0.00037638619073516083 |  -9.182645543930411e-07 | -4.3987235008317703e-07 | 0.0 | -1.9865964546598293e-17 | 0.0 |    0.007112504728576176 |  -0.0051314384167291385 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.1674401167795866e-19 | 0.0 |  -0.0002191318706296502 |   6.036921111498692e-06 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   0.0002824032743792357 |  3.1208156831703294e-17 | 0.0 |   1.094470457404536e-05 | 0.0 |  2.2879430440541487e-06 |  1.6287795441688852e-17 | 0.0 |  2.7346346390180516e-06 | 0.0 |  3.0936693918923722e-06 |   9.876877009143445e-18 | 0.0 |  3.4635246431981503e-06 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| cygnus_background.spectral.amplitude |  -5.673507688351905e-18 |  1.2295133128648756e-31 | 0.0 | 0.0 |  -5.676978504733392e-18 | -1.1253815852225485e-20 |  -6.064800181920556e-21 | 0.0 |   2.956794430473916e-31 | 0.0 |  -9.128943125681463e-17 |    5.96813526807926e-17 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -1.9961152682451854e-33 | 0.0 |  2.7919835099364386e-18 |  1.4962089924383043e-20 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -4.816884054675378e-18 |  -5.267528478106377e-31 | 0.0 | -1.9160080568175118e-19 | 0.0 | -2.3184644278270937e-19 | -4.6437868510813725e-31 | 0.0 |  -6.254302611674028e-20 | 0.0 | -1.9827766189070273e-19 |  -2.532164117315141e-31 | 0.0 |  -6.962195760767968e-20 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| cygnus_background.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      cygnus_background.spatial.lon_0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      cygnus_background.spatial.lat_0 | -0.00037638619073516083 |  -5.676978504733392e-18 | 0.0 | 0.0 |     0.24375277723447009 |  -6.647095994955654e-07 |    -5.8913554486946e-07 | 0.0 |  -2.951542079962911e-16 | 0.0 |       0.124222170054583 |    -0.12677982352932401 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   3.491406301456049e-20 | 0.0 |    0.001042603937424095 |  -5.947185362492527e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   -0.002631012962458953 | -2.8185066179338727e-16 | 0.0 |  -0.0013121025954246188 | 0.0 |  0.00012324722769173636 |  2.0839435258004658e-16 | 0.0 |   -3.00662847638721e-07 | 0.0 |   4.644494026189903e-05 |   7.208843642951877e-17 | 0.0 |   3.607918519870694e-06 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      cygnus_background.spatial.sigma |  -9.182645543930411e-07 | -1.1253815852225485e-20 | 0.0 | 0.0 |  -6.647095994955654e-07 |    3.11769183476967e-07 | -1.2351772350642503e-09 | 0.0 |  1.0406463091325182e-19 | 0.0 | -4.3709364512065074e-05 |   0.0006805604335312907 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  3.1801585867206683e-21 | 0.0 |  -4.901715384058847e-06 |  3.4206628834812136e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.9772982951921536e-06 |  3.1282470380002245e-19 | 0.0 | -4.7579848123881793e-07 | 0.0 |   6.506565191965996e-07 |    5.63714334107578e-19 | 0.0 |  1.1099470532417896e-07 | 0.0 |    6.46995838087507e-07 |  3.4156921706284813e-19 | 0.0 |  1.1084967885656531e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|          cygnus_background.spatial.e | -4.3987235008317703e-07 |  -6.064800181920556e-21 | 0.0 | 0.0 |    -5.8913554486946e-07 | -1.2351772350642503e-09 |  1.7527713744437065e-07 | 0.0 |   7.087488097549181e-21 | 0.0 |    -4.2196589708712e-06 |  1.6285033908654595e-06 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |    9.73163665764624e-23 | 0.0 |  -6.885857100437818e-08 | -1.2620946592437833e-08 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   3.192008255200911e-07 |  3.6147716284873994e-20 | 0.0 |   3.998293915935388e-08 | 0.0 |  2.5872704454165065e-08 |    3.73897956845588e-20 | 0.0 |   4.642622147456047e-09 | 0.0 |   2.027999982721274e-08 |  1.9090829408593695e-20 | 0.0 |   4.414556179334766e-09 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        cygnus_background.spatial.phi |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|    PSR J1958+2846.spectral.amplitude | -1.9865964546598293e-17 |   2.956794430473916e-31 | 0.0 | 0.0 |  -2.951542079962911e-16 |  1.0406463091325182e-19 |   7.087488097549181e-21 | 0.0 |   6.511205603979854e-28 | 0.0 |  -1.842257343294617e-13 |   3.149849711599592e-13 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -1.6588862885243183e-30 | 0.0 |  2.7397151796290626e-15 |  -3.145205624571773e-17 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -4.555226326329746e-15 | -4.6246762373911475e-28 | 0.0 |  -4.818585326399886e-16 | 0.0 |  -1.567432835048502e-16 | -2.7798589687457193e-28 | 0.0 | -5.0352878733292413e-17 | 0.0 | -1.3459625949160303e-16 | -1.5524292567959136e-28 | 0.0 |  -5.211445382399127e-17 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|    PSR J1958+2846.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        PSR J1958+2846.spectral.alpha |    0.007112504728576176 |  -9.128943125681463e-17 | 0.0 | 0.0 |       0.124222170054583 | -4.3709364512065074e-05 |    -4.2196589708712e-06 | 0.0 |  -1.842257343294617e-13 | 0.0 |       86.70354280394194 |       -83.5395714355581 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   4.858221293383221e-16 | 0.0 |     -0.8273468256093703 |   -0.004533527874569354 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |      1.7773020105216202 |  1.6660297464156018e-13 | 0.0 |      0.2847053305939554 | 0.0 |     0.03771416200038373 |   7.645659188747683e-14 | 0.0 |    0.014891730061371117 | 0.0 |    0.027831805139972503 |  4.0772968557408417e-14 | 0.0 |    0.014497294559438078 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         PSR J1958+2846.spectral.beta |  -0.0051314384167291385 |    5.96813526807926e-17 | 0.0 | 0.0 |    -0.12677982352932401 |   0.0006805604335312907 |  1.6285033908654595e-06 | 0.0 |   3.149849711599592e-13 | 0.0 |       -83.5395714355581 |      402.41906240627696 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -7.0831080934477215e-16 | 0.0 |       1.189641005910047 |   -0.019485204365767818 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |      -1.926568559361976 | -2.6374180253246073e-13 | 0.0 |     -0.3060560836571661 | 0.0 |    -0.08479619806725605 | -1.1804803447873113e-13 | 0.0 |   -0.026742417057390496 | 0.0 |    -0.07390552383759205 |    -6.4547700796198e-14 | 0.0 |   -0.026596425608876446 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         PSR J1958+2846.spatial.lon_0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
