|                           Parameters |                       0 |                       1 |   2 |   3 |                       4 |                       5 |                       6 |   7 |                       8 |                       9 |  10 |                      11 |  12 |                      13 |                      14 |  15 |                      16 |  17 |                      18 |                      19 |  20 |                      21 |  22 |                      23 |                      24 |  25 |                      26 |  27 |  28 |  29 |  30 |  31 |  32 |                      33 |  34 |                      35 |                      36 |  37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |  48 |  49 |  50 |  51 |  52 |  53 |  54 |  55 |  56 |  57 |  58 |  59 |  60 |  61 |  62 |
|     cygnus_background.spectral.index |    0.002305272857302211 |  -2.264663881801595e-16 | 0.0 | 0.0 |   -0.009636885082055315 |  -9.342612146587934e-06 |   9.474901987143762e-05 | 0.0 |  -3.759062508504824e-05 |  -5.100954938230607e-20 | 0.0 |  2.2141122024660938e-05 | 0.0 | -4.5805125130679404e-05 | -4.8229448150391754e-17 | 0.0 |  -9.038098855375255e-06 | 0.0 | -2.2926862837468358e-05 | -4.1829338984929454e-18 | 0.0 | -3.9319191185188065e-06 | 0.0 | -0.00010460255983292583 | -3.0740976077031938e-18 | 0.0 |  1.0789055845536221e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.9234556429199874e-19 | 0.0 |  -0.0017201300014978989 |  -0.0029343494183205142 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| cygnus_background.spectral.amplitude |  -2.264663881801595e-16 |    8.40618412371825e-29 | 0.0 | 0.0 | -1.7061184449739081e-15 | -1.5820800748360742e-18 |  4.8919920857353444e-18 | 0.0 | -5.1031357916467345e-18 | -3.3128056607750107e-31 | 0.0 |  1.2193847164902299e-18 | 0.0 |  -1.319645721975094e-17 | -1.1345205207992893e-29 | 0.0 | -2.4242281141563216e-18 | 0.0 | -1.0465718319475469e-17 |  -4.050273091105167e-30 | 0.0 | -1.8966890719403687e-18 | 0.0 | -1.3886111732768995e-17 | -1.7472821616037845e-30 | 0.0 | -4.0376213289964605e-20 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -2.2792651546037035e-31 | 0.0 |  -8.736308830550884e-19 | -2.5276546665419605e-16 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| cygnus_background.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      cygnus_background.spatial.lon_0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      cygnus_background.spatial.lat_0 |   -0.009636885082055315 | -1.7061184449739081e-15 | 0.0 | 0.0 |     0.34273897889556354 | -3.7004957181683496e-05 |  -0.0008930425013998387 | 0.0 |   0.0007368746145328632 | -2.0820071219526163e-17 | 0.0 | -0.00032395255971402504 | 0.0 | -0.00019280715400328682 |  3.6933528949450916e-17 | 0.0 |  2.0832635607361343e-05 | 0.0 |  -0.0006918262168004004 | -4.0411361789698963e-16 | 0.0 | -2.9331087994892427e-05 | 0.0 | -0.00016849976946741834 |  -7.404305320550925e-17 | 0.0 |  -0.0003058923246515025 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -1.1445941593414848e-17 | 0.0 |     0.03368317762978216 |    0.057802218477007644 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      cygnus_background.spatial.sigma |  -9.342612146587934e-06 | -1.5820800748360742e-18 | 0.0 | 0.0 | -3.7004957181683496e-05 |  6.1402816213238915e-06 | -1.9095984792536423e-06 | 0.0 | -1.4739788895215278e-07 |  1.5178012196494377e-19 | 0.0 |  -3.177989074391461e-07 | 0.0 |  3.7894195435880784e-06 |  1.8397965631320693e-18 | 0.0 |   8.777732485469117e-07 | 0.0 |  3.0101848484158433e-06 |   1.517772990614548e-19 | 0.0 |   7.006121665172354e-07 | 0.0 |   6.581121324341768e-06 |    5.31822587584053e-19 | 0.0 |   7.292806494952477e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.3593626979351628e-19 | 0.0 |   -8.07840203324093e-05 |  -4.089700144327043e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|          cygnus_background.spatial.e |   9.474901987143762e-05 |  4.8919920857353444e-18 | 0.0 | 0.0 |  -0.0008930425013998387 | -1.9095984792536423e-06 |  0.00032874225037526217 | 0.0 |  -0.0001871544646631168 |  -9.350214294107032e-18 | 0.0 |   2.023043158608477e-05 | 0.0 | -0.00025910115482128884 |  -1.959155375454586e-16 | 0.0 |  -6.634415410222729e-05 | 0.0 | -0.00022209964486090105 |  -7.779457716465982e-17 | 0.0 | -5.9308645758958624e-05 | 0.0 | -0.00015511096571392788 | -4.6839462246028677e-17 | 0.0 |    4.35129272330657e-06 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -8.898934445282128e-18 | 0.0 |  0.00029646282330856265 |    -0.01022929610702872 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        cygnus_background.spatial.phi |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.index |  -3.759062508504824e-05 | -5.1031357916467345e-18 | 0.0 | 0.0 |   0.0007368746145328632 | -1.4739788895215278e-07 |  -0.0001871544646631168 | 0.0 |     0.00886841760412933 |   2.609276704172062e-16 | 0.0 |   -0.000759850796118461 | 0.0 | -0.00019072482196196355 |  -8.033697641570959e-17 | 0.0 | -1.7416924871946393e-05 | 0.0 | -0.00015584077701368123 |  -5.998745865740775e-17 | 0.0 | -1.6468174425788323e-05 | 0.0 |  -9.355520509171661e-05 |  -2.323053217409716e-17 | 0.0 | -0.00011860304502585246 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -1.8227370411862952e-19 | 0.0 |    0.009977198560526583 |    0.015571505974193418 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2020+368.spectral.amplitude |  -5.100954938230607e-20 | -3.3128056607750107e-31 | 0.0 | 0.0 | -2.0820071219526163e-17 |  1.5178012196494377e-19 |  -9.350214294107032e-18 | 0.0 |   2.609276704172062e-16 |   4.283746056761779e-29 | 0.0 |   6.194293439377728e-17 | 0.0 |  -3.099303221248432e-18 |  -6.135573384743271e-30 | 0.0 |  -1.181276002180648e-18 | 0.0 |  -3.329893584225137e-18 | -2.7552429754181978e-30 | 0.0 | -1.2873218428324022e-18 | 0.0 |   1.059294556803511e-17 | -1.0055586646987231e-30 | 0.0 |   2.342727455468892e-18 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -3.0120513044967755e-31 | 0.0 | -1.4029314018011718e-17 | -3.8729617654982616e-16 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
