|                           Parameters |                       0 |                       1 |   2 |   3 |                       4 |                       5 |                       6 |   7 |                       8 |                       9 |  10 |                      11 |  12 |                      13 |                      14 |  15 |                      16 |  17 |                      18 |                      19 |  20 |                      21 |  22 |                     23 |                      24 |  25 |                      26 |  27 |  28 |  29 |  30 |  31 |  32 |                      33 |  34 |                      35 |                      36 |  37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |  48 |  49 |  50 |  51 |  52 |  53 |  54 |  55 |  56 |  57 |  58 |  59 |
|     VER J2020+368.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2020+368.spectral.lambda_ |     0.01594367171041668 |  -1.823874907002149e-15 | 0.0 | 0.0 |  -0.0003008545244609325 |  -4.615701148315418e-05 |   6.648749986836418e-05 | 0.0 |    -0.20667736697182978 |  -1.378876353263594e-15 | 0.0 |     0.03921945909144199 | 0.0 |    -0.01511739246655252 |   7.990938776404082e-15 | 0.0 |   0.0010048032622270732 | 0.0 |      0.0925167256584166 | -1.0766842234843554e-17 | 0.0 |      0.0791980745367908 | 0.0 |   -0.03931648551193146 |  1.2131057968183359e-15 | 0.0 |    0.006260124871315496 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -3.679843309487052e-18 | 0.0 |     0.26235671546518896 |     0.10836808003994375 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.alpha |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.index |   -0.007166104794330979 |   5.401797159155574e-16 | 0.0 | 0.0 |   0.0012052570187136005 |   0.0001547243864542316 |   2.270093132660277e-06 | 0.0 |     0.06638883094060713 |  2.1759149318816762e-16 | 0.0 |    -0.01511739246655252 | 0.0 |     0.26308617905921156 | -3.8221894918831634e-14 | 0.0 |   -0.010364580155310449 | 0.0 |   -0.035486442751006216 |   5.469243659605207e-18 | 0.0 |   -0.022852873042309162 | 0.0 |   0.009523929070710906 |   -4.46389735524944e-16 | 0.0 |  -0.0015451613826148558 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.1226990796198135e-18 | 0.0 |    -0.08304133093735167 |    -0.03614687542362013 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.amplitude |  3.4868605728097024e-15 |  -5.050421092800968e-28 | 0.0 | 0.0 |  -1.817967918838976e-16 |  -1.624187599718564e-17 |  2.7594480077855527e-17 | 0.0 | -4.0256931603240856e-14 | -2.5597699139232005e-28 | 0.0 |   7.990938776404082e-15 | 0.0 | -3.8221894918831634e-14 |  1.3133385105591073e-26 | 0.0 |  1.5472974091165361e-15 | 0.0 |  1.4411201264198772e-14 | -1.7405575197533286e-30 | 0.0 |  1.4184460964048465e-14 | 0.0 | -5.327382470491274e-15 |  1.8737289314682277e-28 | 0.0 |   8.145942859025609e-16 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   -7.44732180186248e-31 | 0.0 |   4.832835642070264e-14 |   1.879604502731308e-14 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2018+367.spectral.lambda_ |   0.0004611074093577039 | -2.9545756788701415e-17 | 0.0 | 0.0 | -0.00010060100777572126 |  -5.674222421436689e-06 |  -8.711874411321758e-07 | 0.0 |   -0.004453761057102122 | -1.3440163635206469e-17 | 0.0 |   0.0010048032622270732 | 0.0 |   -0.010364580155310449 |  1.5472974091165361e-15 | 0.0 |   0.0005034094034265647 | 0.0 |   0.0023355468997175587 |  -2.885133489112074e-19 | 0.0 |   0.0017962774466117402 | 0.0 | -0.0009538192057923088 |  3.0818623259577953e-17 | 0.0 |  0.00014157188631964214 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -8.068181010287294e-20 | 0.0 |    0.005467286906473539 |    0.002289131778937783 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.alpha |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2016+371.spectral.index |    0.035833901286904876 | -4.0455067698744815e-15 | 0.0 | 0.0 |   -0.000743441896444923 | -0.00011257984264787903 |  0.00015369791540451573 | 0.0 |     -0.4877031055995943 |  -3.307936487561096e-15 | 0.0 |      0.0925167256584166 | 0.0 |   -0.035486442751006216 |  1.4411201264198772e-14 | 0.0 |   0.0023355468997175587 | 0.0 |     0.23705960094400896 | -2.9721678733541464e-17 | 0.0 |      0.1929107549931162 | 0.0 |   -0.08977491910052372 |  2.9962280744763976e-15 | 0.0 |    0.015405974722275863 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -7.920231921312136e-18 | 0.0 |      0.6238616746078798 |     0.27330798205151335 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2016+371.spectral.amplitude |   -4.03703964217904e-18 |   4.192393686306544e-31 | 0.0 | 0.0 |   7.863628864340245e-20 |   1.742513175660093e-20 | -1.2765060326556479e-20 | 0.0 |   5.652191091316424e-17 |  3.8130869245144494e-31 | 0.0 | -1.0766842234843554e-17 | 0.0 |   5.469243659605207e-18 | -1.7405575197533286e-30 | 0.0 |  -2.885133489112074e-19 | 0.0 | -2.9721678733541464e-17 |   4.427228850200418e-33 | 0.0 |  -2.243535114763382e-17 | 0.0 | 1.0484143203452009e-17 | -3.6907730439003022e-31 | 0.0 | -1.9053741126377974e-18 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   7.867046465998325e-34 | 0.0 |  -7.294161785276712e-17 |  -3.406400357302815e-17 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
