|                           Parameters |                       0 |                       1 |   2 |   3 |                       4 |                       5 |                       6 |   7 |                       8 |                       9 |  10 |                      11 |  12 |                      13 |                      14 |  15 |                      16 |  17 |                      18 |                      19 |  20 |                      21 |  22 |  23 |  24 |  25 |  26 |  27 |  28 |  29 |  30 |  31 |  32 |  33 |  34 |  35 |  36 |  37 |  38 |
|     VER J2020+368.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2020+368.spectral.lambda_ |     0.05605536263000636 |  -9.986664240713835e-15 | 0.0 | 0.0 |  -0.0014321688596424579 | -1.3451549383033567e-06 |   3.349439328676689e-06 | 0.0 |    -0.05386799035836733 |  -7.639415560242032e-17 | 0.0 |    0.015514661141814736 | 0.0 |    -0.01948369454532245 |  -2.250720111385119e-15 | 0.0 |    0.002808066235296818 | 0.0 | -0.00041036105258763275 |  -9.956623830749708e-18 | 0.0 |   9.283420822967417e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.alpha |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.index |    -0.10356875712463859 |   1.856342592770748e-14 | 0.0 | 0.0 |    0.002170280148307758 |   1.938026191232445e-06 |  1.5994479799788196e-06 | 0.0 |     0.10819862819748421 |  3.4659080554986117e-15 | 0.0 |    -0.01948369454532245 | 0.0 |     0.08157205013711048 |   1.737982093146284e-14 | 0.0 |   -0.006649036132025095 | 0.0 |   0.0008175835074401787 |   3.402967479294301e-17 | 0.0 | -0.00016748525457476802 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.amplitude | -1.1241381699277926e-14 |  2.0204520025722447e-27 | 0.0 | 0.0 |   4.431770561169478e-16 |   6.759569746643103e-20 |  1.8157952094831814e-18 | 0.0 |  1.1699698858054327e-14 |  3.1263743942531953e-28 | 0.0 |  -2.250720111385119e-15 | 0.0 |   1.737982093146284e-14 |  1.0323009146646118e-26 | 0.0 |   8.955819460736122e-16 | 0.0 |  1.0332485698170916e-16 |   8.517825206787139e-30 | 0.0 | -1.6437884761119227e-17 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2018+367.spectral.lambda_ |    0.015396913258322252 |   -2.75851091592237e-15 | 0.0 | 0.0 |  -0.0004506884478235999 | -4.1596188048960057e-07 |   1.442289702777111e-06 | 0.0 |   -0.016240165761088346 |   -5.53319409477425e-16 | 0.0 |    0.002808066235296818 | 0.0 |   -0.006649036132025095 |   8.955819460736122e-16 | 0.0 |    0.002009612745316896 | 0.0 | -0.00011038195005273593 | -1.0895026163060754e-18 | 0.0 |   2.686203989238505e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.alpha |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2016+371.spectral.index |  -0.0020313131637891943 |   3.667619134799529e-16 | 0.0 | 0.0 |   0.0005254394824295856 |   7.453576471891242e-08 | -1.8520043490961978e-06 | 0.0 |   0.0023924389381888705 |   8.153934172729973e-17 | 0.0 | -0.00041036105258763275 | 0.0 |   0.0008175835074401787 |  1.0332485698170916e-16 | 0.0 | -0.00011038195005273593 | 0.0 |     0.05315807289186286 |   9.679019845249178e-15 | 0.0 |  -0.0018509221165180674 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2016+371.spectral.amplitude |  1.5893082820783327e-17 |   -1.81164236241136e-30 | 0.0 | 0.0 |  1.8318240196522026e-16 |  1.2992513484424741e-20 |  -6.725938375217912e-19 | 0.0 |   8.288657479191358e-17 |   3.756358694636266e-30 | 0.0 |  -9.956623830749708e-18 | 0.0 |   3.402967479294301e-17 |   8.517825206787139e-30 | 0.0 | -1.0895026163060754e-18 | 0.0 |   9.679019845249178e-15 |   3.998729740335157e-27 | 0.0 |  1.0204410922828553e-15 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
