|                           Parameters |                       0 |                       1 |   2 |   3 |                       4 |                       5 |                       6 |   7 |                       8 |                       9 |  10 |                      11 |  12 |                      13 |                      14 |  15 |                      16 |  17 |                      18 |                      19 |  20 |                      21 |  22 |                      23 |                      24 |  25 |                      26 |  27 |  28 |  29 |  30 |  31 |  32 |                      33 |  34 |                      35 |                      36 |  37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |  48 |  49 |  50 |  51 |  52 |  53 |  54 |  55 |  56 |  57 |  58 |  59 |  60 |  61 |  62 |
|     cygnus_background.spectral.index |   0.0048105943272251485 | -3.2656148491757903e-16 | 0.0 | 0.0 |    0.003507992924169099 | -0.00024248290866696394 |  -0.0002823400886965102 | 0.0 |   1.597413700267894e-13 |  -7.008273029390859e-26 | 0.0 |  -6.710021187909884e-14 | 0.0 |  4.0963662634340217e-10 |   3.223369899349862e-22 | 0.0 |  -6.072378141882598e-12 | 0.0 |  -1.969619928651439e-06 | -1.3872460218553071e-18 | 0.0 |  -7.367120828761677e-09 | 0.0 |   5.034698581701474e-11 | -2.9743364849247954e-22 | 0.0 |  -3.913170796144908e-11 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -1.086765328614231e-22 | 0.0 |   7.916402140861593e-09 |  2.9371352988238557e-09 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| cygnus_background.spectral.amplitude | -3.2656148491757903e-16 |   7.022884887118228e-29 | 0.0 | 0.0 |  3.7288576719147803e-16 | -2.6271274410261483e-17 |  -3.084006655575454e-17 | 0.0 |  -5.468858233518201e-26 |  -5.967285862724265e-39 | 0.0 |  -2.787868496557292e-26 | 0.0 |  3.1496898670443947e-23 |  4.2201877335048853e-35 | 0.0 |   5.410757213957301e-25 | 0.0 | -2.7285105034104634e-19 | -1.9498484587357148e-31 | 0.0 | -1.1804701452451537e-21 | 0.0 |  -3.834044122738036e-24 |  2.6078524796376734e-35 | 0.0 |   6.179296321200994e-24 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  2.0496442460354233e-35 | 0.0 | -1.4809321051589738e-21 |  -5.278657112044656e-22 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| cygnus_background.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      cygnus_background.spatial.lon_0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      cygnus_background.spatial.lat_0 |    0.003507992924169099 |  3.7288576719147803e-16 | 0.0 | 0.0 |      2.5776695180684293 |  0.00029770788069645026 |   0.0023865850082020767 | 0.0 |   2.647684114804218e-10 |   8.029253771040468e-23 | 0.0 |  1.7474966796780275e-10 | 0.0 | -3.3181944575904895e-07 | -3.2945577558235023e-19 | 0.0 |  5.1660504561691236e-11 | 0.0 |    0.002045746802972021 |  1.4749444760377511e-15 | 0.0 |   9.850648554201296e-06 | 0.0 |  2.2967043694521116e-10 | -1.2848598892339967e-21 | 0.0 |  -1.691714204158642e-12 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   2.486656165504521e-21 | 0.0 | -1.7913053608786683e-07 |  -6.288195943049584e-08 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      cygnus_background.spatial.sigma | -0.00024248290866696394 | -2.6271274410261483e-17 | 0.0 | 0.0 |  0.00029770788069645026 |   0.0004285285998135594 |  -8.411038150021906e-05 | 0.0 | -1.3358763999471893e-13 |  -6.943460248430577e-26 | 0.0 |  -1.401799942053804e-13 | 0.0 |  3.1455963608641635e-10 |  3.1456708844437823e-22 | 0.0 |  1.6277604322196798e-12 | 0.0 | -1.9264810311219236e-06 | -1.3813664057620808e-18 | 0.0 |  -8.737260354295003e-09 | 0.0 |  2.2528448965682824e-12 |  -1.234295504275525e-23 | 0.0 |  -3.783509584540615e-12 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -1.1751405707913351e-23 | 0.0 |   8.647161259992505e-10 |  3.3634211245533793e-10 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|          cygnus_background.spatial.e |  -0.0002823400886965102 |  -3.084006655575454e-17 | 0.0 | 0.0 |   0.0023865850082020767 |  -8.411038150021906e-05 |  0.00030033431124078377 | 0.0 | -1.3794816123977598e-12 |  -5.161513423995617e-25 | 0.0 | -1.0614370591942903e-12 | 0.0 |   2.203864567543371e-09 |  2.1885962732080098e-21 | 0.0 |  -9.952615465969479e-13 | 0.0 | -1.3688505274644514e-05 |  -9.851081931245488e-18 | 0.0 |  -6.466254231016005e-08 | 0.0 |  -5.814498553441723e-12 |   2.759359514074594e-23 | 0.0 |   7.132295493060551e-13 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   9.657642954831755e-25 | 0.0 |  -9.562099435536086e-11 |  -8.054652219379136e-11 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        cygnus_background.spatial.phi |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.index |   1.597413700267894e-13 |  -5.468858233518201e-26 | 0.0 | 0.0 |   2.647684114804218e-10 | -1.3358763999471893e-13 | -1.3794816123977598e-12 | 0.0 |    0.008833796591878149 |  1.4489261737681717e-16 | 0.0 |   -0.000679694891167505 | 0.0 |   -3.52563512636738e-05 |   7.774336179575464e-18 | 0.0 | -1.3607938773578112e-06 | 0.0 |   8.177014741168361e-10 |  3.5771965863539594e-22 | 0.0 | -1.4386690708913193e-11 | 0.0 |  -4.724325202923321e-12 |  1.8146681369489118e-23 | 0.0 |   6.541113767642047e-12 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   5.388888521454496e-23 | 0.0 |  -3.951766786606399e-09 | -1.5130851941037707e-09 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2020+368.spectral.amplitude |  -7.008273029390859e-26 |  -5.967285862724265e-39 | 0.0 | 0.0 |   8.029253771040468e-23 |  -6.943460248430577e-26 |  -5.161513423995617e-25 | 0.0 |  1.4489261737681717e-16 |  1.1937547381308258e-29 | 0.0 |  3.5614373394605635e-17 | 0.0 | -1.3944941299081919e-19 | -1.9659973983335124e-30 | 0.0 |  -8.207946380522742e-20 | 0.0 |  2.4738662616448086e-22 |   1.264947550401214e-34 | 0.0 | -1.5806787850626443e-24 | 0.0 |   1.102060792391002e-25 | -1.0091065660878547e-36 | 0.0 |  2.3174952635194377e-25 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.0744140353123196e-35 | 0.0 |  -7.767741882873824e-22 |  -2.777312031213146e-22 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2020+368.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2020+368.spectral.lambda_ |  -6.710021187909884e-14 |  -2.787868496557292e-26 | 0.0 | 0.0 |  1.7474966796780275e-10 |  -1.401799942053804e-13 | -1.0614370591942903e-12 | 0.0 |   -0.000679694891167505 |  3.5614373394605635e-17 | 0.0 |   0.0006339014215846133 | 0.0 | -1.2077164217591038e-05 |   5.759816013755669e-19 | 0.0 |  -8.586152696488007e-07 | 0.0 |   4.849554193216181e-10 |   2.736434290489344e-22 | 0.0 |  5.8585809856165615e-12 | 0.0 |  -1.315474151723403e-12 |    5.22605771492714e-24 | 0.0 |   1.699831644512812e-12 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   7.516232016104065e-23 | 0.0 | -5.4308523876909065e-09 |  -1.936032281395445e-09 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
