|                           Parameters |                       0 |                       1 |   2 |                       3 |   4 |                       5 |                       6 |   7 |                       8 |   9 |                      10 |                     11 |  12 |                      13 |  14 |                      15 |                      16 |  17 |                      18 |  19 |  20 |  21 |  22 |  23 |  24 |                      25 |  26 |                      27 |                      28 |  29 |  30 |  31 |  32 |  33 |  34 |  35 |  36 |  37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |
|         VER J2016+371.spectral.index |  1.3802113580356242e-08 |  1.2033144338548709e-21 | 0.0 |  3.7892723366096565e-09 | 0.0 |  -6.359117856741521e-07 |  -5.370714913532361e-19 | 0.0 | -1.2708568650618095e-08 | 0.0 |       0.040664436268512 | 1.0573406202741202e-14 | 0.0 |   -0.001130765140968997 | 0.0 |  -1.678221696170296e-11 |  -4.002696662348187e-24 | 0.0 | -2.2548265783551767e-12 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -2.740078283087849e-26 | 0.0 |    4.41461603966763e-12 | -4.9400423388793355e-11 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2016+371.spectral.amplitude |   5.218265246864194e-21 |   4.674438384834717e-34 | 0.0 |  1.4963360445988798e-21 | 0.0 |   -2.63321723364504e-19 |  -2.221708893630995e-31 | 0.0 |  -5.248187252446028e-21 | 0.0 |  1.0573406202741202e-14 |  5.163832157623447e-27 | 0.0 |   5.310312194514648e-16 | 0.0 |  3.8350562849427985e-24 |  -3.857252939995136e-36 | 0.0 |  -7.130719544063728e-24 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -7.746953433952466e-39 | 0.0 |  -4.846408970633586e-23 |  -4.424165213246854e-23 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2016+371.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2016+371.spectral.lambda_ |  1.2598365405058167e-10 |  1.4709286463178598e-23 | 0.0 |   5.477199508875035e-11 | 0.0 |  -1.324239539945771e-08 | -1.1096524831773381e-20 | 0.0 |  -2.436924654483565e-10 | 0.0 |   -0.001130765140968997 |  5.310312194514648e-16 | 0.0 |   0.0007220862499823703 | 0.0 |  4.2016458456750385e-12 | -1.3963298532990792e-24 | 0.0 |  -3.527587716779266e-12 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |    9.41534571329177e-28 | 0.0 |  -3.189808244132523e-11 | -1.7481204597000328e-11 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2016+371.spectral.alpha |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     LHAASO J2032+4102.spectral.index | -2.5532800523730292e-11 | -1.5623567158622375e-24 | 0.0 |  -5.134402069689327e-12 | 0.0 |  -3.938623533632595e-11 | -1.1172650360111226e-23 | 0.0 |   3.796338522832679e-12 | 0.0 |  -1.678221696170296e-11 | 3.8350562849427985e-24 | 0.0 |  4.2016458456750385e-12 | 0.0 |     0.03958094168472126 |  -2.647631289995816e-16 | 0.0 |  -0.0026137576944363357 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |    4.96045577253289e-20 | 0.0 |    0.010721651851437733 | -0.00011073240033936794 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| LHAASO J2032+4102.spectral.amplitude | -1.0268405946186839e-25 |   2.081336712341425e-38 | 0.0 |  -5.452931395141744e-26 | 0.0 |   6.398322508301465e-24 |  1.2446837850402915e-36 | 0.0 |    -5.2622794951461e-25 | 0.0 |  -4.002696662348187e-24 | -3.857252939995136e-36 | 0.0 | -1.3963298532990792e-24 | 0.0 |  -2.647631289995816e-16 |   3.249613177963891e-28 | 0.0 |   4.170493251418424e-16 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   2.052101758374273e-31 | 0.0 |  2.1875636008754315e-17 |   3.765660136997018e-16 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| LHAASO J2032+4102.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|   LHAASO J2032+4102.spectral.lambda_ |  -4.195831395338917e-12 | -2.2136642224270273e-25 | 0.0 |  -8.913846369848798e-13 | 0.0 |  1.5750960077659298e-11 |  4.0372862587804294e-24 | 0.0 | -1.3418188817663356e-12 | 0.0 | -2.2548265783551767e-12 | -7.130719544063728e-24 | 0.0 |  -3.527587716779266e-12 | 0.0 |  -0.0026137576944363357 |   4.170493251418424e-16 | 0.0 |   0.0012868416464076541 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   3.883275098978134e-19 | 0.0 |   0.0014884487166722147 |   0.0003852656493013303 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     LHAASO J2032+4102.spectral.alpha |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
