|                           Parameters |                       0 |                      1 |   2 |   3 |                      4 |                       5 |                       6 |   7 |   8 |                       9 |                      10 |  11 |                      12 |  13 |                      14 |                      15 |  16 |                      17 |  18 |                      19 |                     20 |  21 |                     22 |  23 |  24 |  25 |  26 |  27 |  28 |  29 |  30 |  31 |  32 |  33 |  34 |  35 |  36 |  37 |  38 |  39 |  40 |
|     VER J2020+368.spectral.amplitude | -1.1045212021977316e-18 |  3.039013886247902e-32 | 0.0 | 0.0 | 1.0366262405305929e-19 |  -1.275694683362431e-24 | -1.1448815545085492e-23 | 0.0 | 0.0 |   1.685042594036643e-15 |  1.5897387469847447e-28 | 0.0 |   3.381438305522994e-16 | 0.0 | -2.7449397046607768e-17 |  -2.636375276569005e-29 | 0.0 | -3.2268861828581354e-18 | 0.0 |  1.2896773878660083e-19 |  7.054572265504263e-32 | 0.0 |  3.105745915456934e-21 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2020+368.spectral.reference |                     0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2020+368.spectral.lambda_ | -2.0739664795331653e-06 |  5.504892572665741e-20 | 0.0 | 0.0 |   1.99139141593069e-07 | -2.5252302836902738e-12 | -2.1855813647041635e-11 | 0.0 | 0.0 | -0.00042748962283027404 |   3.381438305522994e-16 | 0.0 |    0.002075170167855854 | 0.0 |  -8.261942306207721e-05 |  -5.285860847657921e-17 | 0.0 |  -9.139029339981589e-06 | 0.0 |  2.4829954813947247e-07 |  1.358445606314697e-19 | 0.0 | 5.9795925843528245e-09 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.alpha |                     0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.index |   -0.000145133186971032 |  4.584571816481082e-18 | 0.0 | 0.0 | 1.2307817931043529e-05 | -1.2982666502963562e-10 | -1.3436405292878583e-09 | 0.0 | 0.0 |  -0.0003034917956779005 | -2.7449397046607768e-17 | 0.0 |  -8.261942306207721e-05 | 0.0 |     0.03485913652366874 |   1.120578502746142e-14 | 0.0 |  -0.0015296969582555902 | 0.0 |  1.3449598254449304e-05 |  7.506907172071987e-18 | 0.0 | 3.5695845956991194e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.amplitude | -1.2979290203286305e-16 |   4.05804109563682e-30 | 0.0 | 0.0 | 1.1100066892564257e-17 |   -1.18857057058791e-22 |  -1.216992716889719e-21 | 0.0 | 0.0 | -1.9541269624980817e-16 |  -2.636375276569005e-29 | 0.0 |  -5.285860847657921e-17 | 0.0 |   1.120578502746142e-14 |  1.2262013727020069e-26 | 0.0 |  1.0741055179860849e-15 | 0.0 |   1.235508652708377e-17 |  6.880889157368023e-30 | 0.0 | 3.2500683456487767e-19 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.reference |                     0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2018+367.spectral.lambda_ | -7.4657563029272265e-06 | 2.3041404166378813e-19 | 0.0 | 0.0 |  6.451516383589001e-07 |  -7.005391108516939e-12 |  -7.022099912773538e-11 | 0.0 | 0.0 |  -2.708447346584248e-05 | -3.2268861828581354e-18 | 0.0 |  -9.139029339981589e-06 | 0.0 |  -0.0015296969582555902 |  1.0741055179860849e-15 | 0.0 |   0.0007806238413551862 | 0.0 |   7.388685514760199e-07 | 4.1018494382692107e-19 | 0.0 | 1.9207695122591936e-08 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.alpha |                     0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2016+371.spectral.index | -0.00016241840766596468 |  4.887004851523628e-18 | 0.0 | 0.0 | 1.4317626104000536e-05 | -1.5942275919826255e-10 |  -1.561453256800581e-09 | 0.0 | 0.0 |    1.46002845182078e-06 |  1.2896773878660083e-19 | 0.0 |  2.4829954813947247e-07 | 0.0 |  1.3449598254449304e-05 |   1.235508652708377e-17 | 0.0 |   7.388685514760199e-07 | 0.0 |    0.035752013996487954 | 6.8795614459834025e-15 | 0.0 |  -0.002093772847563335 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
