|                           Parameters |                       0 |                       1 |   2 |   3 |                       4 |                       5 |                      6 |   7 |   8 |                       9 |                      10 |  11 |                      12 |  13 |                      14 |                      15 |  16 |                      17 |  18 |                      19 |                      20 |  21 |                      22 |  23 |  24 |  25 |  26 |  27 |  28 |  29 |  30 |  31 |  32 |  33 |  34 |  35 |  36 |  37 |  38 |  39 |
|     VER J2020+368.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2020+368.spectral.lambda_ |   -0.007224872055824234 |   5.153938865991258e-16 | 0.0 | 0.0 |  -0.0003433026151876743 |  2.7696993203837185e-07 | -0.0009010080513317401 | 0.0 | 0.0 |    0.009773083293950562 |  2.8279982529205533e-15 | 0.0 |    0.006199638315127294 | 0.0 | -0.00025122693643371666 | -2.2768622212341023e-17 | 0.0 | -2.0701234747536877e-05 | 0.0 |  -0.0003888955016650324 |  -2.764049635098357e-16 | 0.0 |   -4.80483527600981e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.alpha |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.index |   0.0004750515981054112 | -3.9852825315686696e-17 | 0.0 | 0.0 |    5.29062863289491e-05 |   -3.30804198340831e-08 |   8.55828289424242e-05 | 0.0 | 0.0 |  -0.0012065298183050774 | -1.8573421232968916e-16 | 0.0 | -0.00025122693643371666 | 0.0 |     0.04531356289907111 |   1.324739825553803e-14 | 0.0 |   -0.001259991202528791 | 0.0 |     5.2535089348955e-05 |  2.4210975547305672e-17 | 0.0 |    7.79025273067187e-06 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.amplitude | -1.4783046740978579e-16 |   6.807227417503096e-30 | 0.0 | 0.0 |   6.407340554419875e-18 |   2.729786007884685e-20 |  3.177736523149638e-17 | 0.0 | 0.0 |   -7.57542346572988e-17 |  -3.565753107672683e-29 | 0.0 | -2.2768622212341023e-17 | 0.0 |   1.324739825553803e-14 |   9.734080307568559e-27 | 0.0 |  1.4931776331343899e-15 | 0.0 |   4.687983153917874e-19 | -1.2831513439583443e-29 | 0.0 |  -1.398127224267164e-18 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2018+367.spectral.lambda_ |   0.0001303661101287627 | -1.0034328070248573e-17 | 0.0 | 0.0 |  1.3049343369701598e-06 |    8.41269977107447e-09 | 1.3335132201419254e-05 | 0.0 | 0.0 | -0.00012887652969230273 | -2.0037101519448405e-17 | 0.0 | -2.0701234747536877e-05 | 0.0 |   -0.001259991202528791 |  1.4931776331343899e-15 | 0.0 |   0.0012207357595268378 | 0.0 |   7.129546042019829e-06 |  1.4675280998082803e-18 | 0.0 |   5.950387128902923e-08 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.alpha |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2016+371.spectral.index |   0.0019936290948652496 | -1.4335108227405207e-16 | 0.0 | 0.0 |  0.00010526628758343766 | -1.2264751750558478e-07 |  9.230608477957238e-05 | 0.0 | 0.0 |  -0.0023451946866814765 |   -3.32519581044184e-16 | 0.0 |  -0.0003888955016650324 | 0.0 |     5.2535089348955e-05 |   4.687983153917874e-19 | 0.0 |   7.129546042019829e-06 | 0.0 |     0.05451413311214852 |    9.71528454931846e-15 | 0.0 |  -0.0017124853875610242 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2016+371.spectral.amplitude |  1.1412094662197972e-15 |  -8.262765491946481e-29 | 0.0 | 0.0 |   3.711039308028303e-17 | -1.0751389589013738e-19 |  6.497365324412529e-17 | 0.0 | 0.0 | -1.4787586528399896e-15 |  -2.238254880218348e-28 | 0.0 |  -2.764049635098357e-16 | 0.0 |  2.4210975547305672e-17 | -1.2831513439583443e-29 | 0.0 |  1.4675280998082803e-18 | 0.0 |    9.71528454931846e-15 |   3.834098494907094e-27 | 0.0 |   1.056866606673538e-15 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
