|                           Parameters |                       0 |                       1 |   2 |   3 |                       4 |                       5 |                       6 |   7 |   8 |                       9 |                      10 |  11 |                      12 |  13 |                      14 |                      15 |  16 |                      17 |  18 |                      19 |                      20 |  21 |                      22 |  23 |                      24 |                      25 |  26 |                      27 |  28 |  29 |  30 |  31 |  32 |  33 |                      34 |  35 |                      36 |                      37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |  48 |  49 |  50 |  51 |  52 |  53 |  54 |  55 |  56 |
|     VER J2020+368.spectral.amplitude | -1.6041413132952393e-19 | -2.6665247679543363e-33 | 0.0 | 0.0 |  2.6871861203542895e-20 |  -7.320135529873727e-24 |   -5.47824107428993e-24 | 0.0 | 0.0 |   5.164590876840505e-16 |   3.781617531841829e-29 | 0.0 |   1.132145998428463e-16 | 0.0 | -3.8564332991688375e-18 |  -6.925083042190354e-30 | 0.0 |  -5.556859179646379e-19 | 0.0 |  1.7750633279128644e-20 |  1.0794193263772581e-32 | 0.0 |  -5.735928857923661e-23 | 0.0 |    5.15933022274833e-20 |   1.833697040717188e-33 | 0.0 |   1.789783335751018e-22 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   6.444263485511664e-36 | 0.0 |  -1.910192295717368e-19 | -2.5710664034605705e-20 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2020+368.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2020+368.spectral.lambda_ |  -4.196410548821918e-07 |  -7.024983094116599e-21 | 0.0 | 0.0 |    7.05042474927981e-08 | -1.9278344586837674e-11 | -1.4483314259528061e-11 | 0.0 | 0.0 |  -0.0015507828355771627 |   1.132145998428463e-16 | 0.0 |   0.0014370493227884367 | 0.0 | -2.9172004388611034e-05 | -1.4666824901916753e-17 | 0.0 | -2.5441626950030523e-06 | 0.0 |  4.6849203063762476e-08 |  2.8386098641979833e-20 | 0.0 | -1.9378129516012715e-10 | 0.0 |   1.353741694844751e-07 |   4.809761499641435e-21 | 0.0 |    4.64533396413799e-10 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.6888623409072576e-23 | 0.0 |  -5.005808349169779e-07 |   -6.73741493274166e-08 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.alpha |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.index |  -6.480003242720487e-05 | -1.0334260013067522e-18 | 0.0 | 0.0 |  1.0647152872063949e-05 | -2.8429087091870067e-09 | -2.1444637655609265e-09 | 0.0 | 0.0 |   -8.80672073462119e-05 | -3.8564332991688375e-18 | 0.0 | -2.9172004388611034e-05 | 0.0 |    0.025393243638132498 |    6.18054460025508e-15 | 0.0 |  -0.0016834092214604178 | 0.0 |   4.844780920993534e-06 |   3.226422180048653e-18 | 0.0 |  2.0021579782294573e-08 | 0.0 |  2.0480910859349135e-05 |   7.279611296100708e-19 | 0.0 |   7.123546483738374e-08 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  2.5598406327249363e-21 | 0.0 |  -7.588067456179748e-05 |  -1.021373634078795e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.amplitude |  -7.426346404401241e-17 | -1.1877761241654432e-30 | 0.0 | 0.0 |  1.2217352409602911e-17 | -3.2676728261440064e-21 | -2.4619549437887896e-21 | 0.0 | 0.0 | -3.5331746250381574e-17 |  -6.925083042190354e-30 | 0.0 | -1.4666824901916753e-17 | 0.0 |    6.18054460025508e-15 |  1.0795905456350255e-26 | 0.0 |   6.263535169755732e-16 | 0.0 |   6.059478653906883e-18 |   3.959834575406789e-30 | 0.0 |   1.591533157393466e-20 | 0.0 |   2.350024655285415e-17 |    8.35271684474761e-31 | 0.0 |   8.171453721322354e-20 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  2.9371580890605826e-33 | 0.0 |  -8.706543825206937e-17 | -1.1719291168795901e-17 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2018+367.spectral.lambda_ | -1.5815778880511433e-06 |  -2.550067360556815e-20 | 0.0 | 0.0 |   2.611549279578976e-07 |  -7.008999445260339e-11 | -5.2684918353160615e-11 | 0.0 | 0.0 | -3.6484074514928064e-06 |  -5.556859179646379e-19 | 0.0 | -2.5441626950030523e-06 | 0.0 |  -0.0016834092214604178 |   6.263535169755732e-16 | 0.0 |   0.0005189854962116598 | 0.0 |      1.646781201177e-07 |  1.0276018033405385e-19 | 0.0 | -1.5580292773565425e-10 | 0.0 |   5.021712398812278e-07 |  1.7847489714768728e-20 | 0.0 |   1.741986935436341e-09 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   6.275002157424939e-23 | 0.0 | -1.8600800586603954e-06 | -2.5037843750721306e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.alpha |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2016+371.spectral.index |  -7.987215299777611e-05 | -1.2877867344643668e-18 | 0.0 | 0.0 |  1.3187525140477294e-05 |  -3.542142957988214e-09 |  -2.660784847317772e-09 | 0.0 | 0.0 |  2.6707054266303116e-07 |  1.7750633279128644e-20 | 0.0 |  4.6849203063762476e-08 | 0.0 |   4.844780920993534e-06 |   6.059478653906883e-18 | 0.0 |      1.646781201177e-07 | 0.0 |     0.02992197656417663 |  3.8417846555345304e-15 | 0.0 |  -0.0021414180373561303 | 0.0 |  2.5360117978927783e-05 |   9.013777183340058e-19 | 0.0 |   8.818044802879978e-08 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  3.1695886171706477e-21 | 0.0 |  -9.395519673621885e-05 | -1.2646616958359183e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2016+371.spectral.amplitude | -4.9314604325129813e-17 |  -7.970819874908334e-31 | 0.0 | 0.0 |    8.14999314733919e-18 | -2.1949160044285165e-21 | -1.6456407784851717e-21 | 0.0 | 0.0 |   1.635866866876985e-19 |  1.0794193263772581e-32 | 0.0 |  2.8386098641979833e-20 | 0.0 |   3.226422180048653e-18 |   3.959834575406789e-30 | 0.0 |  1.0276018033405385e-19 | 0.0 |  3.8417846555345304e-15 |  4.1207377703646246e-27 | 0.0 |   3.471332731646178e-16 | 0.0 |  1.5674158336963348e-17 |   5.571076327122764e-31 | 0.0 |   5.449919916247831e-20 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.9590050752281306e-33 | 0.0 |   -5.80702471513681e-17 |   -7.81642676580481e-18 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2016+371.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2016+371.spectral.lambda_ |   1.415831282264058e-07 |  2.0758075917231304e-21 | 0.0 | 0.0 | -2.2683251291185902e-08 |   5.025796114237828e-12 |   4.334600883425285e-12 | 0.0 | 0.0 |  -6.295045892021435e-10 |  -5.735928857923661e-23 | 0.0 | -1.9378129516012715e-10 | 0.0 |  2.0021579782294573e-08 |   1.591533157393466e-20 | 0.0 | -1.5580292773565425e-10 | 0.0 |  -0.0021414180373561303 |   3.471332731646178e-16 | 0.0 |   0.0006475446105627183 | 0.0 |  -4.324490602239251e-08 | -1.5369192518664296e-21 | 0.0 | -1.5006122527305064e-10 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -5.402401964219093e-24 | 0.0 |  1.6012462917680123e-07 |  2.1545414853281435e-08 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
