|                           Parameters |                       0 |                       1 |   2 |   3 |                       4 |                       5 |                       6 |   7 |   8 |                       9 |                      10 |  11 |                      12 |  13 |                      14 |                      15 |  16 |                      17 |  18 |                      19 |                      20 |  21 |                      22 |  23 |                      24 |                      25 |  26 |                      27 |  28 |  29 |  30 |  31 |  32 |  33 |                      34 |  35 |                      36 |                      37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |  48 |  49 |  50 |  51 |  52 |  53 |  54 |  55 |  56 |  57 |  58 |  59 |  60 |  61 |  62 |  63 |
|         VER J2018+367.spectral.index |   -1.83403239754587e-05 | -1.3539515032234182e-18 | 0.0 | 0.0 |   4.660197751406481e-06 | -1.4377392710617476e-09 | -1.2574317522190464e-09 | 0.0 | 0.0 | -3.2025944079675044e-05 |  -4.311104718779506e-21 | 0.0 | -1.1595700892844687e-05 | 0.0 |    0.016230798661761293 |   3.707533579853079e-15 | 0.0 |  -0.0007567751440208451 | 0.0 |  1.3807614643975142e-06 |  1.0442296142056443e-18 | 0.0 |   3.643482074675904e-08 | 0.0 |    4.64598442401993e-05 |  -6.478487731455099e-17 | 0.0 |   5.545867217221225e-06 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   2.116067541589837e-24 | 0.0 |  -1.771952127291808e-10 | -1.5691622493650585e-10 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.amplitude | -2.2382679109845802e-17 |  -1.654247349126293e-30 | 0.0 | 0.0 |   5.690472783937641e-18 | -1.7565277240618597e-21 | -1.5371027009257958e-21 | 0.0 | 0.0 |  1.3506321926057495e-17 |  -6.348602587987697e-31 | 0.0 |  1.7695709573104563e-18 | 0.0 |   3.707533579853079e-15 |   6.490864688720614e-27 | 0.0 |   4.344955311164697e-16 | 0.0 |   1.813095765768141e-18 |   1.347598457908285e-30 | 0.0 |   4.542367638874753e-20 | 0.0 |   5.673102020646012e-17 |  -7.910726145972692e-29 | 0.0 |   6.771916258851282e-18 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   -6.06967111110425e-35 | 0.0 |   5.024063266145915e-21 |   1.614072107148199e-21 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2018+367.spectral.lambda_ |  -8.030596322069046e-07 |  -5.940630094259468e-20 | 0.0 | 0.0 |    2.04259051004742e-07 |  -6.314857324507573e-11 |  -5.532900761898208e-11 | 0.0 | 0.0 | -1.8723381083398311e-06 |  -3.697483197190508e-20 | 0.0 | -1.0767614570318479e-06 | 0.0 |  -0.0007567751440208451 |   4.344955311164697e-16 | 0.0 |   0.0003894701821707399 | 0.0 |    7.05383999316127e-08 |  5.1496110073872145e-20 | 0.0 |   1.670171806572086e-09 | 0.0 |   2.036365207892116e-06 | -2.8395719305314393e-18 | 0.0 |    2.43082658615814e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   4.567845487834215e-24 | 0.0 |  -3.783779694667769e-10 | -1.3463763183476162e-10 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.alpha |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2016+371.spectral.index |   -2.21290475538739e-05 | -1.6436258605400808e-18 | 0.0 | 0.0 |  5.6396418400299955e-06 | -1.7471117264327386e-09 | -1.5272745207399882e-09 | 0.0 | 0.0 |   2.137878010421624e-08 |   6.528073869166364e-22 | 0.0 |  4.7898636876870135e-09 | 0.0 |  1.3807614643975142e-06 |   1.813095765768141e-18 | 0.0 |    7.05383999316127e-08 | 0.0 |    0.017594987230896995 |    2.33624462305873e-15 | 0.0 |  -0.0009194697754795824 | 0.0 |   5.622280435614342e-05 |  -7.839845045813415e-17 | 0.0 |   6.711275511145433e-06 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   -6.74731270236033e-23 | 0.0 |   5.601674610672209e-09 |   1.772055690982289e-09 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2016+371.spectral.amplitude |  -1.558234835518772e-17 | -1.1584284448083718e-30 | 0.0 | 0.0 |   3.972945630572527e-18 | -1.2310786974871597e-21 | -1.0758716936428084e-21 | 0.0 | 0.0 |   1.514844534985068e-20 |   4.534154881469938e-34 | 0.0 |  3.3728469652654802e-21 | 0.0 |  1.0442296142056443e-18 |   1.347598457908285e-30 | 0.0 |  5.1496110073872145e-20 | 0.0 |    2.33624462305873e-15 |   2.594105533356843e-27 | 0.0 |  2.5278129729443567e-16 | 0.0 |   3.960738906397018e-17 |  -5.522955989453276e-29 | 0.0 |  4.7278688217407136e-18 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -1.3157958359141365e-35 | 0.0 |  1.0831693840318426e-21 |   3.028041670509886e-22 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2016+371.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2016+371.spectral.lambda_ |  -4.645942429767361e-07 | -3.4586871489671464e-20 | 0.0 | 0.0 |  1.1853178478569702e-07 | -3.6699733520540405e-11 | -3.2007244011119104e-11 | 0.0 | 0.0 |  4.0382529670428196e-10 |  1.1861575520761465e-23 | 0.0 |   9.332523162039591e-11 | 0.0 |   3.643482074675904e-08 |   4.542367638874753e-20 | 0.0 |   1.670171806572086e-09 | 0.0 |  -0.0009194697754795824 |  2.5278129729443567e-16 | 0.0 |   0.0004472591525982896 | 0.0 |  1.1816779914253058e-06 | -1.6477616051172578e-18 | 0.0 |  1.4104253424829755e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -1.0149312364923652e-23 | 0.0 |    8.32572254065438e-10 |  3.0529459862493756e-10 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2016+371.spectral.alpha |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
