|                           Parameters |                       0 |                       1 |   2 |   3 |                      4 |                       5 |                       6 |   7 |   8 |                       9 |                      10 |  11 |                      12 |  13 |                      14 |                      15 |  16 |                      17 |  18 |                      19 |                      20 |  21 |                      22 |  23 |                      24 |                      25 |  26 |                      27 |  28 |  29 |  30 |  31 |  32 |  33 |                      34 |  35 |                      36 |                      37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |  48 |  49 |  50 |  51 |  52 |  53 |  54 |  55 |  56 |  57 |  58 |  59 |  60 |  61 |  62 |  63 |
|     VER J2020+368.spectral.amplitude | -3.0440192881821948e-18 |  1.6528123672225992e-31 | 0.0 | 0.0 | 4.5288305386737883e-17 | -1.9052112797622156e-21 | -5.3106065905694126e-20 | 0.0 | 0.0 |  2.3035181977468895e-16 |  2.6146402615089256e-29 | 0.0 |   5.500204209180233e-17 | 0.0 |  1.3717609056388528e-17 |   8.699601255026931e-30 | 0.0 |  2.8413065711737136e-18 | 0.0 |  1.5290855174947857e-17 |   7.103505713323387e-30 | 0.0 |   3.153382748150472e-18 | 0.0 |  1.0729346682013368e-17 |   3.600015291599826e-30 | 0.0 |   2.807595781547178e-18 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   7.260916137151418e-31 | 0.0 |  -5.097003977294966e-16 |    3.73177021724853e-16 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2020+368.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2020+368.spectral.lambda_ |  -8.728827923332246e-06 |  4.8506291681874855e-19 | 0.0 | 0.0 | 0.00014970850222603387 | -6.5034707626952975e-09 | -1.6432534969183015e-07 | 0.0 | 0.0 |  -0.0007185893130110776 |   5.500204209180233e-17 | 0.0 |   0.0006583851888712599 | 0.0 |  3.5729592903586466e-05 |   3.386419698744386e-17 | 0.0 |   8.567790413518748e-06 | 0.0 |   5.258473013309747e-05 |  2.0780857364491987e-17 | 0.0 |  1.0428347996236346e-05 | 0.0 |    3.66084629474707e-05 |    8.74823857638343e-18 | 0.0 |   8.106119498429904e-06 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  2.3635691762303133e-18 | 0.0 |  -0.0017170902542427847 |   0.0012557870021599282 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.alpha |                     0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.index | -0.00011919240146808139 |  4.0285588875261044e-18 | 0.0 | 0.0 |  0.0006726590648128928 | -2.2060823838390592e-08 | -1.7944468553513852e-06 | 0.0 | 0.0 |  5.1637586983387454e-05 |  1.3717609056388528e-17 | 0.0 |  3.5729592903586466e-05 | 0.0 |     0.01687729430869375 |   4.113142631955543e-15 | 0.0 |  -0.0007483426463287871 | 0.0 |  0.00020693174156473216 |   1.627089749120541e-16 | 0.0 |   4.693819454359776e-05 | 0.0 |  0.00011805620566295274 |  1.2895879309562792e-16 | 0.0 |   7.418790408247746e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.6451749246106566e-17 | 0.0 |   -0.010214744049662041 |    0.007867988257494574 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.amplitude |  -9.595008166697208e-17 |  1.3832748395026558e-30 | 0.0 | 0.0 |  9.030090790351018e-16 |  -3.677660071570279e-20 | -1.2298803663993997e-18 | 0.0 | 0.0 |   7.493832824819115e-17 |   8.699601255026931e-30 | 0.0 |   3.386419698744386e-17 | 0.0 |   4.113142631955543e-15 |   7.262785606989288e-27 | 0.0 |   5.045956633183474e-16 | 0.0 |   2.994036325280067e-16 |  1.4873121425189088e-28 | 0.0 |   6.211950937978807e-17 | 0.0 |   2.266624154035706e-16 |   7.943293819048365e-29 | 0.0 |   6.088697103273773e-17 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.3729573332063492e-29 | 0.0 |  -9.055599245451124e-15 |   7.806409961763883e-15 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2018+367.spectral.lambda_ | -1.9728210963009396e-05 |  1.0868176141809535e-18 | 0.0 | 0.0 | 0.00016729879577650204 | -6.0564532442753166e-09 | -3.4981467989057077e-07 | 0.0 | 0.0 |   1.635008941823828e-05 |  2.8413065711737136e-18 | 0.0 |   8.567790413518748e-06 | 0.0 |  -0.0007483426463287871 |   5.045956633183474e-16 | 0.0 |   0.0003961714457417477 | 0.0 |   5.399460974878783e-05 |   3.508218608402233e-17 | 0.0 |   1.177264899978289e-05 | 0.0 |   4.064681994739527e-05 |  2.4401488365343796e-17 | 0.0 |  1.6048253086705384e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   3.208785098639126e-18 | 0.0 |  -0.0019169642565186446 |   0.0017816995957539417 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.alpha |                     0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2016+371.spectral.index | -0.00013139526824460562 |  4.0471785492669204e-18 | 0.0 | 0.0 |  0.0007220210511250139 |  -2.341818485952822e-08 |  -1.915021524187243e-06 | 0.0 | 0.0 |   9.536880203745957e-05 |  1.5290855174947857e-17 | 0.0 |   5.258473013309747e-05 | 0.0 |  0.00020693174156473216 |   2.994036325280067e-16 | 0.0 |   5.399460974878783e-05 | 0.0 |    0.018859132584106212 |   2.618867010584954e-15 | 0.0 |  -0.0009349790425849416 | 0.0 |  0.00011612687074203138 |  1.3568927052284688e-16 | 0.0 |    7.63387625802168e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.7961859398009536e-17 | 0.0 |   -0.011212181808388883 |    0.008532157109627214 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
