|                           Parameters |                       0 |                       1 |   2 |   3 |                       4 |                       5 |                       6 |   7 |   8 |                       9 |                     10 |  11 |                     12 |  13 |                      14 |                      15 |  16 |                      17 |  18 |                      19 |                      20 |  21 |                      22 |  23 |  24 |  25 |  26 |  27 |  28 |  29 |  30 |  31 |  32 |  33 |  34 |  35 |  36 |  37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |
|     VER J2020+368.spectral.amplitude |  -8.002832108656335e-15 |  1.3584969908195776e-27 | 0.0 | 0.0 |   3.888760580882039e-18 |   4.406312369177732e-22 |   5.334790687867035e-19 | 0.0 | 0.0 |    2.94406567279586e-14 | 1.0365424478975978e-27 | 0.0 | -4.172106930268797e-15 | 0.0 |   -5.58685512978238e-15 |  -4.712699112700858e-28 | 0.0 |   8.454687642356419e-16 | 0.0 |   2.854043921959578e-15 |  2.4527477721030507e-28 | 0.0 |   -5.06182099213257e-16 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2020+368.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2020+368.spectral.lambda_ |     0.05359947573086732 |  -9.102516295727195e-15 | 0.0 | 0.0 |  0.00014776261718094967 |   5.244861912971082e-09 |   7.831128935285771e-06 | 0.0 | 0.0 |     -0.1833952911758429 | -4.172106930268797e-15 | 0.0 |    0.03266874631495626 | 0.0 |     0.03269232251886902 |  2.8028627817564397e-15 | 0.0 |   -0.005184983413651889 | 0.0 |    -0.02035564641809688 |  -7.336248382888692e-16 | 0.0 |    0.003482857589058905 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.alpha |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.index |     0.07540064705537614 | -1.2797595657212182e-14 | 0.0 | 0.0 |  -7.504823936403279e-05 |  2.0745607941757657e-08 |  4.7012128348256166e-05 | 0.0 | 0.0 |    -0.19440114161240388 |  -5.58685512978238e-15 | 0.0 |    0.03269232251886902 | 0.0 |      0.3486389916591768 |   5.009486800113301e-14 | 0.0 |    -0.04602346660124567 | 0.0 |     0.03615029040408807 |   9.366570984268661e-15 | 0.0 |  -0.0009955784689465266 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.amplitude |   7.128286448863937e-15 | -1.2148574184526698e-27 | 0.0 | 0.0 |  1.2126044297201183e-16 |   5.408954829101307e-21 |   1.483933454950197e-17 | 0.0 | 0.0 | -1.6193094445886887e-14 | -4.712699112700858e-28 | 0.0 | 2.8028627817564397e-15 | 0.0 |   5.009486800113301e-14 |  1.4314888372984253e-26 | 0.0 |  -4.830882284082151e-15 | 0.0 |  1.0007275629629489e-14 |   1.928718400992272e-27 | 0.0 |   -9.70320549091867e-16 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2018+367.spectral.lambda_ |   -0.011689826971367797 |    1.98860252170083e-15 | 0.0 | 0.0 |  4.1674280061642186e-05 |  -2.912771617181379e-09 | -2.7709211873149746e-06 | 0.0 | 0.0 |    0.030391092355688914 |  8.454687642356419e-16 | 0.0 |  -0.005184983413651889 | 0.0 |    -0.04602346660124567 |  -4.830882284082151e-15 | 0.0 |   0.0069814774171370626 | 0.0 |   -0.004753564411547295 | -1.4937193405415452e-15 | 0.0 |  -4.757570136266881e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.alpha |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2016+371.spectral.index |   -0.009670873117192435 |  1.2850107656876112e-15 | 0.0 | 0.0 | -0.00044025404491437507 | -1.0389908440868856e-08 |  3.2400229389597705e-05 | 0.0 | 0.0 |      0.1176935933822946 |  2.854043921959578e-15 | 0.0 |   -0.02035564641809688 | 0.0 |     0.03615029040408807 |  1.0007275629629489e-14 | 0.0 |   -0.004753564411547295 | 0.0 |     0.35856989698497804 |  4.0169192600405955e-14 | 0.0 |      -0.044936155632274 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
