|                           Parameters |                      0 |                       1 |   2 |   3 |                       4 |                       5 |                       6 |   7 |   8 |                       9 |                      10 |  11 |                      12 |  13 |                      14 |                      15 |  16 |                      17 |  18 |                      19 |                      20 |  21 |                      22 |  23 |                      24 |                      25 |  26 |                      27 |  28 |  29 |  30 |  31 |  32 |  33 |                      34 |  35 |                      36 |                      37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |  48 |  49 |  50 |  51 |  52 |  53 |  54 |  55 |  56 |  57 |  58 |  59 |  60 |  61 |  62 |  63 |  64 |  65 |  66 |
|     VER J2020+368.spectral.amplitude | 1.9432596367184515e-15 |  -5.404243462813918e-29 | 0.0 | 0.0 |  -5.658809491599365e-16 |  -9.830536459080647e-20 |   6.314735502095934e-25 | 0.0 | 0.0 |  1.4912952299094654e-14 |  2.6467145632320417e-28 | 0.0 |  -2.547829308929725e-15 | 0.0 |   -9.80165951653163e-16 |  -5.328817770983058e-28 | 0.0 |   2.314077091371743e-18 | 0.0 | -1.7636552496013325e-16 | -3.2183527489276523e-29 | 0.0 |  1.4324074589970503e-18 | 0.0 |  -1.868012280245884e-16 |  2.9615230803916244e-29 | 0.0 |  -6.910057014337615e-19 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.9417036803720707e-30 | 0.0 |  -5.575706053250086e-15 |   2.277653241812889e-16 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2020+368.spectral.reference |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2020+368.spectral.lambda_ |  -0.018081427170564022 |   4.913835168281708e-16 | 0.0 | 0.0 |   -0.015757971571032932 |   2.087236060063336e-06 |  -9.453331257217392e-12 | 0.0 | 0.0 |    -0.19827325396501333 |  -2.547829308929725e-15 | 0.0 |     0.03952056166401303 | 0.0 |    0.008560968920154203 |  4.3781748309421585e-15 | 0.0 | -3.6798987321902216e-05 | 0.0 |  -0.0020157577789389268 |  -1.355844780147514e-15 | 0.0 | -2.5834152730963663e-05 | 0.0 |    0.009616139979626442 |  1.1136787288607174e-16 | 0.0 |   0.0009625270223110697 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -1.9760647322069727e-17 | 0.0 |     0.06152617821890527 |  -0.0008001329528921075 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.alpha |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.index |  -0.009922221408278904 |   2.833998917247097e-16 | 0.0 | 0.0 |    0.006620451269931372 |  -9.251357765226102e-08 |  -1.701890646718243e-12 | 0.0 | 0.0 |    -0.05444928729832803 |   -9.80165951653163e-16 | 0.0 |    0.008560968920154203 | 0.0 |    0.006667772407674906 |   1.930853495596313e-15 | 0.0 |  -4.955364175173058e-06 | 0.0 |   -0.003382991862157835 |  -8.643245970252233e-16 | 0.0 | -2.0349821985447667e-06 | 0.0 |  -0.0006078458710294309 | -3.0397083206630457e-16 | 0.0 | -0.00016906559796646428 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -9.243193808325317e-18 | 0.0 |     0.02401483738413823 |   -0.003787550784875435 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.amplitude | -5.906664138774901e-15 |  1.6086071986988141e-28 | 0.0 | 0.0 |  1.8136181195675003e-15 |   9.345275023802314e-19 |  -8.746056951101004e-25 | 0.0 | 0.0 | -2.8325149508750986e-14 |  -5.328817770983058e-28 | 0.0 |  4.3781748309421585e-15 | 0.0 |   1.930853495596313e-15 |   6.582974021204976e-27 | 0.0 |  -2.956634755816909e-18 | 0.0 | -1.3457572301423418e-15 |  -7.988328979388936e-28 | 0.0 |  -5.486162505956727e-19 | 0.0 |   3.327136132383278e-16 |  -8.331862083490721e-29 | 0.0 |  -4.865379364629463e-17 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -4.711413443915012e-30 | 0.0 |  1.3096483575819901e-14 |  -2.003127845040262e-15 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.reference |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2018+367.spectral.lambda_ | 1.3548794944892991e-05 | -3.5348488061467936e-19 | 0.0 | 0.0 |   4.897567791111931e-06 | -1.9717951186864268e-09 |  1.1126933464529564e-14 | 0.0 | 0.0 |  0.00018205183062650716 |   2.314077091371743e-18 | 0.0 | -3.6798987321902216e-05 | 0.0 |  -4.955364175173058e-06 |  -2.956634755816909e-18 | 0.0 |  5.5248087944250496e-08 | 0.0 | -1.8025781186819467e-05 | -5.0303970468811706e-18 | 0.0 |   3.362907816644366e-08 | 0.0 |  -1.742753537708318e-05 |  -4.626080215217381e-19 | 0.0 | -1.1098157263820708e-06 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.4613913068434758e-20 | 0.0 |   -5.78835491181977e-05 |  -5.693503920922047e-06 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.alpha |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2016+371.spectral.index |   0.002270954494790382 |  -6.762175598870904e-17 | 0.0 | 0.0 |   -0.000937583807894341 |  2.0372880476081526e-06 | -3.9094684728115695e-12 | 0.0 | 0.0 |    0.002569649365445202 | -1.7636552496013325e-16 | 0.0 |  -0.0020157577789389268 | 0.0 |   -0.003382991862157835 | -1.3457572301423418e-15 | 0.0 | -1.8025781186819467e-05 | 0.0 |     0.07993269336014595 |  2.3807507578322673e-14 | 0.0 | -1.4335268335210269e-05 | 0.0 |    0.002017852247214052 | -2.0745159518211628e-17 | 0.0 |  -0.0005090030756888513 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -2.2292628635476744e-18 | 0.0 |    0.013480899086139864 |    0.004117695212507685 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
